SCHOOL NAME,DISTrictNUMBER,DISTRICT NAME,EMH,EMH-Combined,SCHOOL NUMBER,rate_at.5_chng_ach,rate_at.5_chng_gro,pct_pts_chng_.5
HEIMAN ELEMENTARY SCHOOL                                    ,3120,GREELEY 6                 ,E,   ,52,2,2,2
WINOGRAD K-8 ELEMENTARY SCHOOL                              ,3120,GREELEY 6                 ,E,   ,53,3,2,2
WINOGRAD K-8 ELEMENTARY SCHOOL                              ,3120,GREELEY 6                 ,M,   ,53,3,1,2
ROMERO ELEMENTARY SCHOOL                                    ,3120,GREELEY 6                 ,E,   ,54,2,2,1
GRANDVIEW ELEMENTARY SCHOOL                                 ,3100,WINDSOR RE-4              ,E,   ,55,2,3,3
FOWLER ELEMENTARY SCHOOL                                    ,2540,FOWLER R-4J               ,E,   ,56,2,1,1
ROCKY TOP MIDDLE SCHOOL                                     ,20,ADAMS 12 FIVE STAR SCHOOLS,M,   ,57,2,3,3
AGUILAR ELEMENTARY SCHOOL                                   ,1620,AGUILAR REORGANIZED 6     ,E,   ,58,2,,1
MERIDIAN ELEMENTARY SCHOOL                                  ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,59,2,3,3
LEGACY ELEMENTARY SCHOOL                                    ,470,ST VRAIN VALLEY RE 1J     ,E,   ,60,3,3,3
ALPINE ELEMENTARY SCHOOL                                    ,470,ST VRAIN VALLEY RE 1J     ,E,   ,61,2,3,3
PEAKVIEW SCHOOL                                             ,1390,HUERFANO RE-1             ,E,   ,63,2,2,2
PEAKVIEW SCHOOL                                             ,1390,HUERFANO RE-1             ,M,   ,63,2,2,2
ARCHULETA COUNTY HIGH SCHOOL                                ,220,ARCHULETA COUNTY 50 JT    ,H,   ,64,,,2
COAL RIDGE HIGH SCHOOL                                      ,1195,GARFIELD RE-2             ,H,   ,65,2,2,2
AGUILAR JUNIOR-SENIOR HIGH SCHOOL                           ,1620,AGUILAR REORGANIZED 6     ,H,   ,66,,,2
ACADEMY OF URBAN LEARNING                                   ,880,DENVER COUNTY 1           ,H,   ,67,,,3
CHALLENGER MIDDLE SCHOOL                                    ,1040,ACADEMY 20                ,M,   ,74,2,2,2
ANIMAS HIGH SCHOOL                                          ,8001,CHARTER SCHOOL INSTITUTE  ,H,   ,75,2,2,2
AIR ACADEMY HIGH SCHOOL                                     ,1040,ACADEMY 20                ,H,   ,76,1,2,1
AKRON ELEMENTARY SCHOOL                                     ,3030,AKRON R-1                 ,E,   ,86,3,3,3
AKRON ELEMENTARY SCHOOL                                     ,3030,AKRON R-1                 ,M,   ,86,2,2,2
AKRON HIGH SCHOOL                                           ,3030,AKRON R-1                 ,H,   ,90,2,3,2
ALAMEDA HIGH SCHOOL                                         ,1420,JEFFERSON COUNTY R-1      ,H,   ,108,2,2,2
ARVADA K-8                                                  ,1420,JEFFERSON COUNTY R-1      ,E,   ,109,2,2,2
ARVADA K-8                                                  ,1420,JEFFERSON COUNTY R-1      ,M,   ,109,2,2,2
ACADEMY ONLINE HIGH SCHOOL                                  ,1040,ACADEMY 20                ,H,   ,110,,,2
ORTEGA MIDDLE SCHOOL                                        ,100,ALAMOSA RE-11J            ,M,   ,114,2,3,2
ALAMOSA HIGH SCHOOL                                         ,100,ALAMOSA RE-11J            ,H,   ,118,3,2,2
ARAPAHOE RIDGE HIGH SCHOOL                                  ,480,BOULDER VALLEY RE 2       ,H,   ,125,,,1
SKY VISTA MIDDLE SCHOOL                                     ,130,CHERRY CREEK 5            ,M,   ,141,2,2,2
RIDGEVIEW CLASSICAL CHARTER SCHOOLS                         ,1550,POUDRE R-1                ,E,   ,146,1,1,1
RIDGEVIEW CLASSICAL CHARTER SCHOOLS                         ,1550,POUDRE R-1                ,H,   ,146,2,2,2
RIDGEVIEW CLASSICAL CHARTER SCHOOLS                         ,1550,POUDRE R-1                ,M,   ,146,2,2,2
ALLENDALE ELEMENTARY SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,E,   ,148,2,1,1
ALSUP ELEMENTARY SCHOOL                                     ,30,ADAMS COUNTY 14           ,E,   ,186,2,3,3
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS                   ,10,MAPLETON 1                ,H,   ,187,1,2,2
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS                   ,10,MAPLETON 1                ,M,   ,187,1,2,2
ALTA VISTA CHARTER SCHOOL                                   ,2660,LAMAR RE-2                ,E,   ,200,2,1,2
DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK                     ,900,DOUGLAS COUNTY RE 1       ,H,   ,201,,,1
SMITH HIGH SCHOOL                                           ,1828,VALLEY RE-1               ,H,   ,202,,,3
LORRAINE SECONDARY SCHOOL                                   ,1000,FOUNTAIN 8                ,A,MH ,203,,,2
LORRAINE SECONDARY SCHOOL                                   ,1000,FOUNTAIN 8                ,H,   ,203,1,,2
RED CANYON HIGH SCHOOL                                      ,910,EAGLE COUNTY RE 50        ,H,   ,205,1,,3
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL                   ,120,ENGLEWOOD 1               ,H,   ,206,1,2,2
ASPEN VALLEY HIGH SCHOOL                                    ,1040,ACADEMY 20                ,H,   ,209,3,2,2
VANTAGE POINT                                               ,20,ADAMS 12 FIVE STAR SCHOOLS,A,EMH,210,,,2
VANTAGE POINT                                               ,20,ADAMS 12 FIVE STAR SCHOOLS,H,   ,210,1,,2
VANTAGE POINT                                               ,20,ADAMS 12 FIVE STAR SCHOOLS,M,   ,210,2,2,2
MAPLETON EARLY COLLEGE HIGH SCHOOL                          ,10,MAPLETON 1                ,H,   ,212,1,3,2
AXL ACADEMY                                                 ,180,ADAMS-ARAPAHOE 28J        ,E,   ,213,2,2,2
AXL ACADEMY                                                 ,180,ADAMS-ARAPAHOE 28J        ,M,   ,213,2,2,2
ALTURA ELEMENTARY SCHOOL                                    ,180,ADAMS-ARAPAHOE 28J        ,E,   ,214,1,1,1
AMERICAN ACADEMY AT CASTLE PINES CHARTER                    ,900,DOUGLAS COUNTY RE 1       ,E,   ,215,2,1,2
AMERICAN ACADEMY AT CASTLE PINES CHARTER                    ,900,DOUGLAS COUNTY RE 1       ,M,   ,215,2,2,2
APS ONLINE SCHOOL                                           ,180,ADAMS-ARAPAHOE 28J        ,H,   ,219,,,2
AMESSE ELEMENTARY SCHOOL                                    ,880,DENVER COUNTY 1           ,E,   ,220,2,2,2
ANIMAS VALLEY ELEMENTARY SCHOOL                             ,1520,DURANGO 9-R               ,E,   ,225,3,3,2
ALTONA MIDDLE SCHOOL                                        ,470,ST VRAIN VALLEY RE 1J     ,M,   ,226,2,3,2
ANTELOPE RIDGE ELEMENTARY SCHOOL                            ,130,CHERRY CREEK 5            ,E,   ,242,2,2,2
COYOTE HILLS ELEMENTARY SCHOOL                              ,130,CHERRY CREEK 5            ,E,   ,243,2,1,1
GUADALUPE ELEMENTARY SCHOOL                                 ,580,SOUTH CONEJOS RE-10       ,E,   ,248,2,3,3
ANTELOPE TRAILS ELEMENTARY SCHOOL                           ,1040,ACADEMY 20                ,E,   ,249,2,2,2
ANTONITO JUNIOR HIGH SCHOOL                                 ,580,SOUTH CONEJOS RE-10       ,M,   ,250,1,2,1
ANTONITO HIGH SCHOOL                                        ,580,SOUTH CONEJOS RE-10       ,H,   ,252,3,2,2
APPLETON ELEMENTARY SCHOOL                                  ,2000,MESA COUNTY VALLEY 51     ,E,   ,262,2,3,3
GLOBAL LEADERSHIP ACADEMY                                   ,10,MAPLETON 1                ,E,   ,263,3,2,2
GLOBAL LEADERSHIP ACADEMY                                   ,10,MAPLETON 1                ,H,   ,263,3,1,2
GLOBAL LEADERSHIP ACADEMY                                   ,10,MAPLETON 1                ,M,   ,263,1,2,2
CIMARRON MIDDLE                                             ,900,DOUGLAS COUNTY RE 1       ,M,   ,264,3,2,3
CLEAR SKY ELEMENTARY                                        ,900,DOUGLAS COUNTY RE 1       ,E,   ,265,2,1,1
GOLD RUSH ELEMENTARY                                        ,900,DOUGLAS COUNTY RE 1       ,E,   ,266,2,2,2
MESA MIDDLE SCHOOL                                          ,900,DOUGLAS COUNTY RE 1       ,M,   ,267,2,2,2
ACHIEVEK12                                                  ,1010,COLORADO SPRINGS 11       ,M,   ,269,1,,2
ARAPAHOE HIGH SCHOOL                                        ,140,LITTLETON 6               ,H,   ,298,2,2,2
ARAPAHOE RIDGE ELEMENTARY SCHOOL                            ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,301,2,3,2
ARICKAREE ELEMENTARY SCHOOL                                 ,3040,ARICKAREE R-2             ,E,   ,304,2,3,3
ARICKAREE UNDIVIDED HIGH SCHOOL                             ,3040,ARICKAREE R-2             ,H,   ,308,,,3
ARICKAREE UNDIVIDED HIGH SCHOOL                             ,3040,ARICKAREE R-2             ,M,   ,308,2,,3
ACADEMY HIGH SCHOOL                                         ,10,MAPLETON 1                ,H,   ,309,1,2,2
ARKANSAS ELEMENTARY SCHOOL                                  ,180,ADAMS-ARAPAHOE 28J        ,E,   ,310,1,3,3
ARROWHEAD ELEMENTARY SCHOOL                                 ,130,CHERRY CREEK 5            ,E,   ,348,3,3,3
ARROWWOOD ELEMENTARY SCHOOL                                 ,900,DOUGLAS COUNTY RE 1       ,E,   ,354,2,1,1
FRUITA 8/9 SCHOOL                                           ,2000,MESA COUNTY VALLEY 51     ,M,   ,361,2,2,2
RIM ROCK ELEMENTARY SCHOOL                                  ,2000,MESA COUNTY VALLEY 51     ,E,   ,362,2,3,3
PEAR PARK ELEMENTARY SCHOOL                                 ,2000,MESA COUNTY VALLEY 51     ,E,   ,363,3,3,3
ARVADA HIGH SCHOOL                                          ,1420,JEFFERSON COUNTY R-1      ,H,   ,370,2,2,2
ARVADA WEST HIGH SCHOOL                                     ,1420,JEFFERSON COUNTY R-1      ,H,   ,378,3,3,2
ASBURY ELEMENTARY SCHOOL                                    ,880,DENVER COUNTY 1           ,E,   ,388,2,2,2
VALDEZ ELEMENTARY SCHOOL                                    ,880,DENVER COUNTY 1           ,E,   ,408,3,3,3
ASHLEY ELEMENTARY SCHOOL                                    ,880,DENVER COUNTY 1           ,E,   ,418,1,1,1
ASPEN ELEMENTARY SCHOOL                                     ,2640,ASPEN 1                   ,E,   ,428,2,2,2
CARBONDALE COMMUNITY CHARTER SCHOOL                         ,1180,ROARING FORK RE-1         ,E,   ,429,2,3,2
CARBONDALE COMMUNITY CHARTER SCHOOL                         ,1180,ROARING FORK RE-1         ,M,   ,429,3,2,2
ASPEN MIDDLE SCHOOL                                         ,2640,ASPEN 1                   ,E,   ,430,2,3,2
ASPEN MIDDLE SCHOOL                                         ,2640,ASPEN 1                   ,M,   ,430,2,3,3
ASPEN HIGH SCHOOL                                           ,2640,ASPEN 1                   ,H,   ,432,1,1,1
ASPEN CREEK K-8 SCHOOL                                      ,480,BOULDER VALLEY RE 2       ,E,   ,441,2,2,3
ASPEN CREEK K-8 SCHOOL                                      ,480,BOULDER VALLEY RE 2       ,M,   ,441,2,2,1
ASPEN CROSSING ELEMENTARY SCHOOL                            ,130,CHERRY CREEK 5            ,E,   ,442,3,2,2
AUDUBON ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,452,2,3,3
AURORA ACADEMY CHARTER SCHOOL                               ,180,ADAMS-ARAPAHOE 28J        ,E,   ,458,2,1,1
AURORA ACADEMY CHARTER SCHOOL                               ,180,ADAMS-ARAPAHOE 28J        ,M,   ,458,2,1,1
AURORA HILLS MIDDLE SCHOOL                                  ,180,ADAMS-ARAPAHOE 28J        ,M,   ,464,1,2,2
AURORA FRONTIER K-8                                         ,180,ADAMS-ARAPAHOE 28J        ,E,   ,465,2,1,2
AURORA FRONTIER K-8                                         ,180,ADAMS-ARAPAHOE 28J        ,M,   ,465,3,2,2
ATLAS PREPARATORY SCHOOL                                    ,980,HARRISON 2                ,E,   ,469,2,2,1
AVON ELEMENTARY SCHOOL                                      ,910,EAGLE COUNTY RE 50        ,E,   ,471,3,1,2
AVONDALE ELEMENTARY SCHOOL                                  ,2700,PUEBLO COUNTY 70          ,E,   ,472,1,1,1
ZACH ELEMENTARY SCHOOL                                      ,1550,POUDRE R-1                ,E,   ,477,2,1,2
BACON ELEMENTARY SCHOOL                                     ,1550,POUDRE R-1                ,E,   ,490,2,2,2
BAKER CENTRAL SCHOOL                                        ,2405,FORT MORGAN RE-3          ,E,   ,492,3,3,3
BETHKE ELEMENTARY SCHOOL                                    ,1550,POUDRE R-1                ,E,   ,498,2,2,2
MONTEREY COMMUNITY SCHOOL                                   ,10,MAPLETON 1                ,E,   ,501,1,1,2
MONTEREY COMMUNITY SCHOOL                                   ,10,MAPLETON 1                ,M,   ,501,3,2,3
MEADOW COMMUNITY SCHOOL                                     ,10,MAPLETON 1                ,E,   ,502,3,3,3
MEADOW COMMUNITY SCHOOL                                     ,10,MAPLETON 1                ,M,   ,502,3,3,3
YORK INTERNATIONAL                                          ,10,MAPLETON 1                ,E,   ,503,1,1,1
YORK INTERNATIONAL                                          ,10,MAPLETON 1                ,H,   ,503,1,2,2
YORK INTERNATIONAL                                          ,10,MAPLETON 1                ,M,   ,503,2,1,1
 WELBY MONTESSORI SCHOOL                                    ,10,MAPLETON 1                ,E,   ,504,3,2,2
ACHIEVE ACADEMY                                             ,10,MAPLETON 1                ,E,   ,505,2,2,1
ACHIEVE ACADEMY                                             ,10,MAPLETON 1                ,M,   ,505,3,3,3
EXPLORE ELEMENTARY                                          ,10,MAPLETON 1                ,E,   ,506,3,2,3
ADVENTURE ELEMENTARY                                        ,10,MAPLETON 1                ,E,   ,507,2,2,2
CLAYTON PARTNERSHIP SCHOOL                                  ,10,MAPLETON 1                ,E,   ,509,3,2,3
CLAYTON PARTNERSHIP SCHOOL                                  ,10,MAPLETON 1                ,M,   ,509,1,2,3
CONRAD BALL MIDDLE SCHOOL                                   ,1560,THOMPSON R2-J             ,M,   ,510,2,1,1
ACADEMY FOR ADVANCED AND CREATIVE LEARNING                  ,1010,COLORADO SPRINGS 11       ,E,   ,517,2,2,2
ACADEMY FOR ADVANCED AND CREATIVE LEARNING                  ,1010,COLORADO SPRINGS 11       ,M,   ,517,2,,2
BARNUM ELEMENTARY SCHOOL                                    ,880,DENVER COUNTY 1           ,E,   ,520,2,2,2
BARRETT ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,540,3,1,1
BANNING LEWIS RANCH ACADEMY                                 ,1110,FALCON 49                 ,E,   ,555,3,3,3
BANNING LEWIS RANCH ACADEMY                                 ,1110,FALCON 49                 ,M,   ,555,2,2,2
BASALT ELEMENTARY SCHOOL                                    ,1180,ROARING FORK RE-1         ,E,   ,560,3,2,2
BASALT MIDDLE SCHOOL                                        ,1180,ROARING FORK RE-1         ,E,   ,561,3,3,3
BASALT MIDDLE SCHOOL                                        ,1180,ROARING FORK RE-1         ,M,   ,561,3,3,3
BASALT HIGH SCHOOL                                          ,1180,ROARING FORK RE-1         ,H,   ,570,2,3,2
BATES ELEMENTARY SCHOOL                                     ,1010,COLORADO SPRINGS 11       ,E,   ,594,1,1,1
BATTLE MOUNTAIN HIGH SCHOOL                                 ,910,EAGLE COUNTY RE 50        ,H,   ,604,2,2,2
BATTLE ROCK CHARTER SCHOOL                                  ,2035,MONTEZUMA-CORTEZ RE-1     ,E,   ,609,1,,1
BAUDER ELEMENTARY SCHOOL                                    ,1550,POUDRE R-1                ,E,   ,612,2,1,1
BAYFIELD ELEMENTARY SCHOOL                                  ,1530,BAYFIELD 10 JT-R          ,E,   ,632,2,1,1
BAYFIELD MIDDLE SCHOOL                                      ,1530,BAYFIELD 10 JT-R          ,M,   ,636,2,2,2
BAYFIELD HIGH SCHOOL                                        ,1530,BAYFIELD 10 JT-R          ,H,   ,640,2,2,2
BEACH COURT ELEMENTARY SCHOOL                               ,880,DENVER COUNTY 1           ,E,   ,650,2,1,2
BEAR CANYON ELEMENTARY SCHOOL                               ,900,DOUGLAS COUNTY RE 1       ,E,   ,651,2,2,1
BEAR CREEK ELEMENTARY SCHOOL                                ,480,BOULDER VALLEY RE 2       ,E,   ,652,2,2,2
STONE CREEK SCHOOL                                          ,8001,CHARTER SCHOOL INSTITUTE  ,E,   ,653,2,1,1
STONE CREEK SCHOOL                                          ,8001,CHARTER SCHOOL INSTITUTE  ,M,   ,653,3,3,3
THE PINNACLE CHARTER SCHOOL ELEMENTARY                      ,8001,CHARTER SCHOOL INSTITUTE  ,E,   ,654,2,2,2
HIGH POINT ACADEMY                                          ,8001,CHARTER SCHOOL INSTITUTE  ,E,   ,655,2,2,3
HIGH POINT ACADEMY                                          ,8001,CHARTER SCHOOL INSTITUTE  ,M,   ,655,3,2,3
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE                       ,8001,CHARTER SCHOOL INSTITUTE  ,E,   ,657,3,3,3
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE                       ,8001,CHARTER SCHOOL INSTITUTE  ,M,   ,657,1,,1
BEAR CREEK K-8 SCHOOL                                       ,1420,JEFFERSON COUNTY R-1      ,E,   ,660,1,2,2
BEAR CREEK K-8 SCHOOL                                       ,1420,JEFFERSON COUNTY R-1      ,M,   ,660,2,2,1
BEAR CREEK HIGH SCHOOL                                      ,1420,JEFFERSON COUNTY R-1      ,H,   ,664,2,2,2
BEATTIE ELEMENTARY SCHOOL                                   ,1550,POUDRE R-1                ,E,   ,678,2,2,2
BELL MIDDLE SCHOOL                                          ,1420,JEFFERSON COUNTY R-1      ,M,   ,694,2,2,2
BELLE CREEK CHARTER SCHOOL                                  ,40,BRIGHTON 27J              ,E,   ,700,2,1,1
BELLE CREEK CHARTER SCHOOL                                  ,40,BRIGHTON 27J              ,M,   ,700,3,2,3
BELLEVIEW ELEMENTARY SCHOOL                                 ,130,CHERRY CREEK 5            ,E,   ,714,2,2,2
BELMAR ELEMENTARY SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,E,   ,724,1,1,1
BELMONT ELEMENTARY SCHOOL                                   ,2690,PUEBLO CITY 60            ,E,   ,738,1,1,1
FRANKLIN ELEMENTARY SCHOOL                                  ,140,LITTLETON 6               ,E,   ,752,2,1,2
BENJAMIN EATON ELEMENTARY SCHOOL                            ,3085,EATON RE-2                ,E,   ,754,2,2,2
BENJAMIN FRANKLIN ELEMENTARY SCHOOL                         ,2690,PUEBLO CITY 60            ,E,   ,756,2,2,2
BENNETT ELEMENTARY SCHOOL                                   ,1550,POUDRE R-1                ,E,   ,766,2,1,2
BENNETT ELEMENTARY SCHOOL                                   ,50,BENNETT 29J               ,E,   ,770,3,3,3
BENNETT MIDDLE SCHOOL                                       ,50,BENNETT 29J               ,M,   ,774,2,2,2
BENNETT HIGH SCHOOL                                         ,50,BENNETT 29J               ,H,   ,775,2,2,2
BERGEN VALLEY INTERMEDIATE SCHOOL                           ,1420,JEFFERSON COUNTY R-1      ,E,   ,779,2,2,1
BERRY CREEK MIDDLE SCHOOL                                   ,910,EAGLE COUNTY RE 50        ,M,   ,793,2,1,1
BERTHOUD ELEMENTARY SCHOOL                                  ,1560,THOMPSON R2-J             ,E,   ,808,2,3,2
BERTHOUD HIGH SCHOOL                                        ,1560,THOMPSON R2-J             ,H,   ,812,2,2,2
BESSEMER ELEMENTARY SCHOOL                                  ,2690,PUEBLO CITY 60            ,E,   ,822,1,1,2
BESSEMER ELEMENTARY SCHOOL                                  ,2690,PUEBLO CITY 60            ,M,   ,822,1,1,1
BETHUNE ELEMENTARY SCHOOL                                   ,1490,BETHUNE R-5               ,E,   ,832,1,1,1
BETHUNE JUNIOR-SENIOR HIGH SCHOOL                           ,1490,BETHUNE R-5               ,H,   ,842,2,3,3
BETHUNE JUNIOR-SENIOR HIGH SCHOOL                           ,1490,BETHUNE R-5               ,M,   ,842,3,,1
BEULAH ELEMENTARY SCHOOL                                    ,2700,PUEBLO COUNTY 70          ,E,   ,852,2,1,2
BEULAH MIDDLE SCHOOL                                        ,2700,PUEBLO COUNTY 70          ,M,   ,856,1,2,1
BEULAH HEIGHTS ELEMENTARY SCHOOL                            ,2690,PUEBLO CITY 60            ,E,   ,860,1,1,1
B F KITCHEN ELEMENTARY SCHOOL                               ,1560,THOMPSON R2-J             ,E,   ,865,1,3,2
BIG THOMPSON ELEMENTARY SCHOOL                              ,1560,THOMPSON R2-J             ,E,   ,870,2,3,3
THE BIJOU SCHOOL                                            ,1010,COLORADO SPRINGS 11       ,H,   ,871,,,1
BIRCH ELEMENTARY SCHOOL                                     ,480,BOULDER VALLEY RE 2       ,E,   ,872,1,3,3
BLACK ROCK ELEMENTARY                                       ,470,ST VRAIN VALLEY RE 1J     ,E,   ,875,2,2,2
BLUE MOUNTAIN ELEMENTARY                                    ,470,ST VRAIN VALLEY RE 1J     ,E,   ,878,2,2,3
MARY BLAIR ELEMENTARY SCHOOL                                ,1560,THOMPSON R2-J             ,E,   ,890,2,3,2
BLEVINS MIDDLE SCHOOL                                       ,1550,POUDRE R-1                ,M,   ,892,2,3,3
BOLTZ MIDDLE SCHOOL                                         ,1550,POUDRE R-1                ,M,   ,898,2,3,2
BOOKCLIFF MIDDLE SCHOOL                                     ,2000,MESA COUNTY VALLEY 51     ,M,   ,900,2,2,1
BOSTON K-8 SCHOOL                                           ,180,ADAMS-ARAPAHOE 28J        ,E,   ,914,1,1,1
BOSTON K-8 SCHOOL                                           ,180,ADAMS-ARAPAHOE 28J        ,M,   ,914,3,1,1
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES                 ,480,BOULDER VALLEY RE 2       ,E,   ,919,2,2,2
BOULDER HIGH SCHOOL                                         ,480,BOULDER VALLEY RE 2       ,H,   ,924,2,2,2
BOULDER PREP CHARTER HIGH SCHOOL                            ,480,BOULDER VALLEY RE 2       ,H,   ,934,,,1
BRANSON SCHOOL ONLINE                                       ,1750,BRANSON REORGANIZED 82    ,E,   ,948,1,1,1
BRANSON SCHOOL ONLINE                                       ,1750,BRANSON REORGANIZED 82    ,H,   ,948,2,1,2
BRANSON SCHOOL ONLINE                                       ,1750,BRANSON REORGANIZED 82    ,M,   ,948,3,3,3
BRADFORD PRIMARY SCHOOL                                     ,1420,JEFFERSON COUNTY R-1      ,E,   ,950,2,,2
BLUE HERON ELEMENTARY SCHOOL                                ,1420,JEFFERSON COUNTY R-1      ,E,   ,951,3,3,3
BRADFORD INTERMEDIATE SCHOOL                                ,1420,JEFFERSON COUNTY R-1      ,E,   ,952,2,2,2
BRADFORD ELEMENTARY SCHOOL                                  ,2690,PUEBLO CITY 60            ,E,   ,954,2,1,1
BRADLEY ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,964,2,2,2
BRADY EXPLORATION SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,H,   ,965,3,1,2
BRENTWOOD MIDDLE SCHOOL                                     ,3120,GREELEY 6                 ,M,   ,988,1,1,1
BRICKER ELEMENTARY SCHOOL                                   ,980,HARRISON 2                ,E,   ,1000,2,1,1
BRIDGES                                                     ,1180,ROARING FORK RE-1         ,H,   ,1006,,,2
BRIGGSDALE ELEMENTARY SCHOOL                                ,3146,BRIGGSDALE RE-10          ,E,   ,1008,2,2,2
BRIGGSDALE UNDIVIDED HIGH SCHOOL                            ,3146,BRIGGSDALE RE-10          ,H,   ,1012,3,3,2
BRIGGSDALE UNDIVIDED HIGH SCHOOL                            ,3146,BRIGGSDALE RE-10          ,M,   ,1012,1,1,1
BRIGHTON HERITAGE ACADEMY                                   ,40,BRIGHTON 27J              ,A,MH ,1021,,,1
BRIGHTON HERITAGE ACADEMY                                   ,40,BRIGHTON 27J              ,H,   ,1021,1,,1
BRIGHTON HIGH SCHOOL                                        ,40,BRIGHTON 27J              ,H,   ,1022,2,2,2
BRISTOL ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,1032,2,3,3
BROADWAY ELEMENTARY SCHOOL                                  ,2000,MESA COUNTY VALLEY 51     ,E,   ,1046,2,3,3
BROMLEY EAST CHARTER SCHOOL                                 ,40,BRIGHTON 27J              ,E,   ,1052,2,3,3
BROMLEY EAST CHARTER SCHOOL                                 ,40,BRIGHTON 27J              ,M,   ,1052,3,2,2
BROMWELL ELEMENTARY SCHOOL                                  ,880,DENVER COUNTY 1           ,E,   ,1056,2,2,1
BROOMFIELD HEIGHTS MIDDLE SCHOOL                            ,480,BOULDER VALLEY RE 2       ,M,   ,1066,2,2,2
