District No,School Name,District Name,School No,eng_yn,math_yn,read_yn,sci_yn
0120,ENGLEWOOD HIGH SCHOOL,ENGLEWOOD 1,2746,2,2,2,2
0123,SHERIDAN HIGH SCHOOL,SHERIDAN 2,7842,2,2,2,2
0130,CHEROKEE TRAIL HIGH SCHOOL,CHERRY CREEK 5,1551,1,2,2,2
0130,CHERRY CREEK HIGH SCHOOL,CHERRY CREEK 5,1570,1,1,1,1
0130,EAGLECREST HIGH SCHOOL,CHERRY CREEK 5,2357,1,2,2,2
0130,GRANDVIEW HIGH SCHOOL,CHERRY CREEK 5,3589,1,1,1,2
0130,OVERLAND HIGH SCHOOL,CHERRY CREEK 5,6625,2,2,2,2
0130,SMOKY HILL HIGH SCHOOL,CHERRY CREEK 5,8020,1,2,2,2
0140,ARAPAHOE HIGH SCHOOL,LITTLETON 6,0298,1,1,1,2
0140,HERITAGE HIGH SCHOOL,LITTLETON 6,3930,1,1,1,2
0140,LITTLETON HIGH SCHOOL,LITTLETON 6,5224,1,2,2,2
0170,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,DEER TRAIL 26J,2140,1,2,2,2
0180,APS ONLINE SCHOOL,ADAMS-ARAPAHOE 28J,0219,2,2,2,2
0180,AURORA CENTRAL HIGH SCHOOL,ADAMS-ARAPAHOE 28J,1458,2,2,2,2
0180,GATEWAY HIGH SCHOOL,ADAMS-ARAPAHOE 28J,3354,2,2,2,2
0180,HINKLEY HIGH SCHOOL,ADAMS-ARAPAHOE 28J,4024,2,2,2,2
0180,LOTUS SCHOOL FOR EXCELLENCE,ADAMS-ARAPAHOE 28J,5298,2,2,2,2
0180,NEW AMERICA SCHOOL,ADAMS-ARAPAHOE 28J,6219,2,2,2,2
0180,RANGEVIEW HIGH SCHOOL,ADAMS-ARAPAHOE 28J,7250,1,2,2,2
0180,WILLIAM SMITH HIGH SCHOOL,ADAMS-ARAPAHOE 28J,8356,1,2,2,2
0190,BYERS JUNIOR-SENIOR HIGH SCHOOL,BYERS 32J,1176,2,2,2,2
0220,ARCHULETA COUNTY HIGH SCHOOL,ARCHULETA COUNTY 50 JT,0064,,,,
0220,PAGOSA SPRINGS HIGH SCHOOL,ARCHULETA COUNTY 50 JT,6658,1,2,2,2
0230,WALSH HIGH SCHOOL,WALSH RE-1,9226,,,,
0240,PRITCHETT HIGH SCHOOL,PRITCHETT RE-3,7180,,,,
0250,SPRINGFIELD HIGH SCHOOL,SPRINGFIELD RE-4,8168,1,2,2,2
0260,V.I.L.A.S. ONLINE SCHOOL,VILAS RE-5,9085,,,,
0260,VILAS UNDIVIDED HIGH SCHOOL,VILAS RE-5,9100,,,,
0270,CAMPO UNDIVIDED HIGH SCHOOL,CAMPO RE-6,1252,,,,
0290,LAS ANIMAS HIGH SCHOOL,LAS ANIMAS RE-1,4990,2,2,2,2
0310,MC CLAVE UNDIVIDED HIGH SCHOOL,MC CLAVE RE-2,5670,2,2,2,2
0470,ERIE HIGH SCHOOL,ST VRAIN VALLEY RE 1J,2761,1,2,2,2
0470,FREDERICK SENIOR HIGH SCHOOL,ST VRAIN VALLEY RE 1J,3196,2,2,2,2
0470,LONGMONT HIGH SCHOOL,ST VRAIN VALLEY RE 1J,5282,1,2,2,2
0470,LYONS MIDDLE/SENIOR HIGH SCHOOL,ST VRAIN VALLEY RE 1J,5368,1,1,1,2
0470,MEAD HIGH SCHOOL,ST VRAIN VALLEY RE 1J,5722,1,2,2,2
0470,NIWOT HIGH SCHOOL,ST VRAIN VALLEY RE 1J,6276,1,1,1,1
0470,OLDE COLUMBINE HIGH SCHOOL,ST VRAIN VALLEY RE 1J,6498,2,2,2,2
0470,ADULT EDUCATION/LINCOLN CENTER,ST VRAIN VALLEY RE 1J,6499,,,,
0470,SILVER CREEK HIGH SCHOOL,ST VRAIN VALLEY RE 1J,7789,1,2,1,2
0470,SKYLINE HIGH SCHOOL,ST VRAIN VALLEY RE 1J,7954,2,2,2,2
0480,ARAPAHOE RIDGE HIGH SCHOOL,BOULDER VALLEY RE 2,0125,2,2,2,2
0480,BOULDER HIGH SCHOOL,BOULDER VALLEY RE 2,0924,1,1,1,2
0480,BOULDER UNIVERSAL,BOULDER VALLEY RE 2,0930,,,,
0480,BOULDER PREP CHARTER HIGH SCHOOL,BOULDER VALLEY RE 2,0934,2,2,2,2
0480,BROOMFIELD HIGH SCHOOL,BOULDER VALLEY RE 2,1070,1,1,1,2
0480,CENTAURUS HIGH SCHOOL,BOULDER VALLEY RE 2,1380,1,2,1,2
0480,FAIRVIEW HIGH SCHOOL,BOULDER VALLEY RE 2,2892,1,1,1,1
0480,HALCYON SCHOOL (SPECIAL EDUCATION),BOULDER VALLEY RE 2,3499,,,,
0480,JUSTICE HIGH CHARTER SCHOOL,BOULDER VALLEY RE 2,4496,,,,
0480,MONARCH HIGH SCHOOL,BOULDER VALLEY RE 2,5999,1,1,1,2
0480,NEW VISTA HIGH SCHOOL,BOULDER VALLEY RE 2,6195,1,2,1,2
0480,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,BOULDER VALLEY RE 2,6212,1,2,1,2
0480,PEAK TO PEAK CHARTER SCHOOL,BOULDER VALLEY RE 2,6816,1,1,1,1
0490,BUENA VISTA HIGH SCHOOL,BUENA VISTA R-31,1130,1,2,1,2
0490,CHAFFEE COUNTY HIGH SCHOOL,BUENA VISTA R-31,1508,,,,
0500,HORIZONS EXPLORATORY ACADEMY,SALIDA R-32,4085,,,,
0500,SALIDA HIGH SCHOOL,SALIDA R-32,7568,1,2,2,2
0510,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,KIT CARSON R-1,4742,,,,
0520,CHEYENNE WELLS HIGH SCHOOL,CHEYENNE COUNTY RE-5,1612,,,,
0540,CLEAR CREEK HIGH SCHOOL,CLEAR CREEK RE-1,4216,1,2,2,2
0550,CENTAURI HIGH SCHOOL,NORTH CONEJOS RE-1J,1378,2,2,2,2
0550,LA JARA SECOND CHANCE SCHOOL,NORTH CONEJOS RE-1J,4837,,,,
0560,SANFORD JUNIOR/SENIOR HIGH SCHOOL,SANFORD 6J,7616,1,1,1,2
0580,ANTONITO HIGH SCHOOL,SOUTH CONEJOS RE-10,0252,2,2,2,2
0640,CENTENNIAL HIGH SCHOOL,CENTENNIAL R-1,1398,,,,
0740,SIERRA GRANDE SENIOR HIGH SCHOOL,SIERRA GRANDE R-30,7880,2,2,2,2
0770,CROWLEY COUNTY ONLINE ACADEMY,CROWLEY COUNTY RE-1-J,1967,,,,
0770,CROWLEY COUNTY HIGH SCHOOL,CROWLEY COUNTY RE-1-J,2058,2,2,2,2
0860,CUSTER COUNTY HIGH SCHOOL,CUSTER COUNTY SCHOOL DISTRICT C-1,2092,1,2,1,2
0870,CEDAREDGE HIGH SCHOOL,DELTA COUNTY 50(J),1372,1,2,2,2
0870,DELTA COUNTY OPPORTUNITY SCHOOL,DELTA COUNTY 50(J),2155,2,2,2,2
0870,DELTA HIGH SCHOOL,DELTA COUNTY 50(J),2164,1,2,2,2
0870,DELTA VISION SCHOOL,DELTA COUNTY 50(J),2166,1,2,2,2
0870,HOTCHKISS HIGH SCHOOL,DELTA COUNTY 50(J),4128,1,2,2,2
0870,LAMBORN VISION SCHOOL,DELTA COUNTY 50(J),4965,,,,
0870,PAONIA HIGH SCHOOL,DELTA COUNTY 50(J),6708,1,2,2,2
0870,SURFACE CREEK VISION SCHOOL,DELTA COUNTY 50(J),8419,2,2,2,2
0870,NORTH FORK VISION SCHOOL,DELTA COUNTY 50(J),9146,,,,
0880,ABRAHAM LINCOLN HIGH SCHOOL,DENVER COUNTY 1,0010,2,2,2,2
0880,RIDGE VIEW ACADEMY CHARTER SCHOOL,DENVER COUNTY 1,0040,2,2,2,2
0880,ACADEMY OF URBAN LEARNING,DENVER COUNTY 1,0067,2,2,2,2
0880,EMERSON STREET SCHOOL,DENVER COUNTY 1,0133,,,,
0880,FRED N THOMAS CAREER EDUCATION CENTER,DENVER COUNTY 1,1319,2,2,2,2
0880,COLORADO HIGH SCHOOL,DENVER COUNTY 1,1748,2,2,2,2
0880,CONNECTIONS ACADEMY,DENVER COUNTY 1,1887,,,,
0880,DENVER CENTER FOR INTERNATIONAL STUDIES,DENVER COUNTY 1,2183,1,2,2,2
0880,DENVER SCHOOL OF THE ARTS,DENVER COUNTY 1,2184,1,2,1,2
0880,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,DENVER COUNTY 1,2185,1,1,1,2
0880,EAST HIGH SCHOOL,DENVER COUNTY 1,2398,1,2,1,2
0880,EMILY GRIFFITH OPPORTUNITY SCHOOL,DENVER COUNTY 1,2726,2,2,2,2
0880,VENTURE PREP,DENVER COUNTY 1,2755,2,2,2,2
0880,ESCUELA TLATELOLCO SCHOOL,DENVER COUNTY 1,2789,2,2,2,2
0880,FLORENCE CRITTENTON HIGH SCHOOL,DENVER COUNTY 1,3000,2,2,2,2
0880,GEORGE WASHINGTON HIGH SCHOOL,DENVER COUNTY 1,3378,1,2,2,2
0880,JOHN F KENNEDY HIGH SCHOOL,DENVER COUNTY 1,4444,2,2,2,2
0880,JUSTICE HIGH SCHOOL DENVER,DENVER COUNTY 1,4494,2,2,2,2
0880,LIFE SKILLS CENTER OF DENVER,DENVER COUNTY 1,5129,2,2,2,2
0880,MANUAL HIGH SCHOOL,DENVER COUNTY 1,5448,2,2,2,2
0880,MARTIN LUTHER KING MIDDLE COLLEGE,DENVER COUNTY 1,5605,2,2,2,2
0880,CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,DENVER COUNTY 1,5844,2,2,2,2
0880,MONTBELLO HIGH SCHOOL,DENVER COUNTY 1,5995,2,2,2,2
0880,NORTH HIGH SCHOOL,DENVER COUNTY 1,6314,2,2,2,2
0880,BRUCE RANDOLPH SCHOOL,DENVER COUNTY 1,6350,2,2,2,2
0880,ONLINE HIGH SCHOOL,DENVER COUNTY 1,6509,,,,
0880,P.R.E.P. (POSITIVE REFOCUS EDUCATION PROGRAM),DENVER COUNTY 1,7163,,,,
0880,P.S.1 CHARTER SCHOOL,DENVER COUNTY 1,7199,,,,
0880,SOUTH HIGH SCHOOL,DENVER COUNTY 1,8086,2,2,2,2
0880,SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,DENVER COUNTY 1,8132,2,2,2,2
0880,SUMMIT ACADEMY,DENVER COUNTY 1,8145,2,2,2,2
0880,THOMAS JEFFERSON HIGH SCHOOL,DENVER COUNTY 1,8822,2,2,2,2
0880,WEST HIGH SCHOOL,DENVER COUNTY 1,9408,2,2,2,2
0890,DOVE CREEK HIGH SCHOOL,DOLORES COUNTY RE NO.2,2216,,,,
0900,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,DOUGLAS COUNTY RE 1,0201,2,2,2,2
0900,CASTLE VIEW HIGH SCHOOL,DOUGLAS COUNTY RE 1,1367,1,2,1,2
0900,CHAPARRAL HIGH SCHOOL,DOUGLAS COUNTY RE 1,1503,1,2,2,2
0900,DOUGLAS COUNTY HIGH SCHOOL,DOUGLAS COUNTY RE 1,2230,1,2,1,2
0900,EAGLE ACADEMY,DOUGLAS COUNTY RE 1,2338,2,2,2,2
0900,HIGHLANDS RANCH HIGH SCHOOL,DOUGLAS COUNTY RE 1,3980,1,1,1,2
0900,HOPE ON-LINE,DOUGLAS COUNTY RE 1,3995,2,2,2,2
0900,LEGEND HIGH SCHOOL,DOUGLAS COUNTY RE 1,4271,1,2,1,2
0900,EDCSD: COLORADO CYBER SCHOOL,DOUGLAS COUNTY RE 1,5405,,,,
0900,MOUNTAIN VISTA HIGH SCHOOL,DOUGLAS COUNTY RE 1,6165,1,1,1,2
0900,PONDEROSA HIGH SCHOOL,DOUGLAS COUNTY RE 1,7118,1,1,1,2
0900,ROCK CANYON HIGH SCHOOL,DOUGLAS COUNTY RE 1,7435,1,1,1,2
0900,THUNDERRIDGE HIGH SCHOOL,DOUGLAS COUNTY RE 1,8847,1,1,1,2
0910,RED CANYON HIGH SCHOOL,EAGLE COUNTY RE 50,0205,2,2,2,2
0910,BATTLE MOUNTAIN HIGH SCHOOL,EAGLE COUNTY RE 50,0604,1,2,2,2
0910,EAGLE VALLEY HIGH SCHOOL,EAGLE COUNTY RE 50,2350,1,2,2,2
0910,NEW AMERICA CHARTER SCHOOL,EAGLE COUNTY RE 50,6238,,,,
0910,VAIL SKI AND SNOWBOARD ACADEMY (USSA),EAGLE COUNTY RE 50,9061,,,,
0920,ELIZABETH HIGH SCHOOL,ELIZABETH C-1,2608,1,2,1,2
0920,FRONTIER HIGH SCHOOL,ELIZABETH C-1,3236,2,2,2,2
0930,KIOWA HIGH SCHOOL,KIOWA C-2,4728,1,2,2,2
0940,SIMLA HIGH SCHOOL,BIG SANDY 100J,7922,2,2,2,2
0950,ELBERT JUNIOR-SENIOR HIGH SCHOOL,ELBERT 200,2574,,,,
0960,AGATE JUNIOR-SENIOR HIGH SCHOOL,AGATE 300,0048,,,,
0970,CALHAN HIGH SCHOOL,CALHAN RJ-1,1218,1,2,2,2
0980,HARRISON HIGH SCHOOL,HARRISON 2,3806,2,2,2,2
0980,JAMES IRWIN CHARTER HIGH SCHOOL,HARRISON 2,4378,1,1,1,2
0980,NEW HORIZONS DAY SCHOOL,HARRISON 2,6244,2,2,2,2
0980,SIERRA HIGH SCHOOL,HARRISON 2,7882,2,2,2,2
0990,MESA RIDGE HIGH SCHOOL,WIDEFIELD 3,5841,2,2,2,2
0990,DISCOVERY HIGH SCHOOL,WIDEFIELD 3,9560,,,,
0990,WIDEFIELD HIGH SCHOOL,WIDEFIELD 3,9566,2,2,2,2
1000,LORRAINE SECONDARY SCHOOL,FOUNTAIN 8,0203,2,2,2,2
1000,FOUNTAIN-FORT CARSON HIGH SCHOOL,FOUNTAIN 8,3110,1,2,2,2
1010,ACHIEVEK12,COLORADO SPRINGS 11,0269,,,,
1010,THE BIJOU SCHOOL,COLORADO SPRINGS 11,0871,2,2,2,2
1010,CIVA CHARTER ACADEMY,COLORADO SPRINGS 11,1616,1,2,2,2
1010,CORONADO HIGH SCHOOL,COLORADO SPRINGS 11,1870,1,2,2,2
1010,COMMUNITY PREP CHARTER SCHOOL,COLORADO SPRINGS 11,1885,2,2,2,2
1010,DOHERTY HIGH SCHOOL,COLORADO SPRINGS 11,2202,1,2,2,2
1010,NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,COLORADO SPRINGS 11,2528,2,2,2,2
1010,LIFE SKILLS CENTER OF COLORADO SPRINGS,COLORADO SPRINGS 11,5146,2,2,2,2
1010,MITCHELL HIGH SCHOOL,COLORADO SPRINGS 11,5948,2,2,2,2
1010,PALMER HIGH SCHOOL,COLORADO SPRINGS 11,6680,1,2,2,2
1010,WASSON HIGH SCHOOL,COLORADO SPRINGS 11,9298,2,2,2,2
1020,CHEYENNE MOUNTAIN HIGH SCHOOL,CHEYENNE MOUNTAIN 12,1590,1,1,1,2
1030,MANITOU SPRINGS HIGH SCHOOL,MANITOU SPRINGS 14,5468,1,2,1,2
1040,AIR ACADEMY HIGH SCHOOL,ACADEMY 20,0076,1,1,1,2
1040,ACADEMY ONLINE HIGH SCHOOL,ACADEMY 20,0110,,,,
1040,ASPEN VALLEY HIGH SCHOOL,ACADEMY 20,0209,2,2,2,2
1040,THE CLASSICAL ACADEMY HIGH SCHOOL,ACADEMY 20,1630,1,1,1,1
1040,DISCOVERY CANYON CAMPUS SCHOOL,ACADEMY 20,2195,1,2,1,2
1040,LIBERTY HIGH SCHOOL,ACADEMY 20,5126,1,2,1,2
1040,PINE CREEK HIGH SCHOOL,ACADEMY 20,6937,1,2,1,2
1040,RAMPART HIGH SCHOOL,ACADEMY 20,7240,1,2,1,2
1040,TCA COLLEGE PATHWAYS,ACADEMY 20,8779,1,1,1,2
1050,ELLICOTT SENIOR HIGH SCHOOL,ELLICOTT 22,2642,2,2,2,2
1060,PEYTON JUNIOR/SENIOR HIGH SCHOOL,PEYTON 23 JT,6902,1,2,2,2
1070,HANOVER JUNIOR-SENIOR HIGH SCHOOL,HANOVER 28,3758,,,,
1080,LEWIS-PALMER HIGH SCHOOL,LEWIS-PALMER 38,5100,1,1,1,2
1080,PALMER RIDGE HIGH SCHOOL,LEWIS-PALMER 38,6678,1,1,1,2
1110,FALCON VIRTUAL ACADEMY,FALCON 49,2877,,,,
1110,FALCON HIGH SCHOOL,FALCON 49,2908,1,2,2,2
1110,PATRIOT LEARNING CENTER,FALCON 49,6810,2,2,2,2
1110,ROCKY MOUNTAIN CLASSICAL ACADEMY,FALCON 49,7463,1,2,2,2
1110,SAND CREEK HIGH SCHOOL,FALCON 49,7613,2,2,2,2
1110,VISTA RIDGE HIGH SCHOOL,FALCON 49,8791,2,2,2,2
1120,EDISON ACADEMY,EDISON 54 JT,2504,,,,
1120,EDISON JUNIOR-SENIOR HIGH SCHOOL,EDISON 54 JT,2526,,,,
1130,MIAMI-YODER SENIOR HIGH SCHOOL,MIAMI/YODER 60 JT,5854,2,2,2,2
1140,CANON CITY HIGH SCHOOL,CANON CITY RE-1,1266,2,2,2,2
1140,GARDEN PARK HIGH SCHOOL,CANON CITY RE-1,3211,,,,
1150,FLORENCE HIGH SCHOOL,FREMONT RE-2,3002,2,2,2,2
1160,COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,COTOPAXI RE-3,3228,,,,
1180,BASALT HIGH SCHOOL,ROARING FORK RE-1,0570,1,2,2,2
1180,BRIDGES,ROARING FORK RE-1,1006,1,2,2,2
1180,GLENWOOD SPRINGS HIGH SCHOOL,ROARING FORK RE-1,3468,1,2,2,2
1180,ROARING FORK HIGH SCHOOL,ROARING FORK RE-1,7422,2,2,2,2
1195,COAL RIDGE HIGH SCHOOL,GARFIELD RE-2,0065,1,2,2,2
1195,KAPLAN ACADEMY OF COLORADO,GARFIELD RE-2,3325,2,2,2,2
1195,RIFLE HIGH SCHOOL,GARFIELD RE-2,7360,1,2,2,2
1220,GRAND VALLEY HIGH SCHOOL,GARFIELD 16,3586,2,2,2,2
1330,GILPIN COUNTY UNDIVIDED HIGH SCHOOL,GILPIN COUNTY RE-1,1634,2,2,2,2
1340,WEST GRAND HIGH SCHOOL,WEST GRAND 1-JT.,9420,1,2,2,2
1350,MIDDLE PARK HIGH SCHOOL,EAST GRAND 2,5864,1,2,2,2
1360,CRESTED BUTTE COMMUNITY SCHOOL,GUNNISON WATERSHED RE1J,2006,1,2,1,2
1360,GUNNISON HIGH SCHOOL,GUNNISON WATERSHED RE1J,3694,1,2,2,2
1360,GUNNISON VALLEY SCHOOL,GUNNISON WATERSHED RE1J,3701,,,,
1380,LAKE CITY COMMUNITY SCHOOL,HINSDALE COUNTY RE 1,4899,,,,
1390,HUERFANO COUNTY OPPORTUNITY AND ENRICHMENT SCHOOL,HUERFANO RE-1,4161,,,,
1390,JOHN MALL HIGH SCHOOL,HUERFANO RE-1,9212,2,2,2,2
1400,LA VETA JUNIOR-SENIOR HIGH SCHOOL,LA VETA RE-2,4864,1,2,2,2
1410,NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,NORTH PARK R-1,6358,1,2,1,2
1420,MC LAIN HIGH SCHOOL,JEFFERSON COUNTY R-1,0033,2,2,2,2
1420,ALAMEDA HIGH SCHOOL,JEFFERSON COUNTY R-1,0108,2,2,2,2
1420,ARVADA HIGH SCHOOL,JEFFERSON COUNTY R-1,0370,2,2,2,2
1420,ARVADA WEST HIGH SCHOOL,JEFFERSON COUNTY R-1,0378,1,2,2,2
1420,BEAR CREEK HIGH SCHOOL,JEFFERSON COUNTY R-1,0664,1,2,2,2
1420,BRADY EXPLORATION SCHOOL,JEFFERSON COUNTY R-1,0965,2,2,2,2
1420,CHATFIELD HIGH SCHOOL,JEFFERSON COUNTY R-1,1522,1,1,1,2
1420,COLUMBINE HIGH SCHOOL,JEFFERSON COUNTY R-1,1864,1,2,2,2
1420,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,JEFFERSON COUNTY R-1,1869,,,,
1420,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,JEFFERSON COUNTY R-1,1880,1,2,1,2
1420,CONIFER SENIOR HIGH SCHOOL,JEFFERSON COUNTY R-1,1886,1,2,1,2
1420,DAKOTA RIDGE SENIOR HIGH SCHOOL,JEFFERSON COUNTY R-1,2093,1,2,1,2
1420,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,JEFFERSON COUNTY R-1,2120,1,1,1,1
1420,EVERGREEN HIGH SCHOOL,JEFFERSON COUNTY R-1,2836,1,1,1,2
1420,GOLDEN HIGH SCHOOL,JEFFERSON COUNTY R-1,3502,1,2,1,2
1420,GREEN MOUNTAIN HIGH SCHOOL,JEFFERSON COUNTY R-1,3628,1,2,2,2
1420,JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,JEFFERSON COUNTY R-1,4408,,,,
1420,JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,JEFFERSON COUNTY R-1,4410,1,1,1,2
1420,JEFFERSON HIGH SCHOOL,JEFFERSON COUNTY R-1,4422,2,2,2,2
1420,LAKEWOOD HIGH SCHOOL,JEFFERSON COUNTY R-1,4942,1,1,1,2
1420,LONGVIEW HIGH SCHOOL,JEFFERSON COUNTY R-1,5623,,,,
1420,NEW AMERICA SCHOOL,JEFFERSON COUNTY R-1,6237,2,2,2,2
1420,JEFFERSON COUNTY OPEN SECONDARY,JEFFERSON COUNTY R-1,6541,1,2,2,2
1420,POMONA HIGH SCHOOL,JEFFERSON COUNTY R-1,7114,1,2,2,2
1420,RALSTON VALLEY SENIOR HIGH SCHOOL,JEFFERSON COUNTY R-1,7239,1,1,1,2
1420,COLLEGIATE ACADEMY OF COLORADO,JEFFERSON COUNTY R-1,7701,1,2,1,2
1420,SOBESKY ACADEMY,JEFFERSON COUNTY R-1,8036,,,,
1420,STANDLEY LAKE HIGH SCHOOL,JEFFERSON COUNTY R-1,8209,1,2,2,2
1420,TWO ROADS CHARTER SCHOOL,JEFFERSON COUNTY R-1,8793,1,2,1,2
1420,WHEAT RIDGE HIGH SCHOOL,JEFFERSON COUNTY R-1,9510,1,2,2,2
1430,EADS HIGH SCHOOL,EADS RE-1,2336,,,,
1440,PLAINVIEW JUNIOR-SENIOR HIGH SCHOOL,PLAINVIEW RE-2,7009,,,,
1450,FLAGLER SENIOR HIGH SCHOOL,ARRIBA-FLAGLER C-20,2960,,,,
1460,HI PLAINS UNDIVIDED HIGH SCHOOL,HI-PLAINS R-23,7746,,,,
1480,STRATTON SENIOR HIGH SCHOOL,STRATTON R-4,8354,,,,
1490,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,BETHUNE R-5,0842,,,,
1500,BURLINGTON HIGH SCHOOL,BURLINGTON RE-6J,1152,2,2,2,2
1510,LAKE COUNTY HIGH SCHOOL,LAKE COUNTY R-1,4904,2,2,2,2
1520,DURANGO HIGH SCHOOL,DURANGO 9-R,2318,1,2,1,2
1520,ROBERT DENIER YOUTH SERVICES CENTER,DURANGO 9-R,9806,,,,
1530,BAYFIELD HIGH SCHOOL,BAYFIELD 10 JT-R,0640,1,2,2,2
1540,IGNACIO ACADEMY,IGNACIO 11 JT,4179,,,,
1540,IGNACIO HIGH SCHOOL,IGNACIO 11 JT,4258,2,2,2,2
1550,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,POUDRE R-1,0146,1,1,1,2
1550,FORT COLLINS HIGH SCHOOL,POUDRE R-1,3046,1,2,1,2
1550,FOSSIL RIDGE HIGH SCHOOL,POUDRE R-1,3105,1,1,1,2
1550,CENTENNIAL HIGH SCHOOL,POUDRE R-1,3760,2,2,2,2
1550,POLARIS EXPEDITIONARY LEARNING SCHOOL,POUDRE R-1,7104,1,2,2,2
1550,POUDRE HIGH SCHOOL,POUDRE R-1,7124,1,2,1,2
1550,POUDRE COMMUNITY ACADEMY,POUDRE R-1,7127,2,2,2,2
1550,PSD ONLINE ACADEMY,POUDRE R-1,7198,,,,
1550,ROCKY MOUNTAIN HIGH SCHOOL,POUDRE R-1,7470,1,2,1,2
1560,BERTHOUD HIGH SCHOOL,THOMPSON R2-J,0812,1,2,1,2
1560,LOVELAND HIGH SCHOOL,THOMPSON R2-J,5316,1,2,2,2
1560,MOUNTAIN VIEW HIGH SCHOOL,THOMPSON R2-J,6163,1,2,2,2
1560,THOMPSON VALLEY HIGH SCHOOL,THOMPSON R2-J,8824,1,2,1,2
1560,THOMPSON ONLINE,THOMPSON R2-J,8855,,,,
1560,HAROLD FERGUSON HIGH SCHOOL,THOMPSON R2-J,9260,2,2,2,2
