School_District,SchoolName,SchoolNumber,Remediation_AtLeastOne_Pct2010
PUEBLO CITY 60,CENTENNIAL HIGH SCHOOL,1402,0.422018
KEENESBURG RE-3(J),WELD CENTRAL SENIOR HIGH SCHOO,1446,0.487805
MESA COUNTY VALLEY 51,CENTRAL HIGH SCHOOL,1450,0.416667
PUEBLO CITY 60,CENTRAL HIGH SCHOOL,1454,0.648352
ADAMS-ARAPAHOE 28J,AURORA CENTRAL HIGH SCHOOL,1458,0.753623
DOUGLAS COUNTY RE 1,CHAPARRAL HIGH SCHOOL,1503,0.221818
JEFFERSON COUNTY R-1,CHATFIELD HIGH SCHOOL,1522,0.240678
CHERRY CREEK 5,CHERRY CREEK HIGH SCHOOL,1570,0.128395
CHEYENNE MOUNTAIN 12,CHEYENNE MOUNTAIN HIGH SCHOOL,1590,0.145078
ACADEMY 20,THE CLASSICAL ACADEMY CHARTER,1627,0.071429
JEFFERSON COUNTY R-1,COLUMBINE HIGH SCHOOL,1864,0.274131
COLORADO SPRINGS 11,CORONADO HIGH SCHOOL,1870,0.227848
JEFFERSON COUNTY R-1,CONIFER SENIOR HIGH SCHOOL,1886,0.146552
JEFFERSON COUNTY R-1,DAKOTA RIDGE SENIOR HIGH SCHOO,2093,0.206573
JEFFERSON COUNTY R-1,D'EVELYN SENIOR HIGH SCHOOL,2120,0
DEL NORTE C-7,DEL NORTE HIGH SCHOOL,2150,
DELTA COUNTY 50(J),DELTA HIGH SCHOOL,2164,0.404255
DENVER COUNTY 1,DENVER SCHOOL OF THE ARTS,2184,0.190476
COLORADO SPRINGS 11,DOHERTY HIGH SCHOOL,2202,0.271111
DOUGLAS COUNTY RE 1,DOUGLAS COUNTY HIGH SCHOOL,2230,0.191667
DURANGO 9-R,DURANGO HIGH SCHOOL,2318,0.283688
EAGLE COUNTY RE 50,EAGLE VALLEY HIGH SCHOOL,2350,0.409836
CHERRY CREEK 5,EAGLECREST HIGH SCHOOL,2357,0.34717
PUEBLO CITY 60,EAST HIGH SCHOOL,2394,0.58
DENVER COUNTY 1,EAST HIGH SCHOOL,2398,0.385366
EATON RE-2,EATON HIGH SCHOOL,2456,0.307692
ELIZABETH C-1,ELIZABETH HIGH SCHOOL,2608,0.371429
ENGLEWOOD 1,ENGLEWOOD HIGH SCHOOL,2746,0.42029
ST VRAIN VALLEY RE 1J,ERIE MIDDLE/SENIOR HIGH SCHOOL,2761,0.426829
PARK (ESTES PARK) R-3,ESTES PARK HIGH SCHOOL,2794,0.153846
JEFFERSON COUNTY R-1,EVERGREEN HIGH SCHOOL,2836,0.145695
GREELEY 6,UNIVERSITY SCHOOLS,2850,0.438597
BOULDER VALLEY RE 2,FAIRVIEW HIGH SCHOOL,2892,0.110132
FALCON 49,FALCON HIGH SCHOOL,2908,0.29661
FLORENCE RE-2,FLORENCE HIGH SCHOOL,3002,0.545455
POUDRE R-1,FORT COLLINS HIGH SCHOOL,3046,0.254237
WELD COUNTY S/D RE-8,FORT LUPTON HIGH SCHOOL,3070,0.59375
FORT MORGAN RE-3,FORT MORGAN HIGH SCHOOL,3078,0.395349
FOUNTAIN 8,FOUNTAIN-FORT CARSON HIGH SCHO,3110,0.375839
ST VRAIN VALLEY RE 1J,FREDERICK SENIOR HIGH SCHOOL,3196,0.419355
ADAMS-ARAPAHOE 28J,GATEWAY HIGH SCHOOL,3354,0.615385
DENVER COUNTY 1,GEORGE WASHINGTON HIGH SCHOOL,3378,0.6
ROARING FORK RE-1,GLENWOOD SPRINGS HIGH SCHOOL,3468,0.298507
JEFFERSON COUNTY R-1,GOLDEN HIGH SCHOOL,3502,0.253333
MESA COUNTY VALLEY 51,GRAND JUNCTION HIGH SCHOOL,3570,0.319018
CHERRY CREEK 5,GRANDVIEW HIGH SCHOOL,3589,0.25
GREELEY 6,GREELEY CENTRAL HIGH SCHOOL,3610,0.45679
GREELEY 6,GREELEY WEST HIGH SCHOOL,3614,0.409449
JEFFERSON COUNTY R-1,GREEN MOUNTAIN HIGH SCHOOL,3628,0.20202
GUNNISON WATERSHED RE1J,GUNNISON HIGH SCHOOL,3694,0.26087
HARRISON 2,HARRISON HIGH SCHOOL,3806,0.555556
LITTLETON 6,HERITAGE HIGH SCHOOL,3930,0.190789
DOUGLAS COUNTY RE 1,HIGHLANDS RANCH HIGH SCHOOL,3980,0.181034
ADAMS-ARAPAHOE 28J,HINKLEY HIGH SCHOOL,4024,0.522936
NORTHGLENN-THORNTON 12,HORIZON HIGH SCHOOL,4108,0.386667
DELTA COUNTY 50(J),HOTCHKISS HIGH SCHOOL,4128,0.344828
CLEAR CREEK RE-1,CLEAR CREEK HIGH SCHOOL,4216,0.30303
WESTMINSTER 50,IVER C. RANUM HIGH SCHOOL,4326,0.45679
HARRISON 2,JAMES IRWIN CHARTER HIGH SCHOO,4378,
JEFFERSON COUNTY R-1,JEFFERSON CHARTER ACADEMY SENI,4410,0.310345
JEFFERSON COUNTY R-1,JEFFERSON HIGH SCHOOL,4425,0.621622
DENVER COUNTY 1,JOHN F KENNEDY HIGH SCHOOL,4444,0.627119
PLATTE VALLEY RE-7,PLATTE VALLEY HIGH SCHOOL,4670,0.521739
EAST OTERO R-1,LA JUNTA HIGH SCHOOL,4844,0.25
JEFFERSON COUNTY R-1,LAKEWOOD HIGH SCHOOL,4942,0.194313
LAMAR RE-2,LAMAR HIGH SCHOOL,4960,0.34375
NORTHGLENN-THORNTON 12,LEGACY HIGH SCHOOL,5043,0.23506
LEWIS-PALMER 38,LEWIS-PALMER HIGH SCHOOL,5100,0.109756
ACADEMY 20,LIBERTY HIGH SCHOOL,5126,0.253012
LIMON RE-4J,LIMON JUNIOR-SENIOR HIGH SCHOO,5136,
LITTLETON 6,LITTLETON HIGH SCHOOL,5224,0.289017
ST VRAIN VALLEY RE 1J,LONGMONT HIGH SCHOOL,5282,0.30625
THOMPSON R-2J,LOVELAND HIGH SCHOOL,5316,0.3
ST VRAIN VALLEY RE 1J,LYONS MIDDLE/SENIOR HIGH SCHOO,5368,
MANITOU SPRINGS 14,MANITOU SPRINGS HIGH SCHOOL,5468,0.152542
NORTHGLENN-THORNTON 12,THORNTON HIGH SCHOOL,5816,0.433566
WIDEFIELD 3,MESA RIDGE HIGH SCHOOL,5841,0.417476
EAST GRAND 2,MIDDLE PARK HIGH SCHOOL,5864,0.2
COLORADO SPRINGS 11,MITCHELL HIGH SCHOOL,5948,0.423077
MOFFAT COUNTY RE:NO 1,MOFFAT COUNTY HIGH SCHOOL,5962,0.372549
DENVER COUNTY 1,MONTBELLO HIGH SCHOOL,5995,0.717647
BOULDER VALLEY RE 2,MONARCH HIGH SCHOOL,5999,0.13253
MONTEZUMA-CORTEZ RE-1,MONTEZUMA-CORTEZ HIGH SCHOOL,6026,0.509804
MONTE VISTA C-8,MONTE VISTA SENIOR HIGH SCHOOL,6046,
MONTROSE COUNTY RE-1J,MONTROSE HIGH SCHOOL,6058,0.322314
MESA COUNTY VALLEY 51,FRUITA MONUMENT HIGH SCHOOL,6070,0.316832
THOMPSON R-2J,MOUNTAIN VIEW HIGH SCHOOL,6163,0.40367
DOUGLAS COUNTY RE 1,MOUNTAIN VISTA HIGH SCHOOL,6165,0.253425
BOULDER VALLEY RE 2,NEDERLAND MIDDLE-SENIOR HIGH S,6212,
ST VRAIN VALLEY RE 1J,NIWOT HIGH SCHOOL,6276,0.176829
DENVER COUNTY 1,NORTH HIGH SCHOOL,6314,0.721311
GREELEY 6,NORTHRIDGE HIGH SCHOOL,6364,0.464646
NORTHGLENN-THORNTON 12,NORTHGLENN HIGH SCHOOL,6402,0.390625
MONTROSE COUNTY RE-1J,OLATHE HIGH SCHOOL,6494,0.307692
CHERRY CREEK 5,OVERLAND HIGH SCHOOL,6625,0.470899
ARCHULETA COUNTY 50 JT,PAGOSA SPRINGS HIGH SCHOOL,6658,0.473684
MESA COUNTY VALLEY 51,PALISADE HIGH SCHOOL,6666,0.352941
COLORADO SPRINGS 11,PALMER HIGH SCHOOL,6680,0.22549
DELTA COUNTY 50(J),PAONIA HIGH SCHOOL,6708,
BOULDER VALLEY RE 2,PEAK TO PEAK CHARTER SCHOOL,6816,0.114286
PEYTON 23 JT,PEYTON HIGH SCHOOL,6902,0.470588
NORTHGLENN-THORNTON 12,PINNACLE CHARTER SCHOOL,6914,0.105263
ACADEMY 20,PINE CREEK HIGH SCHOOL,6937,0.187166
PLATTE CANYON 1,PLATTE CANYON HIGH SCHOOL,7046,0.25
JEFFERSON COUNTY R-1,POMONA HIGH SCHOOL,7114,0.289855
DOUGLAS COUNTY RE 1,PONDEROSA HIGH SCHOOL,7118,0.196154
POUDRE R-1,POUDRE HIGH SCHOOL,7124,0.244541
PUEBLO COUNTY RURAL 70,PUEBLO COUNTY HIGH SCHOOL,7208,0.481482
PUEBLO COUNTY RURAL 70,PUEBLO WEST HIGH SCHOOL,7214,0.391304
JEFFERSON COUNTY R-1,RALSTON VALLEY SENIOR HIGH SCH,7239,0.203319
ACADEMY 20,RAMPART HIGH SCHOOL,7240,0.149038
ADAMS-ARAPAHOE 28J,RANGEVIEW HIGH SCHOOL,7250,0.447059
RANGELY RE-4,RANGELY HIGH SCHOOL,7276,
GARFIELD RE-2,RIFLE HIGH SCHOOL,7360,0.52381
ROARING FORK RE-1,ROARING FORK HIGH SCHOOL,7422,0.166667
ROCKY FORD R-2,ROCKY FORD HIGH SCHOOL,7442,
POUDRE R-1,ROCKY MOUNTAIN HIGH SCHOOL,7470,0.25
JOHNSTOWN-MILLIKEN RE-5J,ROOSEVELT HIGH SCHOOL,7490,0.428571
PUEBLO COUNTY RURAL 70,RYE HIGH SCHOOL,7534,
SALIDA R-32,SALIDA HIGH SCHOOL,7568,0.225806
FALCON 49,SAND CREEK HIGH SCHOOL,7613,0.333333
SANFORD 6J,SANFORD JUNIOR/SENIOR HIGH SCH,7616,
ST VRAIN VALLEY RE 1J,SILVER CREEK SCHOOL,7789,0.277228
SHERIDAN 2,SHERIDAN HIGH SCHOOL,7842,
HARRISON 2,SIERRA HIGH SCHOOL,7882,0.580247
ST VRAIN VALLEY RE 1J,SKYLINE HIGH SCHOOL,7954,0.40708
CHERRY CREEK 5,SMOKY HILL HIGH SCHOOL,8020,0.284553
PUEBLO CITY 60,SOUTH HIGH SCHOOL,8082,0.448052
DENVER COUNTY 1,SOUTH HIGH SCHOOL,8086,0.6875
JEFFERSON COUNTY R-1,STANDLEY LAKE HIGH SCHOOL,8209,0.315556
STEAMBOAT SPRINGS RE-2,STEAMBOAT SPRINGS HIGH SCHOOL,8212,0.262295
VALLEY RE-1,STERLING HIGH SCHOOL,8260,0.193548
STRASBURG 31J,STRASBURG HIGH SCHOOL,8334,0.433333
SUMMIT RE-1,SUMMIT HIGH SCHOOL,8378,0.204819
SWINK 33,SWINK JUNIOR-SENIOR HIGH SCHOO,8456,
DENVER COUNTY 1,THOMAS JEFFERSON HIGH SCHOOL,8822,0.572581
THOMPSON R-2J,THOMPSON VALLEY HIGH SCHOOL,8824,0.313725
DOUGLAS COUNTY RE 1,THUNDERRIDGE HIGH SCHOOL,8847,0.200935
TRINIDAD 1,TRINIDAD HIGH SCHOOL,8906,
WELD COUNTY RE-1,VALLEY HIGH SCHOOL,9032,0.6
HUERFANO RE-1,JOHN MALL HIGH SCHOOL,9212,
COLORADO SPRINGS 11,WASSON HIGH SCHOOL,9298,0.426966
DENVER COUNTY 1,WEST HIGH SCHOOL,9408,0.906977
WESTMINSTER 50,WESTMINSTER HIGH SCHOOL,9466,0.514286
JEFFERSON COUNTY R-1,WHEAT RIDGE HIGH SCHOOL,9510,0.258993
WIDEFIELD 3,WIDEFIELD HIGH SCHOOL,9566,0.37931
WIGGINS RE-50(J),WIGGINS JUNIOR-SENIOR HIGH SCH,9582,
WINDSOR RE-4,WINDSOR HIGH SCHOOL,9672,0.333333
WOODLAND PARK RE-2,WOODLAND PARK HIGH SCHOOL,9696,0.235294
YUMA 1,YUMA HIGH SCHOOL,9799,
