School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,LowestGrade,,School Type,Organization Code,District Name,District Size,District Setting
0205,RED CANYON HIGH SCHOOL,0256 CEMEMTARY ROAD,EDWARDS,CO,81631,9709268107,9th Grade,12th Grade,Senior,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
0206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,2323 WEST BAKER,ENGLEWOOD,CO,80110,3039345786,9th Grade,12th Grade,Senior,0120,ENGLEWOOD 1,"1,201 - 6,000",Denver Metro
0209,ASPEN VALLEY HIGH SCHOOL,1450 CHAPEL HILLS DRIVE,COLORADO SPRINGS,CO,80920,7192346000,9th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0210,VANTAGE POINT,10900 HURON STREET,NORTHGLENN,CO,80234,7209725800,Kindergarten,12th Grade,Senior,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,7480 CONIFER RD,DENVER,CO,80229,3038531980,9th Grade,12th Grade,Senior,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0213,AXL ACADEMY,14100 EAST JEWELL AVENUE,AURORA,CO,80012,3033770758,Preschool,7th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0214,ALTURA ELEMENTARY SCHOOL,1650 ALTURA BLVD,AURORA,CO,80011,3033403500,Preschool,5th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0215,AMERICAN ACADEMY AT CASTLE PINES CHARTER,8600 PARK MEADOWS DRIVE,LONE TREE,CO,80124,3036631543,Kindergarten,8th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0219,APS ONLINE SCHOOL,11700 EAST 11TH AVENUE,AURORA,CO,80010,3033261111,9th Grade,12th Grade,Senior,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0220,AMESSE ELEMENTARY SCHOOL,5440 SCRANTON STREET,DENVER,CO,80239,7204249988,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0225,ANIMAS VALLEY ELEMENTARY SCHOOL,373 HERMOSA MEADOWS ROAD,DURANGO,CO,81301,9702470124,Preschool,5th Grade,Elementary,1520,DURANGO 9-R,"1,201 - 6,000",Outlying City
0226,ALTONA MIDDLE SCHOOL,4600 CLOVER BASIN DRIVE,LONGMONT,CO,80503,7204943980,6th Grade,8th Grade,Middle,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,5455 SOUTH TEMPE STREET,AURORA,CO,80015,7208863300,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0243,COYOTE HILLS ELEMENTARY SCHOOL,24605 E DAVIES WAY,AURORA,CO,80016,7208863900,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0248,GUADALUPE ELEMENTARY SCHOOL,900 WEST 8TH STREET,ANTONITO,CO,81120,7193765407,Preschool,6th Grade,Elementary,0580,SOUTH CONEJOS RE-10,301 - 600,Rural
0249,ANTELOPE TRAILS ELEMENTARY SCHOOL,15280 JESSIE DRIVE,COLORADO SPRINGS,CO,80921,7192344100,Preschool,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
0250,ANTONITO JUNIOR HIGH SCHOOL,620 PINE STREET,ANTONITO,CO,81120,7193765468,7th Grade,8th Grade,Middle,0580,SOUTH CONEJOS RE-10,301 - 600,Rural
0252,ANTONITO HIGH SCHOOL,620 PINE STREET,ANTONITO,CO,81120,7193765468,9th Grade,12th Grade,Senior,0580,SOUTH CONEJOS RE-10,301 - 600,Rural
0262,APPLETON ELEMENTARY SCHOOL,2358 H ROAD,GRAND JUNCTION,CO,81505,9702546400,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
0263,GLOBAL LEADERSHIP ACADEMY,7480 CONIFER ROAD,DENVER,CO,80221,3038531930,Kindergarten,12th Grade,Senior,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0264,CIMARRON MIDDLE,22219 HILLTOP ROAD,PARKER,CO,80134,3033870708,6th Grade,8th Grade,Middle,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0265,CLEAR SKY ELEMENTARY,1470 CLEAR SKY WAY,CASTLE ROCK,CO,80109,3033875852,Kindergarten,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0266,GOLD RUSH ELEMENTARY,12021 SOUTH SWIFT FOX WAY,PARKER,CO,80134,3033870708,Kindergarten,5th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0267,MESA MIDDLE SCHOOL,365 MITCHELL STREET,CASTLE ROCK,CO,80104,3033871169,7th Grade,8th Grade,Middle,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0269,ACHIEVEK12,1702 NORTH MURRAY BLVD,COLORADO SPRINGS,CO,80915,7193283000,Kindergarten,12th Grade,Senior,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
0298,ARAPAHOE HIGH SCHOOL,2201 EAST DRY CREEK ROAD,CENTENNIAL,CO,80122,3033476000,9th Grade,12th Grade,Senior,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,13095 PECOS STREET,WESTMINSTER,CO,80030,7209725740,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0304,ARICKAREE ELEMENTARY SCHOOL,12155 COUNTY ROAD NN,ANTON,CO,80801,9703832202,Preschool,6th Grade,Elementary,3040,ARICKAREE R-2,300 or less,Rural
0308,ARICKAREE UNDIVIDED HIGH SCHOOL,12155 COUNTY ROAD NN,ANTON,CO,80801,9703832202,7th Grade,12th Grade,Senior,3040,ARICKAREE R-2,300 or less,Rural
0309,SKYVIEW ACADEMY HIGH SCHOOL,8990 YORK STREET,THORNTON,CO,80229,3038531900,9th Grade,12th Grade,Senior,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0310,ARKANSAS ELEMENTARY SCHOOL,17301 EAST ARKANSAS AVE,AURORA,CO,80017,3037550323,Preschool,5th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0348,ARROWHEAD ELEMENTARY SCHOOL,19100 EAST BATES AVENUE,AURORA,CO,80013,7208862800,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0354,ARROWWOOD ELEMENTARY SCHOOL,10345 ARROWWOOD DRIVE,HIGHLANDS RANCH,CO,80130,3033876875,Preschool,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
0361,FRUITA 8/9 SCHOOL,1835 J ROAD,FRUITA,CO,81521,9702546720,8th Grade,9th Grade,Middle,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
0362,RIM ROCK ELEMENTARY SCHOOL,1810 J 6 ROAD,FRUITA,CO,81521,9702546770,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
0363,PEAR PARK ELEMENTARY SCHOOL,432 30 1/4 ROAD,GRAND JUNCTION,CO,81504,9702545960,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
0370,ARVADA HIGH SCHOOL,7951 WEST 65TH AVENUE,ARVADA,CO,80004,3039820162,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0378,ARVADA WEST HIGH SCHOOL,11595 ALLENDALE DRIVE,ARVADA,CO,80004,3039821303,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
0388,ASBURY ELEMENTARY SCHOOL,1320 EAST ASBURY AVENUE,DENVER,CO,80210,7204249888,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0408,VALDEZ ELEMENTARY SCHOOL,2525 WEST 29 AVENUE,DENVER,CO,80211,7204243310,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0418,ASHLEY ELEMENTARY SCHOOL,1914 SYRACUSE STREET,DENVER,CO,80220,7204249750,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
0428,ASPEN ELEMENTARY SCHOOL,0235 HIGH SCHOOL ROAD,ASPEN,CO,81611,9709253760,Preschool,4th Grade,Elementary,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
0429,CARBONDALE COMMUNITY CHARTER SCHOOL,1505 SATANK ROAD,CARBONDALE,CO,81623,9709639647,Kindergarten,8th Grade,Elementary,1180,ROARING FORK RE-1,"1,201 - 6,000",Outlying City
0430,ASPEN MIDDLE SCHOOL,0235 HIGH SCHOOL ROAD,ASPEN,CO,81611,9709253760,5th Grade,8th Grade,Middle,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
0432,ASPEN HIGH SCHOOL,0235 HIGH SCHOOL ROAD,ASPEN,CO,81611,9709253760,9th Grade,12th Grade,Senior,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
0441,ASPEN CREEK K-8 SCHOOL,5500 ASPEN CREEK DRIVE,BROOMFIELD,CO,80020,7205618000,Kindergarten,8th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
0442,ASPEN CROSSING ELEMENTARY SCHOOL,4655 S HIMALAYA STREET,CENTENNIAL,CO,80015,7208863700,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
0447,ASPEN PRE-SCHOOL,0235 HIGH SCHOOL ROAD,ASPEN,CO,81611,9709253760,Preschool,Preschool,Elementary,2640,ASPEN 1,"1,201 - 6,000",Outlying Town
0452,AUDUBON ELEMENTARY SCHOOL,2400 EAST VAN BUREN STREET,COLORADO SPRINGS,CO,80909,7193282600,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
0458,AURORA ACADEMY CHARTER SCHOOL,10251 EAST 1ST AVE,AURORA,CO,80010,3033675983,Kindergarten,8th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0464,AURORA HILLS MIDDLE SCHOOL,1009 SOUTH UVALDA ST,AURORA,CO,80012,3033417450,6th Grade,8th Grade,Middle,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0465,AURORA FRONTIER K-8,3200 S JERICHO WAY,AURORA,CO,80013,3036931995,Kindergarten,8th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
0469,ATLAS PREPARATORY SCHOOL,1628 SOUTH MURRAY BLVD,COLORADO SPRINGS,CO,80916,7193587196,5th Grade,8th Grade,Middle,0980,HARRISON 2,"6,001 - 25,000",Urban-Suburban
0471,AVON ELEMENTARY SCHOOL,805 WEST BEAVER CREEK,AVON,CO,81620,9703282950,Preschool,5th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
0472,AVONDALE ELEMENTARY SCHOOL,213 HIGHWAY 50 EAST,AVONDALE,CO,81022,7199473484,Preschool,5th Grade,Elementary,2700,PUEBLO COUNTY 70,"1,201 - 6,000",Urban-Suburban
0477,ZACH ELEMENTARY SCHOOL,3715 KECHTER ROAD,FORT COLLINS,CO,80528,9704885100,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
0489,BACKPACK EARLY LEARNING ACADEMY,822 GRAND AVENUE,DELTA,CO,81416,9708749517,Preschool,Preschool,Elementary,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
0490,BACON ELEMENTARY SCHOOL,5844 SOUTH TIMBERLINE ROAD,FORT COLLINS,CO,80528,9704885300,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
0492,BAKER CENTRAL SCHOOL,300 LAKE STREET,FORT MORGAN,CO,80701,9708678422,5th Grade,6th Grade,Elementary,2405,FORT MORGAN RE-3,"1,201 - 6,000",Outlying City
0498,BETHKE ELEMENTARY SCHOOL,5100 SCHOOL HOUSE DRIVE,TIMNATH,CO,80547,9704884300,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
0501,MONTEREY COMMUNITY SCHOOL,2210 MCELWAIN BLVD,DENVER,CO,80229,3038531360,Kindergarten,8th Grade,Elementary,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0502,MEADOW COMMUNITY SCHOOL,9150 MONROE ST,THORNTON,CO,80229,3038531500,Kindergarten,8th Grade,Elementary,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
0503,YORK INTERNATIONAL,9200 YORK ST,THORNTON,CO,80229,3038531600,Kindergarten,12th Grade,Senior,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
