SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
DRY CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,2292,0,0,0,Performance Plan,Performance Plan,,1,0,13,21,12,11,12,12,10,12,12,11,12,
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,M,,215,0,1,0,,,,1,0,13,21,12,12,12,13,12,12,9,10,12,
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,H,,6838,0,0,0,,,,2,0,12,22,13,13,12,13,9,13,13,6,13,92.2
HULSTROM OPTIONS K-8 SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,4172,0,0,0,,,,1,0,13,23,13,13,13,13,13,12,12,12,12,
COLLEGIATE ACADEMY OF COLORADO,1420,JEFFERSON COUNTY R-1,H,,7701,0,1,0,,,,2,0,12,23,7,7,6,8,6,10,9,9,10,89.4
NORTHRIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,6406,0,0,0,Performance Plan,Performance Plan,,1,0,13,24,13,12,13,13,13,12,13,9,12,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,H,,4492,0,0,0,,,,2,0,12,24,10,10,12,9,11,12,11,12,10,84.6
DOUGLASS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,2240,0,0,0,Performance Plan,Performance Plan,,1,0,13,25,13,12,13,12,13,11,9,10,11,
MONARCH HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,5999,0,0,0,Performance Plan,Performance Plan,,2,0,12,25,12,10,12,11,10,8,6,10,6,96.7
BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,714,0,0,0,Performance Plan,Performance Plan,,1,0,13,26,12,11,12,12,12,12,9,10,12,
SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,110,SANGRE DE CRISTO RE-22J,H,,7630,0,0,0,,,,2,0,12,26,6,8,7,6,6,13,12,12,12,66.7
ROCK CANYON HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,7435,0,0,0,Performance Plan,Performance Plan,,2,0,12,27,12,12,12,12,12,6,6,6,6,93.3
WILDFLOWER ELEMENTARY SCHOOL,980,HARRISON 2,E,,9602,0,0,0,Performance Plan,Performance Plan,,1,0,13,27,12,13,9,13,12,12,10,10,12,
PINE CREEK HIGH SCHOOL,1040,ACADEMY 20,H,,6937,0,0,0,Performance Plan,Performance Plan,,2,0,12,28,11,12,10,12,12,8,8,6,9,90.7
SLAVENS K-8 SCHOOL,880,DENVER COUNTY 1,M,,7972,0,0,0,,,,1,0,13,28,12,12,12,12,12,12,12,10,12,
CHIPETA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1613,0,0,0,Performance Plan,Performance Plan,,1,0,13,29,12,12,13,12,10,12,12,12,10,
CONIFER SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1886,0,0,0,Performance Plan,Performance Plan,,2,0,12,29,11,11,11,11,10,9,9,7,8,91.3
DSST: STAPLETON,880,DENVER COUNTY 1,M,,2185,0,1,0,,,,1,0,13,29,10,9,9,11,12,13,12,13,13,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,H,,2195,0,0,0,,,,2,0,12,29,12,12,10,12,12,7,7,6,9,
GLENWOOD SPRINGS HIGH SCHOOL,1180,ROARING FORK RE-1,H,,3468,0,0,0,Performance Plan,Performance Plan,,2,0,11,31,9,8,9,7,9,12,11,12,9,80.900000000000006
MOUNTAIN VIEW ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,6158,0,0,0,Performance Plan,Performance Plan,,1,0,12,31,12,12,12,12,11,12,9,12,10,
PAONIA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,,6700,0,0,0,Performance Plan,Performance Plan,,1,0,12,31,12,10,12,11,9,12,12,12,10,
REDSTONE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,7297,0,0,0,Performance Plan,Performance Plan,,1,0,12,31,12,10,12,10,10,12,9,12,13,
WILLOW CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,9624,0,0,0,Performance Plan,Performance Plan,,1,0,12,31,13,12,12,12,13,12,9,12,12,
MONTESSORI PEAKS CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,,5994,0,1,0,,,,1,0,12,31,,10,7,12,,12,12,9,12,
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,H,,1012,0,0,0,,,,2,0,11,32,9,8,7,8,13,11,9,12,9,86.3
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,H,,1224,0,0,0,,,,2,0,11,32,8,9,6,9,9,12,9,11,12,98.7
DOLORES HIGH SCHOOL,2055,DOLORES RE-4A,H,,2208,0,0,0,Performance Plan,Performance Plan,,2,0,11,34,9,9,9,7,9,12,9,12,11,89.8
FAIRVIEW HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,2892,0,0,0,Performance Plan,Performance Plan,,2,0,11,35,13,12,13,12,11,6,6,7,6,91.6
HIGH PEAKS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,3940,0,0,0,Performance Plan,Performance Plan,,1,0,12,36,13,13,13,13,13,12,12,12,12,
LOIS LENSKI ELEMENTARY SCHOOL,140,LITTLETON 6,E,,5236,0,0,0,Performance Plan,Performance Plan,,1,0,12,36,12,12,12,12,10,10,10,9,9,
MCGRAW ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5688,0,0,0,Performance Plan,Performance Plan,,1,0,12,36,10,10,11,10,10,12,11,11,11,
MOUNTAIN VISTA HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,6165,0,0,0,Performance Plan,Performance Plan,,2,0,11,36,12,12,12,12,10,6,6,6,7,94
FLAGLER SENIOR HIGH SCHOOL,1450,ARRIBA-FLAGLER C-20,H,,2960,0,0,0,Performance Plan,Performance Plan,,2,0,11,37,10,12,9,10,7,11,9,9,12,90.3
SPRINGFIELD HIGH SCHOOL,250,SPRINGFIELD RE-4,H,,8168,0,0,0,Performance Plan,Performance Plan,,2,0,10,38,9,9,9,9,7,12,9,9,12,90.6
TELLURIDE HIGH SCHOOL,2830,TELLURIDE R-1,H,,8794,0,0,0,Performance Plan,Performance Plan,,2,0,10,38,12,12,11,11,12,9,11,9,6,91.3
HERITAGE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3924,0,0,0,Performance Plan,Performance Plan,,1,0,12,39,10,9,12,10,12,11,9,9,12,
WERNER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,9380,0,0,0,Performance Plan,Performance Plan,,1,0,12,40,12,12,12,12,12,10,12,6,12,
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,,430,0,0,0,,,,1,0,12,40,9,9,9,10,11,10,10,9,9,
CHALLENGE SCHOOL,130,CHERRY CREEK 5,E,,1510,0,0,0,,,,1,0,12,40,13,13,13,13,13,9,9,9,9,
CHALLENGE SCHOOL,130,CHERRY CREEK 5,M,,1510,0,0,0,,,,1,0,12,40,13,13,13,13,13,11,12,7,12,
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,1519,0,1,0,,,,1,0,12,40,13,13,12,13,13,10,7,9,12,
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1873,0,1,0,,,,1,0,12,40,12,12,13,12,10,11,9,10,12,
LITTLETON ACADEMY,140,LITTLETON 6,M,,5229,0,1,0,,,,1,0,12,40,13,13,13,13,12,10,6,9,12,
PAONIA HIGH SCHOOL,870,DELTA COUNTY 50(J),H,,6708,0,0,0,,,,2,0,10,40,9,9,7,9,9,9,9,7,9,90.4
HIGHLANDS RANCH HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,3980,0,0,0,Performance Plan,Performance Plan,,2,0,10,41,11,10,10,11,10,9,9,6,12,90.1
ELBERT JUNIOR-SENIOR HIGH SCHOOL,950,ELBERT 200,H,,2574,0,0,0,,,,2,0,10,41,9,9,7,9,9,9,9,9,9,89.9
LEWIS-PALMER HIGH SCHOOL,1080,LEWIS-PALMER 38,H,,5100,0,0,0,Performance Plan,Performance Plan,,2,0,10,43,12,11,12,12,12,6,6,6,6,91.5
DOVE CREEK HIGH SCHOOL,890,DOLORES COUNTY RE NO.2,H,,2216,0,0,0,,,,2,0,10,44,,6,6,6,,9,9,9,8,90.5
FOSSIL RIDGE HIGH SCHOOL,1550,POUDRE R-1,H,,3105,0,0,0,Performance Plan,Performance Plan,,2,0,10,45,12,10,11,12,12,6,6,6,6,88.9
BOULDER HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,924,0,0,0,Performance Plan,Performance Plan,,2,0,10,46,10,9,12,10,10,7,5,9,6,88.8
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,477,0,0,0,Performance Plan,Performance Plan,,1,0,12,47,13,13,12,12,13,12,10,10,12,
BROMWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1056,0,0,0,Performance Plan,Performance Plan,,1,0,12,47,12,12,12,12,10,12,10,9,12,
BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,H,,1176,0,0,0,,,,2,0,10,47,9,10,6,9,10,13,13,7,13,91.7
SOROCO HIGH SCHOOL,2780,SOUTH ROUTT RE 3,H,,8050,0,0,0,Performance Plan,Performance Plan,,2,0,10,48,9,9,9,9,9,9,7,12,9,81.099999999999994
UNION COLONY PREPARATORY SCHOOL,3120,GREELEY 6,H,,8965,0,1,0,,,,2,0,10,48,10,12,8,10,12,7,7,9,5,67.400000000000006
MEAD MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,,5730,0,0,0,Performance Plan,Performance Plan,,1,0,12,49,10,10,9,10,10,13,13,13,13,
CHERRY CREEK HIGH SCHOOL,130,CHERRY CREEK 5,H,,1570,0,0,0,Performance Plan,Performance Plan,,2,0,10,50,12,11,12,12,12,7,6,7,6,89.5
STONE MOUNTAIN ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,2953,0,0,0,Performance Plan,Performance Plan,,1,0,12,50,12,12,12,12,9,12,11,12,11,
CARSON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1324,0,0,0,Performance Plan,Performance Plan,,1,0,12,51,10,9,10,10,11,12,12,12,12,
DSST: GREEN VALLY RANCH,880,DENVER COUNTY 1,M,,2145,0,1,0,Performance Plan,Performance Plan,,1,0,12,51,,6,9,9,,13,10,13,13,
BRECKENRIDGE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,,8372,0,0,0,Performance Plan,Performance Plan,,1,0,12,51,10,10,10,9,10,13,13,12,13,
CREEDE MIDDLE/HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,H,,1966,0,0,0,,,,2,0,10,51,9,9,9,7,12,9,9,10,7,93.3
LEGACY ACADEMY,920,ELIZABETH C-1,M,,2572,0,1,0,,,,1,0,12,51,9,10,7,11,9,13,13,12,13,
MC CLAVE UNDIVIDED HIGH SCHOOL,310,MC CLAVE RE-2,H,,5670,0,0,0,,,,2,0,10,52,7,6,9,6,7,9,5,12,9,86.1
THUNDERRIDGE HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,H,,8847,0,0,0,Performance Plan,Performance Plan,,2,0,10,53,10,11,11,10,9,7,7,6,9,94.3
AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,,76,0,0,0,Performance Plan,Performance Plan,,2,0,10,54,11,10,10,11,11,6,6,7,6,90.2
BROOMFIELD HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,1070,0,0,0,Performance Plan,Performance Plan,,2,0,10,55,9,9,9,9,9,6,6,7,6,88.5
SOUTH PARK HIGH SCHOOL,2610,PARK COUNTY RE-2,H,,8118,0,0,0,Performance Plan,Performance Plan,,2,0,10,55,8,7,9,7,9,10,9,9,10,81.7
TIMBER TRAIL ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,8853,0,0,0,Performance Plan,Performance Plan,,1,0,12,55,12,12,12,12,12,12,9,12,10,
GYPSUM CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,,39,0,0,0,Performance Plan,Performance Plan,,1,0,12,56,8,7,6,9,12,12,12,12,12,
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480,BOULDER VALLEY RE 2,E,,919,0,0,0,Performance Plan,Performance Plan,,1,0,12,56,11,12,10,11,12,10,9,9,11,
DENNISON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9432,0,0,0,Performance Plan,Performance Plan,,1,0,12,56,13,13,13,13,13,10,12,9,10,
CALHAN HIGH SCHOOL,970,CALHAN RJ-1,H,,1218,0,0,0,Performance Plan,Performance Plan,,2,0,9,57,8,7,6,9,7,12,12,9,12,85.4
CEDAREDGE HIGH SCHOOL,870,DELTA COUNTY 50(J),H,,1372,0,0,0,Performance Plan,Performance Plan,,2,0,9,58,8,6,7,9,8,9,9,8,9,93.8
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,H,,6358,0,0,0,,,,2,0,9,59,10,11,9,12,10,10,7,12,8,81.3
PLATTE RIVER CHARTER ACADEMY,900,DOUGLAS COUNTY RE 1,M,,7047,0,1,0,,,,1,0,12,59,12,13,12,12,12,10,9,12,7,
HOTCHKISS HIGH SCHOOL,870,DELTA COUNTY 50(J),H,,4128,0,0,0,Performance Plan,Performance Plan,,2,0,9,60,8,9,7,9,7,9,10,6,11,94.9
PARMALEE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6804,0,0,0,Performance Plan,Performance Plan,,1,0,12,60,12,10,12,12,12,12,12,12,11,
STEAMBOAT SPRINGS HIGH SCHOOL,2770,STEAMBOAT SPRINGS RE-2,H,,8212,0,0,0,Performance Plan,Performance Plan,,2,0,9,60,12,10,12,11,10,6,7,6,7,86.8
WILDER ELEMENTARY SCHOOL,140,LITTLETON 6,E,,9600,0,0,0,Performance Plan,Performance Plan,,1,0,12,61,12,13,12,12,12,9,9,6,12,
KYFFIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4830,0,0,0,Performance Plan,Performance Plan,,1,0,12,62,12,12,11,12,12,10,9,10,9,
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,H,,4694,0,0,0,,,,2,0,9,62,12,10,12,12,10,9,6,12,6,100
TWIN PEAKS CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,M,,8927,0,1,0,,,,1,0,12,62,9,11,7,12,10,10,10,9,10,
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,,640,0,0,0,Performance Plan,Performance Plan,,2,0,9,63,9,9,8,9,6,9,6,9,9,88.5
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,H,,1875,0,1,0,,,,2,0,9,63,9,9,7,9,9,9,6,10,8,88.1
MITCHELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5944,0,0,0,Performance Plan,Performance Plan,,1,0,12,64,11,12,10,10,12,11,12,9,10,
STEELE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,8246,0,0,0,Performance Plan,Performance Plan,,1,0,12,64,12,12,12,12,12,11,9,11,11,
SANFORD JUNIOR/SENIOR HIGH SCHOOL,560,SANFORD 6J,H,,7616,0,0,0,,,,2,0,9,65,9,7,12,9,9,9,9,9,6,84.7
HOLLY HIGH SCHOOL,2670,HOLLY RE-3,H,,4058,0,0,0,Performance Plan,Performance Plan,,2,0,9,66,7,7,8,7,6,9,10,7,9,86.6
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,,1791,0,1,0,,,,1,0,12,66,10,10,9,12,9,11,9,11,11,
MERIDIAN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,59,0,0,0,Performance Plan,Performance Plan,,1,0,12,67,10,12,12,9,10,10,10,9,9,
BLACK ROCK ELEMENTARY,470,ST VRAIN VALLEY RE 1J,E,,875,0,0,0,Performance Plan,Performance Plan,,1,0,12,67,10,9,11,9,9,11,9,12,10,
RIFFENBURGH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,7350,0,0,0,Performance Plan,Performance Plan,,1,0,12,67,9,9,9,9,9,12,12,12,10,
STRASBURG HIGH SCHOOL,60,STRASBURG 31J,H,,8334,0,0,0,Performance Plan,Performance Plan,,2,0,9,67,6,6,6,6,6,9,7,9,9,95.5
SUMMIT MIDDLE CHARTER SCHOOL,480,BOULDER VALLEY RE 2,M,,8387,0,1,0,Performance Plan,Performance Plan,,1,0,12,67,13,13,13,13,13,10,8,9,12,
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,,561,0,0,0,,,,1,0,12,67,6,6,6,9,6,13,13,13,13,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,M,,2006,0,0,0,,,,1,0,12,67,10,10,7,12,11,12,9,10,12,
JAMES IRWIN CHARTER HIGH SCHOOL,980,HARRISON 2,H,,4378,0,1,0,Performance Plan,Performance Plan,,2,0,9,68,9,9,9,10,9,6,6,6,6,97.1
POMONA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,7114,0,0,0,Performance Plan,Performance Plan,,2,0,9,69,7,6,9,7,7,9,7,9,7,89.2
LEGACY HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,,5043,0,0,0,Performance Plan,Performance Plan,,2,0,9,70,10,9,11,9,9,9,9,9,9,84.7
SIMLA HIGH SCHOOL,940,BIG SANDY 100J,H,,7922,0,0,0,Performance Plan,Performance Plan,,2,0,9,71,7,6,8,7,7,9,6,9,9,100
CENTAURI HIGH SCHOOL,550,NORTH CONEJOS RE-1J,H,,1378,0,0,0,Performance Plan,Performance Plan,,2,0,9,72,7,6,9,8,8,9,5,10,9,95.9
NIWOT HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,,6276,0,0,0,Performance Plan,Performance Plan,,2,0,9,72,12,10,12,12,10,6,6,6,6,91.7
WEST DENVER PREP: HARVEY PARK CAMPUS,880,DENVER COUNTY 1,M,,9389,0,1,0,Performance Plan,Performance Plan,,1,0,12,73,,6,9,7,,13,13,13,13,
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,19,0,0,0,Performance Plan,Performance Plan,,1,0,12,74,12,12,12,12,12,9,9,9,9,
IVY STOCKWELL ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,4332,0,0,0,Performance Plan,Performance Plan,,1,0,12,74,9,9,9,8,9,12,10,12,12,
LINCOLN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,5158,0,0,0,Performance Plan,Performance Plan,,1,0,12,74,7,6,7,7,9,12,11,12,12,
OURAY SENIOR HIGH SCHOOL,2580,OURAY R-1,H,,6600,0,0,0,Performance Plan,Performance Plan,,2,0,9,74,9,9,9,10,9,9,9,9,9,94.8
RAMPART HIGH SCHOOL,1040,ACADEMY 20,H,,7240,0,0,0,Performance Plan,Performance Plan,,2,0,9,74,9,9,9,9,9,5,5,6,5,89.8
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1880,0,1,0,,,,2,0,9,76,6,7,6,6,9,9,9,7,11,79
