School Name,District Number,District Name,EMH,EMH_combined,School Number,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chnge_.5
ROCKY TOP MIDDLE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,0057,2,2,2
AGUILAR ELEMENTARY SCHOOL,1620,AGUILAR REORGANIZED 6,E,,0058,3,1,1
MERIDIAN ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,0059,2,3,3
LEGACY ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,0060,2,3,3
ALPINE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,0061,2,2,2
PEAKVIEW SCHOOL,1390,HUERFANO RE-1,E,EM,0063,1,1,2
PEAKVIEW SCHOOL,1390,HUERFANO RE-1,M,EM,0063,2,2,2
ARCHULETA COUNTY HIGH SCHOOL,0220,ARCHULETA COUNTY 50 JT,H,,0064,,,
COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,,0065,2,3,2
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,H,MH,0066,,,3
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,M,MH,0066,,,3
ACADEMY OF URBAN LEARNING,0880,DENVER COUNTY 1,H,,0067,,,2
CHALLENGER MIDDLE SCHOOL,1040,ACADEMY 20,M,,0074,2,3,2
ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,,0075,2,2,2
AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,,0076,2,2,2
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,E,EM,0086,3,3,3
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,M,EM,0086,2,2,3
AKRON HIGH SCHOOL,3030,AKRON R-1,H,,0090,1,2,2
ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0108,2,2,2
ARVADA K-8,1420,JEFFERSON COUNTY R-1,,,0109,,,
ACADEMY ONLINE HIGH SCHOOL,1040,ACADEMY 20,H,,0110,,,
ORTEGA MIDDLE SCHOOL,0100,ALAMOSA RE-11J,M,,0114,2,2,2
ALAMOSA HIGH SCHOOL,0100,ALAMOSA RE-11J,H,,0118,2,2,2
ALAMOSA OPEN SCHOOL,0100,ALAMOSA RE-11J,H,,0119,,,2
ARAPAHOE RIDGE HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,0125,,,1
EMERSON STREET SCHOOL,0880,DENVER COUNTY 1,H,,0133,,,
EMERSON STREET SCHOOL,0880,DENVER COUNTY 1,M,,0133,,,
ALICE TERRY ELEMENTARY SCHOOL,0123,SHERIDAN 2,,,0138,,,
SKY VISTA MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,0141,2,3,2
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,E,,0146,2,2,2
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,H,,0146,2,2,2
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,,0146,2,3,2
ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0148,3,3,2
ALSUP ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,0186,1,1,1
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0010,MAPLETON 1,H,MH,0187,3,3,3
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0010,MAPLETON 1,M,MH,0187,1,2,3
ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,E,,0200,2,2,1
DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,0900,DOUGLAS COUNTY RE 1,H,,0201,,,2
SMITH HIGH SCHOOL,1828,VALLEY RE-1,H,,0202,,,2
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,H,,0203,1,1,1
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,M,,0203,,,
RED CANYON HIGH SCHOOL,0910,EAGLE COUNTY RE 50,H,,0205,,,2
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,0120,ENGLEWOOD 1,H,,0206,2,2,2
ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,H,,0209,1,1,1
VANTAGE POINT,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,0210,2,1,1
MAPLETON EARLY COLLEGE HIGH SCHOOL,0010,MAPLETON 1,H,,0212,2,3,3
AXL ACADEMY,0180,ADAMS-ARAPAHOE 28J,E,,0213,2,3,3
ALTURA ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,0214,3,3,3
AMERICAN ACADEMY AT CASTLE PINES CHARTER,0900,DOUGLAS COUNTY RE 1,E,,0215,2,2,2
AMERICAN ACADEMY AT CASTLE PINES CHARTER,0900,DOUGLAS COUNTY RE 1,M,,0215,2,2,2
APS ONLINE SCHOOL,0180,ADAMS-ARAPAHOE 28J,,,0219,,,
AMESSE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0220,2,2,2
WELBY NEW TECHNOLOGY,0010,MAPLETON 1,H,,0221,,,
ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,0225,2,2,2
ALTONA MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,0226,2,2,2
ANTELOPE RIDGE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0242,2,2,2
COYOTE HILLS ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0243,2,2,2
GUADALUPE ELEMENTARY SCHOOL,0580,SOUTH CONEJOS RE-10,E,,0248,1,1,1
ANTELOPE TRAILS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,0249,2,2,1
ANTONITO JUNIOR HIGH SCHOOL,0580,SOUTH CONEJOS RE-10,M,,0250,2,2,1
ANTONITO HIGH SCHOOL,0580,SOUTH CONEJOS RE-10,H,,0252,1,1,1
APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,0262,2,2,2
GLOBAL LEADERSHIP ACADEMY,0010,MAPLETON 1,E,EMH,0263,3,3,3
GLOBAL LEADERSHIP ACADEMY,0010,MAPLETON 1,H,EMH,0263,2,3,3
GLOBAL LEADERSHIP ACADEMY,0010,MAPLETON 1,M,EMH,0263,3,3,3
CIMARRON MIDDLE,0900,DOUGLAS COUNTY RE 1,M,,0264,2,2,3
CLEAR SKY ELEMENTARY,0900,DOUGLAS COUNTY RE 1,E,,0265,2,2,2
GOLD RUSH ELEMENTARY,0900,DOUGLAS COUNTY RE 1,E,,0266,2,2,2
MESA MIDDLE SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,0267,2,3,3
ACHIEVEK12,1010,COLORADO SPRINGS 11,E,,0269,,,
ACHIEVEK12,1010,COLORADO SPRINGS 11,M,,0269,,,
ARAPAHOE HIGH SCHOOL,0140,LITTLETON 6,H,,0298,2,2,2
ARAPAHOE RIDGE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,0301,2,2,2
ARICKAREE ELEMENTARY SCHOOL,3040,ARICKAREE R-2,E,,0304,2,1,2
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,H,,0308,,,1
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,M,,0308,,,
SKYVIEW ACADEMY HIGH SCHOOL,0010,MAPLETON 1,H,,0309,3,3,3
ARKANSAS ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,0310,1,2,2
ARROWHEAD ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0348,2,3,3
ARROWWOOD ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,0354,2,2,1
FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,M,,0361,2,2,1
RIM ROCK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,0362,2,2,2
PEAR PARK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,0363,2,2,2
ARVADA MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,0366,,,
ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0370,1,2,1
ARVADA WEST HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0378,1,2,1
ASBURY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0388,2,2,1
VALDEZ ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,EM,0408,1,2,3
VALDEZ ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,M,EM,0408,3,3,3
ASHLEY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0418,3,3,3
ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,E,,0428,2,2,2
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,E,EM,0429,1,1,1
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,M,EM,0429,2,2,1
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,E,,0430,2,3,3
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,,0430,2,2,2
ASPEN HIGH SCHOOL,2640,ASPEN 1,H,,0432,2,2,2
ASPEN CREEK K-8 SCHOOL,0480,BOULDER VALLEY RE 2,E,,0441,2,2,2
ASPEN CREEK K-8 SCHOOL,0480,BOULDER VALLEY RE 2,M,,0441,2,2,2
ASPEN CROSSING ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0442,3,3,3
AUDUBON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,0452,2,1,1
AURORA ACADEMY CHARTER SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,EM,0458,2,2,2
AURORA ACADEMY CHARTER SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,EM,0458,2,3,2
AURORA HILLS MIDDLE SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,,0464,1,2,1
AURORA FRONTIER K-8,0180,ADAMS-ARAPAHOE 28J,E,EM,0465,3,1,1
AURORA FRONTIER K-8,0180,ADAMS-ARAPAHOE 28J,M,EM,0465,2,2,1
ATLAS PREPARATORY SCHOOL,0980,HARRISON 2,E,,0469,2,2,2
AVON ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,0471,3,3,3
AVONDALE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,0472,2,3,2
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0477,2,2,2
BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0490,2,2,1
BAKER CENTRAL SCHOOL,2405,FORT MORGAN RE-3,E,,0492,2,2,2
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0498,2,2,1
MONTEREY COMMUNITY SCHOOL,0010,MAPLETON 1,E,EM,0501,2,1,2
MONTEREY COMMUNITY SCHOOL,0010,MAPLETON 1,M,EM,0501,3,3,2
MEADOW COMMUNITY SCHOOL,0010,MAPLETON 1,E,EM,0502,2,3,3
MEADOW COMMUNITY SCHOOL,0010,MAPLETON 1,M,EM,0502,3,3,3
YORK INTERNATIONAL,0010,MAPLETON 1,E,EMH,0503,3,3,2
YORK INTERNATIONAL,0010,MAPLETON 1,H,EMH,0503,3,3,2
YORK INTERNATIONAL,0010,MAPLETON 1,M,EMH,0503,2,3,2
HIGHLAND MONTESSORI SCHOOL,0010,MAPLETON 1,E,,0504,2,2,3
ACHIEVE ACADEMY,0010,MAPLETON 1,E,EM,0505,3,2,3
ACHIEVE ACADEMY,0010,MAPLETON 1,M,EM,0505,3,3,3
EXPLORE ELEMENTARY,0010,MAPLETON 1,E,,0506,3,3,3
ADVENTURE ELEMENTARY,0010,MAPLETON 1,E,,0507,3,3,3
ENRICHMENT ACADEMY,0010,MAPLETON 1,E,,0508,,,
CLAYTON PARTNERSHIP SCHOOL,0010,MAPLETON 1,E,EM,0509,3,2,3
CLAYTON PARTNERSHIP SCHOOL,0010,MAPLETON 1,M,EM,0509,1,3,3
CONRAD BALL MIDDLE SCHOOL,1560,THOMPSON R-2J,M,,0510,2,2,1
AYRES ELEMENTARY SCHOOL,1828,VALLEY RE-1,,,0515,,,
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,,,0517,,,
BARNUM ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0520,1,2,3
BARRETT ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0540,3,3,3
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,E,,0555,2,2,2
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,M,,0555,3,3,3
BASALT ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,0560,3,3,3
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,EM,0561,3,3,2
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,EM,0561,2,2,2
BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,H,,0570,1,2,2
BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,0594,2,1,1
BATTLE MOUNTAIN HIGH SCHOOL,0910,EAGLE COUNTY RE 50,H,,0604,3,2,2
BATTLE ROCK CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,0609,1,1,1
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0612,2,3,2
BAYFIELD ELEMENTARY SCHOOL,1530,BAYFIELD 10 JT-R,E,,0632,2,3,3
BAYFIELD MIDDLE SCHOOL,1530,BAYFIELD 10 JT-R,M,,0636,2,2,2
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,H,,0640,1,2,2
BEACH COURT ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0650,3,3,2
BEAR CANYON ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,0651,2,3,2
BEAR CREEK ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,0652,2,2,2
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,EM,0653,1,1,1
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,EM,0653,2,2,1
THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,E,,0654,3,3,3
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EM,0655,2,2,1
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EM,0655,2,1,1
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EMH,0656,,,
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,EMH,0656,,,
COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EMH,0656,,,
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,EM,0657,3,2,2
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,M,EM,0657,,,2
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,E,EM,0660,2,2,2
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,M,EM,0660,2,2,2
BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0664,2,2,2
BEATTIE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0678,1,2,2
BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,0694,2,2,2
BELLE CREEK CHARTER SCHOOL,0040,BRIGHTON 27J,E,,0700,2,2,2
BELLE CREEK CHARTER SCHOOL,0040,BRIGHTON 27J,M,,0700,3,3,3
BELLEVIEW ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0714,2,2,2
BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0724,2,2,1
BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,0738,2,2,1
FRANKLIN ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,0752,2,2,2
BENJAMIN EATON ELEMENTARY SCHOOL,3085,EATON RE-2,E,,0754,2,2,2
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,0756,2,2,3
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0766,2,3,2
BENNETT ELEMENTARY SCHOOL,0050,BENNETT 29J,E,,0770,2,2,1
BENNETT MIDDLE SCHOOL,0050,BENNETT 29J,M,,0774,2,2,2
BENNETT HIGH SCHOOL,0050,BENNETT 29J,H,,0775,2,3,2
BERGEN MEADOW PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,,,0776,,,
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0779,2,1,1
BERRY CREEK MIDDLE SCHOOL,0910,EAGLE COUNTY RE 50,M,,0793,3,2,3
BERTHOUD ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,0808,2,1,1
BERTHOUD HIGH SCHOOL,1560,THOMPSON R-2J,H,,0812,3,3,2
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,0822,1,1,1
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,,0822,1,2,1
BETHUNE ELEMENTARY SCHOOL,1490,BETHUNE R-5,E,,0832,1,2,3
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,H,,0842,1,1,3
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,M,,0842,1,2,2
BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,0852,2,1,1
BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,0856,1,1,1
BEULAH HEIGHTS ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,0860,1,1,1
B F KITCHEN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,0865,2,2,1
BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,0870,2,2,1
THE BIJOU SCHOOL,1010,COLORADO SPRINGS 11,H,,0871,,,1
BIRCH ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,0872,1,2,2
BLACK ROCK ELEMENTARY,0470,ST VRAIN VALLEY RE 1J,E,,0875,2,3,2
BLUE MOUNTAIN ELEMENTARY,0470,ST VRAIN VALLEY RE 1J,E,,0878,2,2,2
MARY BLAIR ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,0890,2,2,1
BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,M,,0892,3,2,2
BOLTZ MIDDLE SCHOOL,1550,POUDRE R-1,M,,0898,2,2,2
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,0900,3,3,3
BOSTON K-8 SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,EM,0914,2,2,2
BOSTON K-8 SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,EM,0914,2,2,2
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,0480,BOULDER VALLEY RE 2,E,,0919,2,2,1
BOULDER HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,0924,2,2,2
BOULDER UNIVERSAL,0480,BOULDER VALLEY RE 2,,,0930,,,
BOULDER PREP CHARTER HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,0934,,,2
BOYD ELEMENTARY SCHOOL,0100,ALAMOSA RE-11J,E,,0944,3,,2
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,E,,0948,3,2,3
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,,0948,2,2,2
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,M,,0948,2,2,1
BRADFORD PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0950,1,,1
BLUE HERON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0951,2,2,1
BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0952,2,2,2
BRADFORD ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,0954,2,1,1
BRADLEY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0964,2,2,3
BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0965,1,3,3
BRANSON ELEMENTARY SCHOOL,1750,BRANSON REORGANIZED 82,E,,0974,,,
BRANSON UNDIVIDED HIGH SCHOOL,1750,BRANSON REORGANIZED 82,H,,0978,,,2
BRANSON SCHOOL ONLINE GED PREP,1750,BRANSON REORGANIZED 82,H,,0979,,,2
BRENTWOOD MIDDLE SCHOOL,3120,GREELEY 6,M,,0988,2,2,2
BRICKER ELEMENTARY SCHOOL,0980,HARRISON 2,E,,1000,3,3,3
BRIDGES,1180,ROARING FORK RE-1,H,,1006,1,1,1
BRIGGSDALE ELEMENTARY SCHOOL,3146,BRIGGSDALE RE-10,E,,1008,2,1,3
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,H,,1012,1,2,3
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,M,,1012,1,2,2
BRIGHTON HERITAGE ACADEMY,0040,BRIGHTON 27J,H,,1021,1,2,1
BRIGHTON HERITAGE ACADEMY,0040,BRIGHTON 27J,M,,1021,,,
BRIGHTON HIGH SCHOOL,0040,BRIGHTON 27J,H,,1022,2,2,1
BRIGHTON COLLEGIATE HIGH SCHOOL,0040,BRIGHTON 27J,H,,1027,,,
BRISTOL ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1032,3,2,2
BROADWAY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1046,2,2,2
BROMLEY EAST CHARTER SCHOOL,0040,BRIGHTON 27J,E,,1052,3,2,1
BROMLEY EAST CHARTER SCHOOL,0040,BRIGHTON 27J,M,,1052,2,2,2
BROMWELL ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1056,2,2,2
BROOMFIELD HEIGHTS MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,1066,2,2,1
BROOMFIELD HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,1070,2,2,2
BROWN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1076,3,2,2
BRUSH MIDDLE SCHOOL,2395,BRUSH RE-2(J),M,,1094,2,2,2
BRUSH HIGH SCHOOL,2395,BRUSH RE-2(J),H,,1096,3,2,2
BRYANT WEBSTER K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,1106,1,2,3
BRYANT WEBSTER K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,1106,2,2,3
BUENA VISTA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1126,3,2,3
BUENA VISTA HIGH SCHOOL,0490,BUENA VISTA R-31,H,,1130,3,3,3
BUFFALO RIDGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1131,2,2,3
HARRY L MC GINNIS MIDDLE SCHOOL,0490,BUENA VISTA R-31,M,,1132,2,2,2
