Organization Code,Organization Name,School Code,School Name,TOTAL,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,,,Created 11-5-12
0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,1,0,0,0,0,1,0,0,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,454,0.004405286,0.057268722,0.011013216,0.405286344,0.508810573,0,0.013215859,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,1081,0.009250694,0.056429232,0.028677151,0.219241443,0.67160037,0,0.01480111,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,643,0,0.174183515,0.00933126,0.082426128,0.693623639,0.00155521,0.038880249,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),5013,0.017953321,0.015160582,0.046678636,0.117893477,0.797925394,0.002593258,0.001795332,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,547,0.001828154,0.003656307,0.007312614,0.857404022,0.122486289,0,0.007312614,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,614,0.008143322,0.053745928,0.016286645,0.182410423,0.698697068,0.001628664,0.039087948,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,527,0,0.089184061,0.0056926,0.077798861,0.806451613,0,0.020872865,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,614,0.006514658,0.066775244,0.013029316,0.216612378,0.680781759,0.001628664,0.01465798,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,445,0.008988764,0.040449438,0.015730337,0.168539326,0.739325843,0.002247191,0.024719101,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,476,0.006302521,0.039915966,0.021008403,0.317226891,0.600840336,0.00210084,0.012605042,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,500,0.008,0.048,0.02,0.294,0.624,0,0.006,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,609,0.016420361,0.064039409,0.02955665,0.151067323,0.724137931,0,0.014778325,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,486,0.008230453,0.03909465,0.022633745,0.602880658,0.300411523,0,0.026748971,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,444,0.004504505,0.04954955,0.02027027,0.344594595,0.56981982,0.002252252,0.009009009,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,651,0.003072197,0.001536098,0.003072197,0.846390169,0.144393241,0,0.001536098,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,327,0.003058104,0.067278287,0.009174312,0.385321101,0.489296636,0.003058104,0.042813456,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,477,0.004192872,0.102725367,0.016771488,0.591194969,0.266247379,0.002096436,0.016771488,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,1901,0.007890584,0.04892162,0.015255129,0.251446607,0.669121515,0.001052078,0.006312467,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,775,0.003870968,0.16516129,0.018064516,0.112258065,0.659354839,0.009032258,0.032258065,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,1092,0.006410256,0.049450549,0.033882784,0.336996337,0.558608059,0.000915751,0.013736264,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,2066,0.004840271,0.085188771,0.018877057,0.169893514,0.713939981,0.000484027,0.006776379,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,486,0,0.032921811,0.03909465,0.477366255,0.438271605,0.002057613,0.010288066,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,396,0.007575758,0.037878788,0.022727273,0.48989899,0.419191919,0.002525253,0.02020202,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,439,0.006833713,0.004555809,0.038724374,0.833712984,0.104783599,0,0.011389522,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,702,0.004273504,0.025641026,0.038461538,0.743589744,0.176638177,0.002849003,0.008547009,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,1713,0.007005254,0.077057793,0.032107414,0.558085231,0.315820198,0.001167542,0.008756567,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,1985,0.007052897,0.047858942,0.024685139,0.25743073,0.652392947,0.00302267,0.007556675,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,650,0.001538462,0.078461538,0.016923077,0.169230769,0.712307692,0,0.021538462,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,1025,0.010731707,0.045853659,0.022439024,0.322926829,0.580487805,0.003902439,0.013658537,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,430,0.002325581,0.020930233,0.039534884,0.611627907,0.320930233,0.002325581,0.002325581,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,467,0.00856531,0.004282655,0.03640257,0.798715203,0.139186296,0,0.012847966,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,739,0.0067659,0.032476319,0.040595399,0.51150203,0.399188092,0.00135318,0.00811908,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,1731,0.008087811,0.04621606,0.031195841,0.557481225,0.350664356,0,0.006354708,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,516,0,0.071705426,0.009689922,0.058139535,0.82751938,0,0.032945736,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,6830,NIVER CREEK MIDDLE SCHOOL,715,0.006993007,0.016783217,0.020979021,0.79020979,0.165034965,0,0,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,482,0.002074689,0.056016598,0.014522822,0.116182573,0.788381743,0,0.022821577,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,650,0.001538462,0.056923077,0.018461538,0.135384615,0.761538462,0,0.026153846,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,279,0.021505376,0.046594982,0.035842294,0.229390681,0.64516129,0,0.021505376,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,606,0.00990099,0.070957096,0.01650165,0.346534653,0.53630363,0.001650165,0.018151815,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,407,0.007371007,0.071253071,0.022113022,0.132678133,0.737100737,0,0.029484029,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,400,0.0075,0.03,0.0325,0.555,0.3475,0.0025,0.025,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,434,0.006912442,0.050691244,0.023041475,0.656682028,0.253456221,0.004608295,0.004608295,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,301,0,0.03654485,0.009966777,0.11627907,0.80730897,0,0.029900332,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,985,0.004060914,0.083248731,0.01928934,0.198984772,0.678172589,0.002030457,0.014213198,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,449,0,0.064587973,0.020044543,0.454342984,0.429844098,0,0.031180401,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,362,0.005524862,0.033149171,0.019337017,0.372928177,0.549723757,0.002762431,0.016574586,,,
0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,740,0.006756757,0.001351351,0.017567568,0.806756757,0.160810811,0,0.006756757,,,
0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,251,0.007968127,0,0.019920319,0.796812749,0.175298805,0,0,,,
0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,1689,0.007104796,0.004144464,0.03374778,0.82830077,0.123741859,0.000592066,0.002368265,,,
0030,ADAMS COUNTY 14,0124,STARS EARLY LEARNING CENTER,80,0,0,0.0125,0.9,0.0875,0,0,,,
0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,598,0.006688963,0.001672241,0.026755853,0.797658863,0.155518395,0,0.011705686,,,
0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,624,0.001602564,0.003205128,0.03525641,0.826923077,0.131410256,0,0.001602564,,,
0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,562,0.010676157,0.001779359,0.010676157,0.823843416,0.145907473,0,0.007117438,,,
0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,697,0.004304161,0.00143472,0.034433286,0.852223816,0.098995696,0,0.008608321,,,
0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,482,0.008298755,0,0.018672199,0.82780083,0.128630705,0,0.01659751,,,
0030,ADAMS COUNTY 14,5880,MILDRED L SANVILLE PRESCHOOL,92,0.02173913,0,0.02173913,0.858695652,0.097826087,0,0,,,
0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,583,0.008576329,0,0.018867925,0.833619211,0.126929674,0,0.012006861,,,
0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,388,0.007731959,0.00257732,0.015463918,0.87628866,0.092783505,0,0.005154639,,,
0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,535,0.013084112,0.005607477,0.01682243,0.824299065,0.136448598,0,0.003738318,,,
0040,BRIGHTON 27J,0006,COUNTY JAIL,3,0,0,0,0.666666667,0,0.333333333,0,,,
0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,699,0.008583691,0.014306152,0.031473534,0.406294707,0.512160229,0.00286123,0.024320458,,,
0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,123,0.024390244,0.008130081,0.032520325,0.528455285,0.382113821,0.008130081,0.016260163,,,
0040,BRIGHTON 27J,1022,BRIGHTON HIGH SCHOOL,1653,0.006049607,0.012099214,0.006049607,0.493647913,0.465214761,0.003629764,0.013309135,,,
0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,923,0.002166847,0.014084507,0.005417118,0.295774648,0.654387866,0.002166847,0.026002167,,,
0040,BRIGHTON 27J,2399,EAGLE RIDGE ACADEMY,302,0.009933775,0.01986755,0.013245033,0.337748344,0.59602649,0.003311258,0.01986755,,,
0040,BRIGHTON 27J,2945,FOUNDATIONS ACADEMY,581,0.003442341,0.005163511,0.008605852,0.204819277,0.759036145,0,0.018932874,,,
0040,BRIGHTON 27J,3900,HENDERSON ELEMENTARY SCHOOL,532,0.005639098,0.020676692,0.015037594,0.413533835,0.520676692,0.003759398,0.020676692,,,
0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,695,0.002877698,0.014388489,0.01294964,0.205755396,0.730935252,0.001438849,0.031654676,,,
0040,BRIGHTON 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,712,0.007022472,0.018258427,0.008426966,0.44241573,0.487359551,0.001404494,0.03511236,,,
0040,BRIGHTON 27J,6294,NORTH ELEMENTARY SCHOOL,402,0.004975124,0.007462687,0.007462687,0.850746269,0.116915423,0.002487562,0.009950249,,,
0040,BRIGHTON 27J,6395,NORTHEAST ELEMENTARY SCHOOL,587,0.008517888,0.001703578,0.003407155,0.63032368,0.33560477,0,0.02044293,,,
0040,BRIGHTON 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,655,0.004580153,0.00610687,0.007633588,0.552671756,0.413740458,0.001526718,0.013740458,,,
0040,BRIGHTON 27J,6702,OTHO E STUART MIDDLE SCHOOL,589,0.006791171,0.039049236,0.05942275,0.395585739,0.471986418,0.001697793,0.025466893,,,
0040,BRIGHTON 27J,7129,PRAIRIE VIEW HIGH SCHOOL,1642,0.007308161,0.045676005,0.037149817,0.403775883,0.478684531,0.00182704,0.025578563,,,
0040,BRIGHTON 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,768,0.00390625,0.02734375,0.018229167,0.450520833,0.473958333,0.001302083,0.024739583,,,
0040,BRIGHTON 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,639,0.00312989,0.048513302,0.037558685,0.414710485,0.439749609,0,0.056338028,,,
0040,BRIGHTON 27J,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,107,0.018691589,0,0.009345794,0.504672897,0.420560748,0,0.046728972,,,
0040,BRIGHTON 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,599,0.008347245,0.038397329,0.006677796,0.462437396,0.457429048,0.001669449,0.025041736,,,
0040,BRIGHTON 27J,8060,SOUTH ELEMENTARY SCHOOL,589,0.003395586,0.001697793,0.003395586,0.760611205,0.21901528,0.001697793,0.010186757,,,
0040,BRIGHTON 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,628,0.00477707,0.006369427,0.015923567,0.506369427,0.447452229,0,0.01910828,,,
0040,BRIGHTON 27J,8820,TURNBERRY ELEMENTARY,782,0.006393862,0.02685422,0.02173913,0.350383632,0.55370844,0.002557545,0.038363171,,,
0040,BRIGHTON 27J,9230,VIKAN MIDDLE SCHOOL,552,0.009057971,0.009057971,0.010869565,0.632246377,0.320652174,0.001811594,0.016304348,,,
0040,BRIGHTON 27J,9426,WEST RIDGE ELEMENTARY,887,0.005636979,0.098083427,0.005636979,0.243517475,0.606538895,0.002254791,0.038331454,,,
0050,BENNETT 29J,0763,BENNETT PRESCHOOL,64,0.015625,0,0,0.21875,0.734375,0,0.03125,,,
0050,BENNETT 29J,0770,BENNETT ELEMENTARY SCHOOL,376,0.018617021,0,0.002659574,0.178191489,0.768617021,0.002659574,0.029255319,,,
0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,230,0.008695652,0.008695652,0.004347826,0.226086957,0.695652174,0.013043478,0.043478261,,,
0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,307,0.013029316,0.006514658,0.016286645,0.123778502,0.824104235,0,0.016286645,,,
0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,108,0.037037037,0,0,0.12962963,0.805555556,0,0.027777778,,,
0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,8,0,0,0,0.25,0.75,0,0,,,
0060,STRASBURG 31J,8328,STRASBURG ELEMENTARY SCHOOL,464,0.012931034,0.010775862,0.010775862,0.114224138,0.846982759,0.004310345,0,,,
0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,230,0,0.02173913,0.013043478,0.104347826,0.860869565,0,0,,,
0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,320,0.009375,0.0125,0.01875,0.109375,0.85,0,0,,,
0070,WESTMINSTER 50,1622,CLARA E. METZ ELEMENTARY SCHOOL,418,0.009569378,0.0215311,0,0.822966507,0.119617225,0,0.026315789,,,
0070,WESTMINSTER 50,2035,CROWN POINTE CHARTER ACADEMY,415,0.002409639,0.036144578,0,0.513253012,0.414457831,0,0.03373494,,,
0070,WESTMINSTER 50,2876,FAIRVIEW ELEMENTARY SCHOOL,366,0.005464481,0.043715847,0.00273224,0.838797814,0.101092896,0,0.008196721,,,
0070,WESTMINSTER 50,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,354,0.005649718,0.025423729,0.005649718,0.892655367,0.053672316,0,0.016949153,,,
0070,WESTMINSTER 50,3649,GREGORY HILL PRESCHOOL,348,0,0.054597701,0.014367816,0.744252874,0.155172414,0,0.031609195,,,
0070,WESTMINSTER 50,3792,HARRIS PARK ELEMENTARY SCHOOL,405,0.007407407,0.049382716,0.037037037,0.644444444,0.244444444,0,0.017283951,,,
0070,WESTMINSTER 50,3931,HIDDEN LAKE HIGH SCHOOL,260,0.003846154,0.011538462,0.007692308,0.715384615,0.246153846,0.003846154,0.011538462,,,
0070,WESTMINSTER 50,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,682,0.001466276,0.027859238,0.005865103,0.832844575,0.123167155,0,0.008797654,,,
0070,WESTMINSTER 50,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,582,0.010309278,0.034364261,0.012027491,0.804123711,0.127147766,0.003436426,0.008591065,,,
0070,WESTMINSTER 50,5834,MESA ELEMENTARY SCHOOL,395,0,0.055696203,0.037974684,0.620253165,0.281012658,0,0.005063291,,,
0070,WESTMINSTER 50,7305,IVER C. RANUM MIDDLE SCHOOL,830,0.006024096,0.053012048,0.015662651,0.779518072,0.137349398,0.001204819,0.007228916,,,
0070,WESTMINSTER 50,7810,FLYNN ELEMENTARY SCHOOL,367,0.008174387,0.065395095,0.010899183,0.572207084,0.329700272,0.002724796,0.010899183,,,
0070,WESTMINSTER 50,7812,SHAW HEIGHTS MIDDLE SCHOOL,645,0.00620155,0.069767442,0.018604651,0.60620155,0.288372093,0.003100775,0.007751938,,,
0070,WESTMINSTER 50,7860,SHERRELWOOD ELEMENTARY SCHOOL,263,0,0.007604563,0.019011407,0.745247148,0.19391635,0.003802281,0.030418251,,,
0070,WESTMINSTER 50,7952,SKYLINE VISTA ELEMENTARY SCHOOL,402,0.004975124,0.064676617,0.002487562,0.798507463,0.114427861,0,0.014925373,,,
0070,WESTMINSTER 50,8406,SUNSET RIDGE ELEMENTARY SCHOOL,340,0.008823529,0.05,0.017647059,0.685294118,0.232352941,0,0.005882353,,,
0070,WESTMINSTER 50,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,413,0.00968523,0.092009685,0.004842615,0.704600484,0.171912833,0,0.016949153,,,
0070,WESTMINSTER 50,9462,WESTMINSTER ELEMENTARY SCHOOL,273,0.014652015,0.036630037,0.010989011,0.688644689,0.227106227,0,0.021978022,,,
0070,WESTMINSTER 50,9466,WESTMINSTER HIGH SCHOOL,2366,0.009721048,0.068892646,0.018596788,0.68808115,0.198647506,0.001690617,0.014370245,,,
0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,462,0.010822511,0.010822511,0.002164502,0.606060606,0.354978355,0,0.015151515,,,
0100,ALAMOSA RE-11J,0115,ALAMOSA ELEMENTARY SCHOOL,1055,0.005687204,0.009478673,0.006635071,0.669194313,0.297630332,0,0.011374408,,,
0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,512,0.00390625,0.01171875,0,0.587890625,0.380859375,0.001953125,0.013671875,,,
0100,ALAMOSA RE-11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,69,0.014492754,0,0,0.695652174,0.289855072,0,0,,,
0110,SANGRE DE CRISTO RE-22J,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,177,0.005649718,0,0.005649718,0.350282486,0.615819209,0,0.02259887,,,
0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,133,0.007518797,0.007518797,0.007518797,0.255639098,0.684210526,0.030075188,0.007518797,,,
0120,ENGLEWOOD 1,0206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,335,0.032835821,0,0.044776119,0.405970149,0.498507463,0,0.017910448,,,
0120,ENGLEWOOD 1,1514,CHARLES HAY WORLD SCHOOL,356,0.016853933,0.019662921,0.014044944,0.191011236,0.724719101,0.005617978,0.028089888,,,
0120,ENGLEWOOD 1,1556,CHERRELYN ELEMENTARY SCHOOL,222,0.009009009,0,0.022522523,0.279279279,0.648648649,0,0.040540541,,,
0120,ENGLEWOOD 1,1652,CLAYTON ELEMENTARY SCHOOL,442,0.004524887,0.004524887,0.040723982,0.416289593,0.502262443,0.004524887,0.027149321,,,
0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,618,0.006472492,0.012944984,0.045307443,0.325242718,0.595469256,0.004854369,0.009708738,,,
0120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,68,0.014705882,0.058823529,0.014705882,0.220588235,0.676470588,0,0.014705882,,,
0120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,452,0.004424779,0.002212389,0.042035398,0.431415929,0.477876106,0,0.042035398,,,
0120,ENGLEWOOD 1,5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,219,0.00913242,0.01369863,0.00913242,0.461187215,0.479452055,0.00456621,0.02283105,,,
0120,ENGLEWOOD 1,9620,WM E BISHOP ELEMENTARY SCHOOL,242,0.020661157,0.012396694,0.016528926,0.603305785,0.32231405,0,0.024793388,,,
0123,SHERIDAN 2,3054,FORT LOGAN ELEMENTARY SCHOOL,632,0.006329114,0.023734177,0.041139241,0.740506329,0.169303797,0.001582278,0.017405063,,,
0123,SHERIDAN 2,7837,SHERIDAN MIDDLE SCHOOL,332,0.012048193,0.030120482,0.03313253,0.746987952,0.168674699,0,0.009036145,,,
0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,513,0.015594542,0.023391813,0.040935673,0.742690058,0.169590643,0,0.007797271,,,
0123,SHERIDAN 2,7843,EARLY CHILDHOOD EDUCATION CENTER,164,0,0.024390244,0.030487805,0.774390244,0.12804878,0,0.042682927,,,
0130,CHERRY CREEK 5,0000,NOT IN A SCHOOL,484,0.002066116,0.076446281,0.17768595,0.297520661,0.380165289,0.004132231,0.061983471,,,
0130,CHERRY CREEK 5,0016,FOX HOLLOW ELEMENTARY SCHOOL,867,0.005767013,0.146482122,0.053056517,0.113033449,0.634371396,0,0.047289504,,,
0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,1075,0.004651163,0.104186047,0.094883721,0.170232558,0.585116279,0.002790698,0.038139535,,,
0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,840,0.004761905,0.076190476,0.133333333,0.16547619,0.573809524,0.003571429,0.042857143,,,
0130,CHERRY CREEK 5,0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,725,0.002758621,0.066206897,0.075862069,0.16,0.617931034,0.005517241,0.071724138,,,
0130,CHERRY CREEK 5,0243,COYOTE HILLS ELEMENTARY SCHOOL,856,0.001168224,0.075934579,0.04088785,0.077102804,0.75817757,0,0.046728972,,,
