Report Card Element,Source File,Variable Characteristics--all are based on final rating (1 or 3 year),Variable location,Variable name,Notes,2012 UPDATE,UPDATED 12/5/12,,,,,,,,
Student Growth 3 Year Trend,To be Generated from SPF 1&3year file,Arrow Using Normal Scores of Percentile Ranking to split into 3 Std. Dev. Categories,1yr&3yr_change,rate_at.5_chng_growth,,,,,,,,,,,
Street Address,School Mailing Labels,,school physical address,Physical Address,,Done,,,,,,,,,
City,,,school physical address,Physical City,,Done,,,,,,,,,
State,,,school physical address,Physical State,,Done,,,,,,,,,
Zip Code,,,school physical address,Physical Zipcode,,Done,,,,,,,,,
Phone Number,School Mailing Labels,,school physical address,Phone,,Done,,,,,,,,,
Lowest Grade Offered,SPF Official plan Flat File ,"Variable is spelled out ""9th Grade"" on SPF, Report Card has ""9""",school physical address,LowestGrade,,DONE--This was revised 12/4/12--in 2011 incorrrectly said this was in  Final Grade,,,,,,,,,
Highest Grade Offered,SPF Official plan Flat File ,"Variable is spelled out ""9th Grade"" on SPF, Report Card has ""9""",school physical address,HighestGrade,,DONE--This was revised 12/4/12--in 2011 incorrrectly said this was in  Final Grade,,,,,,,,,
Total Students,CDE Enrollment Data,This is the total count of PK-12 for each individual school,Enrl_working,TOTAL,"Shown as a decimal place, not percentage",done,,,,,,,,,
Percent American Indian or Alaskan Native,CDE Enrollment Data,,Enrl_working,PCT_AmInd,,done,,,,,,,,,
Percent Asian,CDE Enrollment Data,,Enrl_working,PCT_Asian,,done,,,,,,,,,
Percent Black or African American,CDE Enrollment Data,,Enrl_working,PCT_Black,,done,,,,,,,,,
Percent Hispanic or Latino,CDE Enrollment Data,,Enrl_working,PCT_hisp,,done,,,,,,,,,
Percent White,CDE Enrollment Data,,Enrl_working,PCT_White,,done,,,,,,,,,
Percent Native Hawaiian or other Pacific Islander,CDE Enrollment Data,,Enrl_working,PCT_PI,,done,,,,,,,,,
Percent 2 or More Race\ethnicities,CDE Enrollment Data,,Enrl_working,PCT_2ormore,,done,,,,,,,,,
FRL Students,CDE FRL Data,This is the total percentage of students eligible for free or reduced lunches combined,K-12_FRL_Working,% FREE AND REDUCED,,Done,,,,,,,,,
Remediation Rate,Remediation file,2010 Remediation Rates (Percent),Remediation_HS_with_data,Remediation_AtLeastOne_Pct2010,,done,,,,,,,,,
College Readiness ACT Reading,CO ACT,,COACT,read_yn,,Done,,,,,,,,,
College Readiness ACT Math,CO ACT,,COACT,mat_yn,,done,,,,,,,,,
College Readiness ACT Writing/English,CO ACT,,COACT,eng_yn,,done,,,,,,,,,
College Readiness ACT Science,CO ACT,,COACT,sci_yn,,done,,,,,,,,,
AEC District Number,AEC_Official_Records_Flat_file,Alphanumeric,,DISTRICT_NUMBER,,,,,,,,,,,
AEC District Name,AEC_Official_Records_Flat_file,AEC District Name,,DISTRICT_NAME,,,,,,,,,,,
AEC School Number,AEC_Official_Records_Flat_file,AEC School number--alphanumeric,,SCHOOL_NUMBER,,,,,,,,,,,
AEC School Name,AEC_Official_Records_Flat_file,AEC School name,,SCHOOL_NAME,,,,,,,,,,,
AEC EMH level ,AEC_Official_Records_Flat_file,"AEC School Level (""A""= all levels in a multilevel school)",,EMH,,,,,,,,,,,
"AEC If multi-level school, EMH levels included in ""A""",AEC_Official_Records_Flat_file,,,INCLUDED_EMH_FOR_A,,,,,,,,,,,
AEC Has this school been approved as an AEC?,AEC_Official_Records_Flat_file,"""Y"" or ""N""",AEC_Final_Grade,AEC,,,,,,,,,,,
AEC Is the school a Charter school?,AEC_Official_Records_Flat_file,"""Y"" or ""N""",AEC_Final_Grade,Charter,,,,,,,,,,,
AEC Is the school an online school?,AEC_Official_Records_Flat_file,"""Y"" or ""N""",AEC_Final_Grade,Online,,,,,,,,,,,
Overall AEC Grad,AEC_Official_Records_Flat_file,Grade based on percentile ranking of weighted percent of points earned,AEC_Final_Grade,AEC_School_Grade,,,,,,,,,,,
Overall AEC Rank,AEC_Official_Records_Flat_file,Ranking based on weighte percent of points earned ,AEC_Final_Grade,AEC_Rank_tot,,,,,,,,,,,
AEC Acheivement Grade,AEC_Official_Records_Flat_file,"Grade based on SPF Rating Exceeds =A, Meets=B,  Approaching =C, Does not meet =F",AEC_Final_Grade,Stat_Total_Grade,Note that achievement and growth were deleated post sending out,,,,,,,,,,
AEC Growth Grade,AEC_Official_Records_Flat_file,"Grade based on SPF Rating Exceeds =A, Meets=B,  Approaching =C, Does not meet =F",AEC_Final_Grade,Grow_Total_Grade,,,,,,,,,,,
AEC Average Daily Attendance Rate,AEC_Official_Records_Flat_file,A rate,AEC_Final_Grade,STENG_ADA_RateScore,,,,,,,,,,,
AEC Truancy Rate,AEC_Official_Records_Flat_file,Rate,AEC_Final_Grade,STENG_Truancy_Rate,,,,,,,,,,,
AEC E 4yr Grad  Rate for Current Year,AEC_Official_Records_Flat_file,,AEC_Final_Grade,PSR_Compl_CY_CR_4YR,,,,,,,,,,,
AEC Dropout Rate,AEC_Official_Records_Flat_file,,AEC_Final_Grade,PSR_Drop_RateScore,,,,,,,,,,,
Other Schools (Geographical Proximity),ID by Jesus,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Then we are going to add + and minus based on 20% of each grade span. So then we are grading as follows by percentile:,Code in final sheet,,,,,,,,,,,,,,
A+ is 98 to 100,13,,,,,,,,,,,,,,
A is 92 to 87.99,12,,,,,,,,,,,,,,
A-  is 90 to 91.99,11,,,,,,,,,,,,,,
B+ is 85 to 89.99,10,,,,,,,,,,,,,,
B is 70 to 84.99,9,,,,,,,,,,,,,,
B- is 65 to 69.99,8,,,,,,,,,,,,,,
C+ is 55 to 64.99,7,,,,,,,,,,,,,,
C is 25 to 54.99,6,,,,,,,,,,,,,,
C- is 15 to 24.99,5,,,,,,,,,,,,,,
D+ is 13 to 14.99,4,,,,,,,,,,,,,,
D is 7 to 12.99,3,,,,,,,,,,,,,,
D- is 5 to 6.99,2,,,,,,,,,,,,,,
F is 5 and below,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code for Yes No,,,,,,,,,,,,,,,
Yes,1,,,,,,,,,,,,,,
No,0,,,,,,,,,,,,,,
Blank,no data available,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code for arrows,,,,,,,,,,,,,,,
1,down,,,,,,,,,,,,,,
2,flat,,,,,,,,,,,,,,
3,up,,,,,,,,,,,,,,
Blank,no data available,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code for School type,,,,,,,,,,,,,,,
E,Elementary  ,,,,,,,,,,,,,,
M,Middle school,,,,,,,,,,,,,,
H,High Schools,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Code for Mixed Grades,,,,,,,,,,,,,,,
EM,Elementary and Middle grades,,,,,,,,,,,,,,
MH,Middle and high school grades,,,,,,,,,,,,,,
EMH,"Elementary, middle and high school grades",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Spreadsheets,Spreadsheet name,Status,,,,,,,,,,,,,
SPF Official plan Flat File ,Final_grade,Dependent on CDE Expect to get files after Dec 5-6 meeting,,,,,,,,,,,,,
 SPF 1&3year file,1yr&3yr_change,Dependent on CDE Expect to get files after Dec 5-6 meeting,,,,,,,,,,,,,
School Mailing Labels,school physical address,Ready week of Nov 5-revised 12/5 to add high and low grades,,,,,,,,,,,,,
CDE Enrollment Data,Enrl_working,Ready week of Nov 5,,,,,,,,,,,,,
CO ACT,COACT,Ready week of Nov 5,,,,,,,,,,,,,
AEC Official Plan,AEC_final Grade,Dependent on CDE Expect to get files after Dec 5-6 meeting,,,,,,,,,,,,,
CDE FRL Data,K-12_FRL_Working,Ready week of Nov 5,,,,,,,,,,,,,
Remediation file,Remediation_HS_with_data,Ready week of Nov 5,,,,,,,,,,,,,
