Record_no,District Code,District Name,School Code,School Name,EMH,EMH_combined,AEC10,SPF_PS_ELL_GRAD_RATE,School_Grade,rank_tot,Overall_Ach_Grade,read_ach_grade,math_ach_grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,ELL_Growth_Grade,SPF_PS_IND_GRAD_RATE
14,1040,ACADEMY 20,2524,EDITH WOLFORD ELEMENTARY SCHOOL,E,E,N,,10,146,9,9,7,9,9,10,6,10,10,,
15,1040,ACADEMY 20,2800,EXPLORER ELEMENTARY SCHOOL,E,E,N,,6,578,9,9,9,10,9,3,6,1,4,,
16,1040,ACADEMY 20,3104,FOOTHILLS ELEMENTARY SCHOOL,E,E,N,,10,130,9,9,8,9,9,9,6,11,9,,
17,1040,ACADEMY 20,3238,FRONTIER ELEMENTARY SCHOOL,E,E,N,,9,215,9,7,8,8,9,9,9,6,9,12,
18,1040,ACADEMY 20,3985,HIGH PLAINS ELEMENTARY SCHOOL,E,E,N,,4,853,6,6,6,6,7,3,5,3,3,5,
19,1040,ACADEMY 20,5126,LIBERTY HIGH SCHOOL,H,H,N,-,8,113,9,9,9,9,9,5,6,5,5,,88.
20,1040,ACADEMY 20,6140,MOUNTAIN RIDGE MIDDLE SCHOOL,M,M,N,,9,148,9,9,9,9,9,6,6,6,6,,
21,1040,ACADEMY 20,6158,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,E,N,,12,36,12,12,12,12,11,10,9,9,10,,
22,1040,ACADEMY 20,6937,PINE CREEK HIGH SCHOOL,H,H,N,-,9,68,10,10,9,11,10,6,6,6,7,,90.
23,1040,ACADEMY 20,6960,PIONEER ELEMENTARY SCHOOL,E,E,N,,7,410,6,6,6,6,7,8,7,8,7,10,
24,1040,ACADEMY 20,7159,PRAIRIE HILLS ELEMENTARY SCHOOL,E,E,N,,9,265,7,8,7,7,9,7,5,9,7,,
25,1040,ACADEMY 20,7240,RAMPART HIGH SCHOOL,H,H,N,71.,9,98,9,9,10,9,9,5,5,6,2,8,89.
26,1040,ACADEMY 20,7247,RANCH CREEK ELEMENTARY,E,E,N,,9,196,9,9,7,9,9,9,8,9,9,,
27,1040,ACADEMY 20,7460,ROCKRIMMON ELEMENTARY SCHOOL,E,E,N,,7,393,10,10,10,10,9,6,6,6,6,,
28,1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,M,MH,N,,,,12,12,11,12,9,9,10,6,9,,
29,1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,H,MH,N,-,10,37,13,13,11,13,12,9,9,7,10,,68.
30,1040,ACADEMY 20,1627,THE CLASSICAL ACADEMY CHARTER,E,E,N,,9,215,10,11,10,10,9,7,6,6,7,13,
31,1040,ACADEMY 20,1630,THE CLASSICAL ACADEMY HIGH SCHOOL,H,H,N,-,13,1,13,12,12,12,13,9,9,9,9,,99.
32,1040,ACADEMY 20,1629,THE CLASSICAL ACADEMY MIDDLE SCHOOL,M,M,N,,12,16,12,12,12,12,12,10,12,9,7,,
33,1040,ACADEMY 20,8813,THE DA VINCI ACADEMY SCHOOL,E,E,N,,8,338,9,9,9,9,9,7,6,6,7,9,
34,1040,ACADEMY 20,8851,TIMBERVIEW MIDDLE SCHOOL,M,M,N,,7,180,9,9,9,9,9,6,6,8,6,,
35,1040,ACADEMY 20,9714,WOODMEN-ROBERTS ELEMENTARY SCHOOL,E,E,N,,9,215,10,10,9,11,10,7,9,6,8,10,
36,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,E,EMH,N,,7,410,8,8,9,7,7,6,6,6,7,3,
37,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,M,EMH,N,,6,319,6,7,6,6,6,4,6,4,3,,
38,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,H,EMH,N,-,7,136,6,7,6,7,6,6,8,5,6,,80.
39,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,E,E,N,,9,170,9,8,9,7,9,9,6,9,10,5,
40,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,E,E,N,,6,738,5,5,5,3,6,6,6,7,5,6,
41,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,M,M,N,,6,285,7,6,7,6,9,6,6,5,6,3,
42,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,E,E,N,,5,779,5,5,6,4,4,6,6,6,6,5,
43,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),E,EMH,N,,1,983,4,5,4,4,6,1,1,1,1,,
44,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),M,EMH,N,,3,455,5,5,4,5,3,2,5,2,3,,
45,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),H,EMH,N,-,2,310,6,6,5,6,6,6,7,6,6,,22.
46,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,E,E,N,,1,981,2,2,3,1,2,2,1,4,3,3,
47,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,E,E,N,,7,393,6,6,7,6,8,6,5,6,9,9,
48,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,E,E,N,,9,215,10,9,11,10,9,7,7,6,6,,
49,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,E,E,N,,8,338,8,6,9,7,7,7,8,8,6,5,
50,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,E,E,N,,3,927,1,1,3,1,2,4,4,6,6,2,
51,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,E,E,N,,8,338,6,6,6,6,6,9,9,9,6,10,
52,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,E,E,N,,,,6,6,7,6,,10,6,12,12,7,
53,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,E,E,N,,1,975,3,3,5,1,3,3,4,2,1,5,
54,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,H,H,N,78.,6,200,6,6,7,6,6,6,6,6,5,12,84.
55,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,E,EM,N,,13,14,13,13,13,13,13,12,10,10,12,9,
56,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,M,EM,N,,10,69,13,12,13,13,12,6,7,6,6,,
57,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,E,E,N,,7,434,8,7,9,8,9,6,6,6,5,9,
58,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,H,H,N,82.,9,68,10,9,11,9,9,8,8,7,7,6,88.
59,0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,E,E,N,,3,890,6,5,6,6,5,3,1,4,1,9,
60,0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,E,E,N,,5,840,4,4,5,3,3,5,5,5,6,3,
61,0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,E,E,N,,5,840,1,1,1,1,3,6,6,9,6,1,
62,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,E,E,N,,11,95,10,10,11,9,10,10,10,9,9,8,
63,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,H,H,N,74.,6,222,6,6,6,6,6,6,6,6,7,9,79.
64,0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,E,N,,9,180,9,6,9,9,9,9,7,9,10,6,
65,0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,E,E,N,,5,814,3,2,3,1,3,6,5,9,6,5,
66,0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,E,E,N,,5,760,2,1,3,1,3,6,11,6,6,5,
67,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,H,H,N,60.,3,288,3,3,5,3,4,6,6,6,5,7,69.
68,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,M,M,N,,6,303,6,6,6,5,6,7,9,6,6,12,
69,0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,E,E,N,,10,146,6,6,7,6,6,12,9,9,13,,
70,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,E,E,N,,10,146,10,12,9,9,11,8,9,6,8,,
71,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,E,E,N,,5,840,6,6,6,6,6,5,5,6,3,3,
72,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,E,E,N,,5,840,3,3,3,1,4,6,5,6,6,9,
73,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,M,M,N,,9,140,9,8,10,9,11,6,6,6,6,7,
74,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,M,M,N,,6,332,6,6,6,5,6,6,7,6,5,6,
75,0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,E,E,N,,9,248,9,9,10,9,9,7,6,8,6,10,
76,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,M,M,N,,6,356,6,6,6,6,7,6,5,6,6,6,
77,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,E,E,N,,9,248,6,6,7,6,6,9,9,9,7,6,
78,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,E,EM,N,,9,180,12,12,12,11,12,8,6,7,9,7,
79,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,M,EM,N,,13,1,13,13,13,13,13,12,9,12,12,,
80,0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,E,E,N,,6,507,6,6,7,6,6,6,9,6,5,6,
81,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,E,EM,N,,9,215,10,10,12,9,12,6,6,9,3,,
82,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,M,EM,N,,8,162,12,10,12,11,,6,7,7,3,,
83,0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,E,E,N,,3,890,3,3,5,3,4,5,5,5,6,3,
84,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,E,E,N,,9,215,7,6,8,6,7,10,7,11,9,10,
85,0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,E,E,N,,4,869,6,7,6,6,5,1,1,4,1,7,
86,0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,E,E,N,,2,945,1,1,3,1,1,3,3,9,1,1,
87,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,H,H,N,67.,3,287,5,4,6,5,5,6,6,6,6,7,70.
88,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,M,M,N,,3,452,1,1,3,1,2,4,3,6,3,4,
92,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,E,EM,N,,5,827,7,8,7,6,7,3,4,2,5,,
93,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,M,EM,N,,6,275,8,7,9,8,6,5,5,5,6,,
94,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,M,M,N,,9,78,9,6,10,7,9,9,6,10,6,10,
95,0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,E,E,N,,5,760,6,5,6,5,5,6,6,6,6,6,
96,0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,E,E,N,,6,632,6,6,6,6,6,5,5,5,6,12,
97,0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,H,H,N,57.,1,324,1,1,2,1,1,1,1,1,1,6,63.
98,0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,M,M,N,,4,428,3,2,3,3,5,6,3,6,6,8,
99,0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,E,E,N,,4,853,3,5,2,5,2,5,6,1,6,5,
100,0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,E,E,N,,3,901,1,3,1,2,3,6,6,3,5,6,
101,0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,E,E,N,,4,869,3,5,1,3,3,5,5,6,3,6,
102,0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,E,E,N,,8,316,3,3,1,3,1,10,10,9,13,6,
103,0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,M,M,N,,5,375,3,3,5,3,4,6,5,9,6,6,
104,0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,E,E,N,,6,712,4,4,3,4,6,6,6,5,6,6,
106,0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,E,E,N,,5,840,3,3,4,3,3,6,6,4,5,6,
107,0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,E,E,N,,1,969,3,4,3,3,3,3,2,3,7,3,
108,0180,ADAMS-ARAPAHOE 28J,0214,ALTURA ELEMENTARY SCHOOL,E,E,N,,6,538,1,1,2,1,3,6,9,12,9,1,
109,0180,ADAMS-ARAPAHOE 28J,0219,APS ONLINE SCHOOL,H,H,N,-,,,1,1,1,1,1,3,6,1,3,,14.
110,0180,ADAMS-ARAPAHOE 28J,0310,ARKANSAS ELEMENTARY SCHOOL,E,E,N,,1,978,3,3,1,3,1,3,2,3,3,6,
111,0180,ADAMS-ARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,E,EM,N,,6,712,6,6,6,6,6,6,6,5,6,5,
112,0180,ADAMS-ARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,M,EM,N,,10,64,9,9,9,8,7,10,9,10,9,,
113,0180,ADAMS-ARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,H,H,N,34.,1,318,1,1,3,1,1,6,5,6,6,6,43.
114,0180,ADAMS-ARAPAHOE 28J,0465,AURORA FRONTIER K-8,E,EM,N,,9,215,7,6,6,9,8,9,7,10,6,6,
115,0180,ADAMS-ARAPAHOE 28J,0465,AURORA FRONTIER K-8,M,EM,N,,11,43,9,7,10,8,10,11,9,12,8,,
116,0180,ADAMS-ARAPAHOE 28J,0464,AURORA HILLS MIDDLE SCHOOL,M,M,N,,4,423,3,3,4,3,3,6,6,6,6,6,
117,0180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST K-8,E,EM,N,,13,1,13,13,13,13,13,13,13,13,13,,
118,0180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST K-8,M,EM,N,,10,64,13,13,13,13,13,6,9,6,6,,
119,0180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,M,MH,N,,6,285,2,1,3,1,1,9,9,7,9,7,
120,0180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,H,MH,N,,,,6,6,6,6,6,12,12,12,12,12,
121,0180,ADAMS-ARAPAHOE 28J,0213,AXL ACADEMY,E,EM,N,,6,738,4,5,3,5,4,6,6,6,6,9,
122,0180,ADAMS-ARAPAHOE 28J,0213,AXL ACADEMY,M,EM,N,,7,201,5,6,3,5,6,10,13,7,12,3,
123,0180,ADAMS-ARAPAHOE 28J,0914,BOSTON K-8 SCHOOL,E,EM,N,,1,996,1,1,3,1,1,1,1,3,1,3,
124,0180,ADAMS-ARAPAHOE 28J,0914,BOSTON K-8 SCHOOL,M,EM,N,,5,395,1,1,2,1,1,7,6,9,6,6,
125,0180,ADAMS-ARAPAHOE 28J,1470,CENTURY ELEMENTARY SCHOOL,E,E,N,,5,760,5,5,5,5,4,6,5,7,3,6,
126,0180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER K-8,E,EM,N,,9,296,5,3,5,5,5,10,8,12,9,7,
127,0180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER K-8,M,EM,N,,10,56,6,6,6,6,,11,12,9,9,8,
128,0180,ADAMS-ARAPAHOE 28J,1800,COLUMBIA MIDDLE SCHOOL,M,M,N,,6,265,6,5,6,6,6,7,6,7,6,10,
129,0180,ADAMS-ARAPAHOE 28J,1948,CRAWFORD ELEMENTARY SCHOOL,E,E,N,,3,927,1,1,1,1,1,5,6,6,6,3,
130,0180,ADAMS-ARAPAHOE 28J,2095,DALTON ELEMENTARY SCHOOL,E,E,N,,9,265,6,6,6,7,6,9,6,9,8,9,
131,0180,ADAMS-ARAPAHOE 28J,2114,DARTMOUTH ELEMENTARY SCHOOL,E,E,N,,6,608,3,3,3,5,3,7,7,8,9,3,
132,0180,ADAMS-ARAPAHOE 28J,2384,EAST MIDDLE SCHOOL,M,M,N,,6,297,2,1,3,1,4,9,7,8,7,7,
133,0180,ADAMS-ARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,E,E,N,,5,827,2,1,3,3,1,7,7,7,7,6,
134,0180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,E,EM,N,,2,945,1,1,1,1,3,5,6,3,5,6,
135,0180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,M,EM,N,,5,401,1,1,2,3,1,6,7,3,9,3,
136,0180,ADAMS-ARAPAHOE 28J,2998,FLETCHER PRIMARY SCHOOL,E,E,N,,,,3,3,3,1,,,,,,6,
137,0180,ADAMS-ARAPAHOE 28J,3272,FULTON ELEMENTARY SCHOOL,E,E,N,,6,693,1,1,1,1,3,7,9,6,9,6,
138,0180,ADAMS-ARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,H,H,N,48.,2,308,3,3,3,3,3,7,7,6,9,6,56.
139,0180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,E,EM,N,,5,760,5,5,5,5,5,6,6,5,6,5,
140,0180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,M,EM,N,,6,275,5,5,5,5,2,8,9,6,9,9,
141,0180,ADAMS-ARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,H,H,N,44.,3,288,4,3,6,3,5,6,7,6,6,6,58.
142,0180,ADAMS-ARAPAHOE 28J,4270,IOWA ELEMENTARY SCHOOL,E,E,N,,6,507,4,5,3,5,5,8,9,6,10,6,
143,0180,ADAMS-ARAPAHOE 28J,4426,JEWELL ELEMENTARY SCHOOL,E,E,N,,1,975,5,4,5,5,3,3,3,1,3,6,
144,0180,ADAMS-ARAPAHOE 28J,4646,KENTON ELEMENTARY SCHOOL,E,E,N,,3,927,1,1,3,1,1,5,3,6,6,5,
145,0180,ADAMS-ARAPAHOE 28J,4970,LANSING ELEMENTARY SCHOOL,E,E,N,,6,632,3,3,3,4,1,8,8,9,8,6,
146,0180,ADAMS-ARAPAHOE 28J,4973,LAREDO ELEMENTARY SCHOOL,E,E,N,,6,507,4,3,4,5,4,7,6,6,12,5,
147,0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,E,EMH,N,,1,996,3,3,3,3,3,1,1,1,2,2,
148,0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,M,EMH,N,,9,148,6,6,6,6,6,9,11,6,10,6,
149,0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,H,EMH,N,-,6,222,5,5,5,5,5,7,10,6,6,10,-
150,0180,ADAMS-ARAPAHOE 28J,5361,LYN KNOLL ELEMENTARY SCHOOL,E,E,N,,9,265,3,3,3,5,3,9,10,12,9,6,
151,0180,ADAMS-ARAPAHOE 28J,6068,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,E,E,N,,11,85,6,6,9,6,6,13,13,13,13,5,
152,0180,ADAMS-ARAPAHOE 28J,6160,MRACHEK MIDDLE SCHOOL,M,M,N,,4,428,3,3,5,3,5,3,3,4,3,6,
153,0180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,E,EM,N,,6,538,6,6,6,6,6,7,6,8,6,9,
154,0180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,M,EM,N,,7,217,6,6,6,6,6,7,9,6,6,,
156,0180,ADAMS-ARAPAHOE 28J,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,M,M,N,,6,356,3,3,5,3,5,7,9,6,6,9,
157,0180,ADAMS-ARAPAHOE 28J,6728,PARIS ELEMENTARY SCHOOL,E,E,N,,3,927,1,1,1,1,1,5,5,6,6,5,
158,0180,ADAMS-ARAPAHOE 28J,6758,PARK LANE ELEMENTARY SCHOOL,E,E,N,,4,869,1,1,1,1,3,7,6,6,7,8,
159,0180,ADAMS-ARAPAHOE 28J,6869,PEORIA ELEMENTARY SCHOOL,E,E,N,,6,479,3,2,3,3,2,9,8,13,11,6,
160,0180,ADAMS-ARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,H,H,N,56.,5,247,6,5,6,6,6,8,9,6,8,9,68.
161,0180,ADAMS-ARAPAHOE 28J,7558,SABLE ELEMENTARY SCHOOL,E,E,N,,6,720,1,1,1,1,1,7,7,6,7,6,
162,0180,ADAMS-ARAPAHOE 28J,7865,SIDE CREEK ELEMENTARY SCHOOL,E,E,N,,9,170,6,6,6,6,6,10,8,12,9,6,
163,0180,ADAMS-ARAPAHOE 28J,7932,SIXTH AVENUE ELEMENTARY SCHOOL,E,E,N,,3,890,3,3,3,4,3,6,3,6,6,5,
164,0180,ADAMS-ARAPAHOE 28J,8078,SOUTH MIDDLE SCHOOL,M,M,N,,6,232,3,3,4,3,1,9,10,9,7,6,
165,0180,ADAMS-ARAPAHOE 28J,8858,TOLLGATE ELEMENTARY SCHOOL,E,E,N,,6,507,5,3,5,4,5,8,9,11,7,5,
166,0180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,E,EM,N,,6,455,5,5,3,5,3,9,9,9,9,8,
167,0180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,M,EM,N,,9,97,5,5,4,6,3,12,9,10,12,9,
168,0180,ADAMS-ARAPAHOE 28J,9059,VASSAR ELEMENTARY SCHOOL,E,E,N,,6,663,5,5,6,6,5,6,1,9,6,6,
169,0180,ADAMS-ARAPAHOE 28J,9060,VAUGHN ELEMENTARY SCHOOL,E,E,N,,6,673,1,1,1,1,1,8,7,9,9,6,
170,0180,ADAMS-ARAPAHOE 28J,9140,VIRGINIA COURT ELEMENTARY SCHOOL,E,E,N,,5,760,2,1,2,2,1,7,6,9,9,6,
171,0180,ADAMS-ARAPAHOE 28J,9125,VISTA PEAK 9-12 PREPARATORY,H,H,N,,,,5,5,6,4,4,7,7,9,7,3,
172,0180,ADAMS-ARAPAHOE 28J,9083,VISTA PEAK P-8 EXPLORATORY,E,EM,N,,1,952,3,3,1,4,3,3,6,3,3,3,
173,0180,ADAMS-ARAPAHOE 28J,9083,VISTA PEAK P-8 EXPLORATORY,M,EM,N,,7,201,5,4,5,5,3,9,9,8,9,7,
174,0180,ADAMS-ARAPAHOE 28J,9514,WHEELING ELEMENTARY SCHOOL,E,E,N,,3,882,1,1,1,1,3,6,3,6,4,6,
175,0180,ADAMS-ARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,H,H,N,-,6,230,6,6,6,5,5,8,7,8,9,5,59.
176,0180,ADAMS-ARAPAHOE 28J,9756,YALE ELEMENTARY SCHOOL,E,E,N,,9,180,5,4,3,6,5,12,11,13,12,6,
177,0960,AGATE 300,0044,AGATE ELEMENTARY SCHOOL,E,E,N,,,,,,,,,,,,,,
