Record_no,SPF_DIST_NUMBER,SPF_DISTRICT_NAME,SPF_SCHOOL_NUMBER,SPF_SCHOOL_NAME,SPF_EMH_CODE,SPF_INCLUDED_EMH_FOR_A,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chng_.5
21,1040,ACADEMY 20,6158,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,E,2,2,2
22,1040,ACADEMY 20,6937,PINE CREEK HIGH SCHOOL,H,H,2,1,2
23,1040,ACADEMY 20,6960,PIONEER ELEMENTARY SCHOOL,E,E,2,2,2
24,1040,ACADEMY 20,7159,PRAIRIE HILLS ELEMENTARY SCHOOL,E,E,2,2,2
25,1040,ACADEMY 20,7240,RAMPART HIGH SCHOOL,H,H,2,2,2
26,1040,ACADEMY 20,7247,RANCH CREEK ELEMENTARY,E,E,2,3,3
27,1040,ACADEMY 20,7460,ROCKRIMMON ELEMENTARY SCHOOL,E,E,2,3,3
28,1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,M,MH,2,3,3
29,1040,ACADEMY 20,8779,TCA COLLEGE PATHWAYS,H,MH,2,2,3
30,1040,ACADEMY 20,1627,THE CLASSICAL ACADEMY CHARTER,E,E,2,2,2
31,1040,ACADEMY 20,1630,THE CLASSICAL ACADEMY HIGH SCHOOL,H,H,2,2,2
32,1040,ACADEMY 20,1629,THE CLASSICAL ACADEMY MIDDLE SCHOOL,M,M,2,2,2
33,1040,ACADEMY 20,8813,THE DA VINCI ACADEMY SCHOOL,E,E,2,1,2
34,1040,ACADEMY 20,8851,TIMBERVIEW MIDDLE SCHOOL,M,M,2,3,2
35,1040,ACADEMY 20,9714,WOODMENROBERTS ELEMENTARY SCHOOL,E,E,2,2,2
36,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,E,EMH,2,2,2
37,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,M,EMH,2,2,2
38,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,H,EMH,2,2,2
39,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,E,E,2,2,2
40,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,E,E,1,2,2
41,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,M,M,2,1,2
42,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,E,E,2,2,2
43,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),E,EMH,2,2,2
44,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),M,EMH,2,3,3
45,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),H,EMH,2,2,2
46,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,E,E,1,1,1
47,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,E,E,2,2,2
48,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,E,E,2,1,2
49,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,E,E,2,1,1
50,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,E,E,1,2,2
51,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,E,E,2,2,2
52,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,E,E,2,2,2
53,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,E,E,1,2,2
54,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,H,H,2,2,2
55,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K8 SCHOOL,E,EM,2,2,2
56,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K8 SCHOOL,M,EM,2,2,2
57,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,E,E,1,1,1
58,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,H,H,2,2,2
59,0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,E,E,1,1,2
60,0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,E,E,1,1,1
61,0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,E,E,2,2,3
62,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,E,E,2,2,2
63,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,H,H,2,1,2
64,0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,E,2,3,2
65,0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,E,E,1,1,1
66,0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,E,E,2,3,3
67,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,H,H,2,2,2
68,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,M,M,1,1,2
69,0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,E,E,2,3,2
70,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,E,E,2,2,2
71,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,E,E,2,1,2
72,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,E,E,1,3,2
73,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,M,M,2,2,2
74,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,M,M,2,2,2
75,0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,E,E,2,1,1
76,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,M,M,2,2,2
77,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,E,E,2,2,2
78,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,E,EM,2,2,2
79,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,M,EM,2,3,2
80,0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,E,E,3,3,3
81,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,E,EM,2,2,2
82,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,M,EM,2,2,2
83,0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,E,E,1,1,2
84,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,E,E,2,1,2
85,0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,E,E,1,1,1
86,0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,E,E,1,2,2
87,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,H,H,2,1,2
88,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,M,M,1,1,1
89,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,E,EMH,,,
90,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,M,EMH,3,1,2
91,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,H,EMH,1,1,2
92,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,E,EM,1,2,2
93,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,M,EM,2,3,2
94,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,M,M,2,2,2
95,0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,E,E,2,1,2
96,0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,E,E,3,2,2
97,0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,H,H,2,2,2
98,0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,M,M,1,2,2
99,0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,E,E,2,2,3
100,0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,E,E,2,1,2
101,0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,E,E,2,2,3
102,0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,E,E,3,3,3
103,0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,M,M,1,1,1
104,0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,E,E,1,1,2
105,0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,H,H,3,,1
106,0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,E,E,1,1,1
107,0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,E,E,2,3,3
108,0180,ADAMSARAPAHOE 28J,0214,ALTURA ELEMENTARY SCHOOL,E,E,3,2,3
109,0180,ADAMSARAPAHOE 28J,0219,APS ONLINE SCHOOL,H,H,3,,1
110,0180,ADAMSARAPAHOE 28J,0310,ARKANSAS ELEMENTARY SCHOOL,E,E,1,2,2
111,0180,ADAMSARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,E,EM,2,1,2
112,0180,ADAMSARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,M,EM,2,1,2
113,0180,ADAMSARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,H,H,2,2,2
114,0180,ADAMSARAPAHOE 28J,0465,AURORA FRONTIER K8,E,EM,3,3,3
115,0180,ADAMSARAPAHOE 28J,0465,AURORA FRONTIER K8,M,EM,3,2,2
116,0180,ADAMSARAPAHOE 28J,0464,AURORA HILLS MIDDLE SCHOOL,M,M,2,3,2
117,0180,ADAMSARAPAHOE 28J,7232,AURORA QUEST K8,E,EM,2,3,2
118,0180,ADAMSARAPAHOE 28J,7232,AURORA QUEST K8,M,EM,2,2,2
119,0180,ADAMSARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,M,MH,1,1,1
120,0180,ADAMSARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,H,MH,2,2,2
121,0180,ADAMSARAPAHOE 28J,0213,AXL ACADEMY,E,EM,2,2,2
122,0180,ADAMSARAPAHOE 28J,0213,AXL ACADEMY,M,EM,3,2,2
123,0180,ADAMSARAPAHOE 28J,0914,BOSTON K8 SCHOOL,E,EM,2,1,2
124,0180,ADAMSARAPAHOE 28J,0914,BOSTON K8 SCHOOL,M,EM,2,1,1
125,0180,ADAMSARAPAHOE 28J,1470,CENTURY ELEMENTARY SCHOOL,E,E,2,1,1
126,0180,ADAMSARAPAHOE 28J,1720,CLYDE MILLER K8,E,EM,2,1,2
127,0180,ADAMSARAPAHOE 28J,1720,CLYDE MILLER K8,M,EM,2,2,2
128,0180,ADAMSARAPAHOE 28J,1800,COLUMBIA MIDDLE SCHOOL,M,M,2,2,2
129,0180,ADAMSARAPAHOE 28J,1948,CRAWFORD ELEMENTARY SCHOOL,E,E,3,2,2
130,0180,ADAMSARAPAHOE 28J,2095,DALTON ELEMENTARY SCHOOL,E,E,2,2,2
131,0180,ADAMSARAPAHOE 28J,2114,DARTMOUTH ELEMENTARY SCHOOL,E,E,2,2,2
132,0180,ADAMSARAPAHOE 28J,2384,EAST MIDDLE SCHOOL,M,M,2,1,2
133,0180,ADAMSARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,E,E,3,3,2
134,0180,ADAMSARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,E,EM,2,1,1
135,0180,ADAMSARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,M,EM,3,3,3
136,0180,ADAMSARAPAHOE 28J,2998,FLETCHER PRIMARY SCHOOL,E,E,3,3,3
137,0180,ADAMSARAPAHOE 28J,3272,FULTON ELEMENTARY SCHOOL,E,E,3,3,3
138,0180,ADAMSARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,H,H,2,3,3
139,0180,ADAMSARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,E,EM,1,2,2
140,0180,ADAMSARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,M,EM,2,2,2
141,0180,ADAMSARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,H,H,2,2,2
142,0180,ADAMSARAPAHOE 28J,4270,IOWA ELEMENTARY SCHOOL,E,E,3,3,3
143,0180,ADAMSARAPAHOE 28J,4426,JEWELL ELEMENTARY SCHOOL,E,E,2,2,2
144,0180,ADAMSARAPAHOE 28J,4646,KENTON ELEMENTARY SCHOOL,E,E,1,2,2
145,0180,ADAMSARAPAHOE 28J,4970,LANSING ELEMENTARY SCHOOL,E,E,2,2,2
146,0180,ADAMSARAPAHOE 28J,4973,LAREDO ELEMENTARY SCHOOL,E,E,2,3,3
147,0180,ADAMSARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,E,EMH,2,2,2
148,0180,ADAMSARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,M,EMH,3,3,3
149,0180,ADAMSARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,H,EMH,2,1,2
150,0180,ADAMSARAPAHOE 28J,5361,LYN KNOLL ELEMENTARY SCHOOL,E,E,3,3,3
151,0180,ADAMSARAPAHOE 28J,6068,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,E,E,3,3,2
152,0180,ADAMSARAPAHOE 28J,6160,MRACHEK MIDDLE SCHOOL,M,M,2,2,2
153,0180,ADAMSARAPAHOE 28J,6189,MURPHY CREEK K8 SCHOOL,E,EM,1,1,1
154,0180,ADAMSARAPAHOE 28J,6189,MURPHY CREEK K8 SCHOOL,M,EM,2,2,2
155,0180,ADAMSARAPAHOE 28J,6219,NEW AMERICA SCHOOL,H,H,3,1,2
156,0180,ADAMSARAPAHOE 28J,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,M,M,2,2,2
157,0180,ADAMSARAPAHOE 28J,6728,PARIS ELEMENTARY SCHOOL,E,E,1,2,2
158,0180,ADAMSARAPAHOE 28J,6758,PARK LANE ELEMENTARY SCHOOL,E,E,2,3,2
159,0180,ADAMSARAPAHOE 28J,6869,PEORIA ELEMENTARY SCHOOL,E,E,3,3,3
160,0180,ADAMSARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,H,H,3,3,2
161,0180,ADAMSARAPAHOE 28J,7558,SABLE ELEMENTARY SCHOOL,E,E,2,3,3
162,0180,ADAMSARAPAHOE 28J,7865,SIDE CREEK ELEMENTARY SCHOOL,E,E,2,2,2
163,0180,ADAMSARAPAHOE 28J,7932,SIXTH AVENUE ELEMENTARY SCHOOL,E,E,3,2,2
164,0180,ADAMSARAPAHOE 28J,8078,SOUTH MIDDLE SCHOOL,M,M,2,2,2
165,0180,ADAMSARAPAHOE 28J,8858,TOLLGATE ELEMENTARY SCHOOL,E,E,1,2,2
166,0180,ADAMSARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,E,EM,3,3,3
167,0180,ADAMSARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,M,EM,3,3,3
168,0180,ADAMSARAPAHOE 28J,9059,VASSAR ELEMENTARY SCHOOL,E,E,2,2,2
169,0180,ADAMSARAPAHOE 28J,9060,VAUGHN ELEMENTARY SCHOOL,E,E,2,2,2
170,0180,ADAMSARAPAHOE 28J,9140,VIRGINIA COURT ELEMENTARY SCHOOL,E,E,1,1,1
171,0180,ADAMSARAPAHOE 28J,9125,VISTA PEAK 912 PREPARATORY,H,H,2,2,2
172,0180,ADAMSARAPAHOE 28J,9083,VISTA PEAK P8 EXPLORATORY,E,EM,2,3,3
173,0180,ADAMSARAPAHOE 28J,9083,VISTA PEAK P8 EXPLORATORY,M,EM,3,3,3
174,0180,ADAMSARAPAHOE 28J,9514,WHEELING ELEMENTARY SCHOOL,E,E,2,2,2
175,0180,ADAMSARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,H,H,3,2,3
176,0180,ADAMSARAPAHOE 28J,9756,YALE ELEMENTARY SCHOOL,E,E,3,1,2
177,0960,AGATE 300,0044,AGATE ELEMENTARY SCHOOL,E,E,,,
178,1620,AGUILAR REORGANIZED 6,0058,AGUILAR ELEMENTARY SCHOOL,E,E,1,,1
179,1620,AGUILAR REORGANIZED 6,0066,AGUILAR JUNIORSENIOR HIGH SCHOOL,M,MH,,,1
180,1620,AGUILAR REORGANIZED 6,0066,AGUILAR JUNIORSENIOR HIGH SCHOOL,H,MH,,,2
181,3030,AKRON R1,0086,AKRON ELEMENTARY SCHOOL,E,EM,2,2,2
182,3030,AKRON R1,0086,AKRON ELEMENTARY SCHOOL,M,EM,3,3,3
183,3030,AKRON R1,0090,AKRON HIGH SCHOOL,H,H,3,3,2
184,0100,ALAMOSA RE11J,0115,ALAMOSA ELEMENTARY SCHOOL,E,E,2,2,2
185,0100,ALAMOSA RE11J,0118,ALAMOSA HIGH SCHOOL,H,H,3,2,2
186,0100,ALAMOSA RE11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,M,MH,2,,2
187,0100,ALAMOSA RE11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,H,MH,,,
188,0100,ALAMOSA RE11J,0114,ORTEGA MIDDLE SCHOOL,M,M,2,2,3
189,0220,ARCHULETA COUNTY 50 JT,0064,ARCHULETA COUNTY HIGH SCHOOL,H,H,,,2
190,0220,ARCHULETA COUNTY 50 JT,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,E,E,1,1,1
191,0220,ARCHULETA COUNTY 50 JT,6658,PAGOSA SPRINGS HIGH SCHOOL,H,H,1,1,1
192,0220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS MIDDLE SCHOOL,E,EM,2,2,2
193,0220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS MIDDLE SCHOOL,M,EM,3,2,2
194,3040,ARICKAREE R2,0304,ARICKAREE ELEMENTARY SCHOOL,E,E,2,3,3
195,3040,ARICKAREE R2,0308,ARICKAREE UNDIVIDED HIGH SCHOOL,M,MH,1,,3
196,3040,ARICKAREE R2,0308,ARICKAREE UNDIVIDED HIGH SCHOOL,H,MH,,,3
197,1450,ARRIBAFLAGLER C20,2956,FLAGLER ELEMENTARY SCHOOL,E,E,2,3,3
198,1450,ARRIBAFLAGLER C20,2958,FLAGLER MIDDLE SCHOOL,M,M,2,2,2
199,1450,ARRIBAFLAGLER C20,2960,FLAGLER SENIOR HIGH SCHOOL,H,H,1,,3
200,2640,ASPEN 1,0042,ASPEN COMMUNITY CHARTER SCHOOL,E,EM,1,2,1
201,2640,ASPEN 1,0042,ASPEN COMMUNITY CHARTER SCHOOL,M,EM,3,1,2
202,2640,ASPEN 1,0428,ASPEN ELEMENTARY SCHOOL,E,E,2,3,2
203,2640,ASPEN 1,0432,ASPEN HIGH SCHOOL,H,H,2,2,2
204,2640,ASPEN 1,0430,ASPEN MIDDLE SCHOOL,E,EM,2,2,2
205,2640,ASPEN 1,0430,ASPEN MIDDLE SCHOOL,M,EM,2,2,3
206,3145,AULTHIGHLAND RE9,3958,HIGHLAND ELEMENTARY SCHOOL,E,E,1,3,2
207,3145,AULTHIGHLAND RE9,3962,HIGHLAND HIGH SCHOOL,H,H,3,1,2
208,3145,AULTHIGHLAND RE9,3961,HIGHLAND MIDDLE SCHOOL,M,M,2,3,3
209,1530,BAYFIELD 10 JTR,0632,BAYFIELD ELEMENTARY SCHOOL,E,E,1,1,1
210,1530,BAYFIELD 10 JTR,0640,BAYFIELD HIGH SCHOOL,H,H,2,2,2
211,1530,BAYFIELD 10 JTR,0636,BAYFIELD MIDDLE SCHOOL,M,M,2,1,2
212,0050,BENNETT 29J,0770,BENNETT ELEMENTARY SCHOOL,E,E,2,2,2
213,0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,H,H,2,2,2
214,0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,M,M,2,2,2
215,0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,E,EM,2,3,2
216,0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,M,EM,3,3,2
217,1490,BETHUNE R5,0832,BETHUNE ELEMENTARY SCHOOL,E,E,1,1,1
218,1490,BETHUNE R5,0842,BETHUNE JUNIORSENIOR HIGH SCHOOL,M,MH,1,1,1
219,1490,BETHUNE R5,0842,BETHUNE JUNIORSENIOR HIGH SCHOOL,H,MH,1,1,2
220,0940,BIG SANDY 100J,7914,SIMLA ELEMENTARY SCHOOL,E,E,2,2,2
221,0940,BIG SANDY 100J,7922,SIMLA HIGH SCHOOL,H,H,2,2,2
222,0940,BIG SANDY 100J,7918,SIMLA JUNIOR HIGH SCHOOL,M,M,2,1,2
223,0480,BOULDER VALLEY RE 2,4878,ANGEVINE MIDDLE SCHOOL,M,M,2,2,3
224,0480,BOULDER VALLEY RE 2,0125,ARAPAHOE RIDGE HIGH SCHOOL,H,H,3,1,1
225,0480,BOULDER VALLEY RE 2,0441,ASPEN CREEK K8 SCHOOL,E,EM,2,3,3
226,0480,BOULDER VALLEY RE 2,0441,ASPEN CREEK K8 SCHOOL,M,EM,2,2,2
227,0480,BOULDER VALLEY RE 2,0652,BEAR CREEK ELEMENTARY SCHOOL,E,E,2,2,2
228,0480,BOULDER VALLEY RE 2,0872,BIRCH ELEMENTARY SCHOOL,E,E,2,3,3
229,0480,BOULDER VALLEY RE 2,0919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,E,E,2,3,2
230,0480,BOULDER VALLEY RE 2,0924,BOULDER HIGH SCHOOL,H,H,2,2,2
231,0480,BOULDER VALLEY RE 2,0934,BOULDER PREP CHARTER HIGH SCHOOL,H,H,,,2
232,0480,BOULDER VALLEY RE 2,0930,BOULDER UNIVERSAL,E,EMH,,,
233,0480,BOULDER VALLEY RE 2,0930,BOULDER UNIVERSAL,M,EMH,,,
234,0480,BOULDER VALLEY RE 2,0930,BOULDER UNIVERSAL,H,EMH,,,1
235,0480,BOULDER VALLEY RE 2,1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,M,M,2,3,2
236,0480,BOULDER VALLEY RE 2,1070,BROOMFIELD HIGH SCHOOL,H,H,2,2,2
237,0480,BOULDER VALLEY RE 2,1352,CASEY MIDDLE SCHOOL,M,M,3,2,2
238,0480,BOULDER VALLEY RE 2,1380,CENTAURUS HIGH SCHOOL,H,H,2,2,2
239,0480,BOULDER VALLEY RE 2,1390,CENTENNIAL MIDDLE SCHOOL,M,M,2,2,2
240,0480,BOULDER VALLEY RE 2,1725,COAL CREEK ELEMENTARY SCHOOL,E,E,2,2,2
241,0480,BOULDER VALLEY RE 2,1842,COLUMBINE ELEMENTARY SCHOOL,E,E,2,2,1
242,0480,BOULDER VALLEY RE 2,1883,COMMUNITY MONTESSORI SCHOOL,E,E,2,3,3
243,0480,BOULDER VALLEY RE 2,5606,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,E,E,2,3,3
244,0480,BOULDER VALLEY RE 2,1996,CREST VIEW ELEMENTARY SCHOOL,E,E,2,2,2
245,0480,BOULDER VALLEY RE 2,2240,DOUGLASS ELEMENTARY SCHOOL,E,E,2,3,1
246,0480,BOULDER VALLEY RE 2,2552,EISENHOWER ELEMENTARY SCHOOL,E,E,2,3,3
247,0480,BOULDER VALLEY RE 2,2589,ELDORADO K8 SCHOOL,E,EM,2,2,2
248,0480,BOULDER VALLEY RE 2,2589,ELDORADO K8 SCHOOL,M,EM,2,2,2
249,0480,BOULDER VALLEY RE 2,2702,EMERALD ELEMENTARY SCHOOL,E,E,2,3,3
250,0480,BOULDER VALLEY RE 2,2892,FAIRVIEW HIGH SCHOOL,H,H,2,2,2
