District No,School Name,District Name,School No,eng_yn,math_yn,read_yn,sci_yn,,,,"2012 ACT data created Nov 7, 2012",,,,,,,,,,,,,,,,,,
0100,DISTRICT RESULTS,ALAMOSA RE- 11J,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0110,DISTRICT RESULTS,SANGRE DECRISTO RE-22J,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0110,SANGRE DE CRISTO UNDIVIDED HIGH SCH,SANGRE DECRISTO RE-22J,7630,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0120,COLORADO'S FINEST ALTERNATIVE HIGH,ENGLEWOOD 1,0206,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0120,DISTRICT RESULTS,ENGLEWOOD 1,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0120,ENGLEWOOD HIGH SCHOOL,ENGLEWOOD 1,2746,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0123,DISTRICT RESULTS,SHERIDAN 2,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0123,SHERIDAN HIGH SCHOOL,SHERIDAN 2,7842,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0130,CHEROKEE TRAIL HIGH SCHOOL,CHERRY CREEK 5,1551,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0130,CHERRY CREEK HIGH SCHOOL,CHERRY CREEK 5,1570,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0130,DISTRICT RESULTS,CHERRY CREEK 5,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0130,EAGLECREST HIGH SCHOOL,CHERRY CREEK 5,2357,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0130,GRANDVIEW HIGH SCHOOL,CHERRY CREEK 5,3589,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0130,OVERLAND HIGH SCHOOL,CHERRY CREEK 5,6625,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0130,SMOKY HILL HIGH SCHOOL,CHERRY CREEK 5,8020,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0140,ARAPAHOE HIGH SCHOOL,LITTLETON 6,0298,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0140,DISTRICT RESULTS,LITTLETON 6,0000,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0140,HERITAGE HIGH SCHOOL,LITTLETON 6,3930,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0140,LITTLETON HIGH SCHOOL,LITTLETON 6,5224,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0170,DEER TRAIL JUNIOR-SENIOR HIGH SCHOO,DEER TRAIL 26-J,2140,,,,,,,,,,,,,,,,,,,,,,,,,,
0170,DISTRICT RESULTS,DEER TRAIL 26-J,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0180,APS ONLINE SCHOOL,ADAMS-ARAPAHOE 28J,0219,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,AURORA CENTRAL HIGH SCHOOL,ADAMS-ARAPAHOE 28J,1458,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,DISTRICT RESULTS,ADAMS-ARAPAHOE 28J,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,GATEWAY HIGH SCHOOL,ADAMS-ARAPAHOE 28J,3354,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,HINKLEY HIGH SCHOOL,ADAMS-ARAPAHOE 28J,4024,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,LOTUS SCHOOL FOR EXCELLENCE,ADAMS-ARAPAHOE 28J,5298,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,NEW AMERICA SCHOOL,ADAMS-ARAPAHOE 28J,6219,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,RANGEVIEW HIGH SCHOOL,ADAMS-ARAPAHOE 28J,7250,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0180,WILLIAM SMITH HIGH SCHOOL,ADAMS-ARAPAHOE 28J,8356,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0190,BYERS JUNIOR-SENIOR HIGH SCHOOL,BYERS 32J,1176,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0190,DISTRICT RESULTS,BYERS 32J,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0220,DISTRICT RESULTS,ARCHULETA COUNTY 50JT,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0220,PAGOSA SPRINGS HIGH SCHOOL,ARCHULETA COUNTY 50JT,6658,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0230,DISTRICT RESULTS,WALSH RE-I,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,WALSH HIGH SCHOOL,WALSH RE-I,9226,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,DISTRICT RESULTS,PRITCHETT RE-3,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0240,PRITCHETT HIGH SCHOOL,PRITCHETT RE-3,7180,,,,,,,,,,,,,,,,,,,,,,,,,,
0250,DISTRICT RESULTS,SPRINGFIELD RE-4,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0250,SPRINGFIELD HIGH SCHOOL,SPRINGFIELD RE-4,8168,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0260,DISTRICT RESULTS,VILAS RE-5,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0260,V.I.L.A.S. ONLINE SCHOOL,VILAS RE-5,9085,,,,,,,,,,,,,,,,,,,,,,,,,,
0260,VILAS UNDIVIDED HIGH SCHOOL,VILAS RE-5,9100,,,,,,,,,,,,,,,,,,,,,,,,,,
0270,CAMPO UNDIVIDED HIGH SCHOOL,CAMPO RE-6,1252,,,,,,,,,,,,,,,,,,,,,,,,,,
0270,DISTRICT RESULTS,CAMPO RE-6,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0290,DISTRICT RESULTS,LAS ANIMAS RE-1,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0290,LAS ANIMAS HIGH SCHOOL,LAS ANIMAS RE-1,4990,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0310,DISTRICT RESULTS,MCCLAVE RE-2,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0310,MC CLAVE UNDIVIDED HIGH SCHOOL,MCCLAVE RE-2,5670,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,ADULT EDUCATION/LINCOLN CENTER,ST VRAIN VALLEY RE-1J,6499,,,,,,,,,,,,,,,,,,,,,,,,,,
0470,DISTRICT RESULTS,ST VRAIN VALLEY RE-1J,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,ERIE HIGH SCHOOL,ST VRAIN VALLEY RE-1J,2761,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,FREDERICK SENIOR HIGH SCHOOL,ST VRAIN VALLEY RE-1J,3196,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,LONGMONT HIGH SCHOOL,ST VRAIN VALLEY RE-1J,5282,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,LYONS MIDDLE/SENIOR HIGH SCHOOL,ST VRAIN VALLEY RE-1J,5368,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0470,MEAD HIGH SCHOOL,ST VRAIN VALLEY RE-1J,5722,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,NIWOT HIGH SCHOOL,ST VRAIN VALLEY RE-1J,6276,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0470,OLDE COLUMBINE HIGH SCHOOL,ST VRAIN VALLEY RE-1J,6498,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,SILVER CREEK HIGH SCHOOL,ST VRAIN VALLEY RE-1J,7789,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,SKYLINE HIGH SCHOOL,ST VRAIN VALLEY RE-1J,7954,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0470,ST. VRAIN GLOBAL ONLINE ACADEMY,ST VRAIN VALLEY RE-1J,7839,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0480,ARAPAHOE RIDGE HIGH SCHOOL,BOULDER VALLEY RE-2,0125,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0480,BOULDER HIGH SCHOOL,BOULDER VALLEY RE-2,0924,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0480,BOULDER PREP CHARTER HIGH SCHOOL,BOULDER VALLEY RE-2,0934,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0480,BOULDER UNIVERSAL,BOULDER VALLEY RE-2,0930,,,,,,,,,,,,,,,,,,,,,,,,,,
0480,BROOMFIELD HIGH SCHOOL,BOULDER VALLEY RE-2,1070,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0480,CENTAURUS HIGH SCHOOL,BOULDER VALLEY RE-2,1380,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0480,DISTRICT RESULTS,BOULDER VALLEY RE-2,0000,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0480,FAIRVIEW HIGH SCHOOL,BOULDER VALLEY RE-2,2892,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
0480,HALCYON SCHOOL (SPECIAL EDUCATION),BOULDER VALLEY RE-2,3499,,,,,,,,,,,,,,,,,,,,,,,,,,
0480,JUSTICE HIGH CHARTER SCHOOL,BOULDER VALLEY RE-2,4496,,,,,,,,,,,,,,,,,,,,,,,,,,
0480,MONARCH HIGH SCHOOL,BOULDER VALLEY RE-2,5999,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0480,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,BOULDER VALLEY RE-2,6212,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0480,NEW VISTA HIGH SCHOOL,BOULDER VALLEY RE-2,6195,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0480,PEAK TO PEAK CHARTER SCHOOL,BOULDER VALLEY RE-2,6816,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
0490,BUENA VISTA HIGH SCHOOL,BUENA VISTA R-31,1130,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0490,BUENA VISTA ONLINE ACADEMY,BUENA VISTA R-31,1154,,,,,,,,,,,,,,,,,,,,,,,,,,
0490,CHAFFEE COUNTY HIGH SCHOOL,BUENA VISTA R-31,1508,,,,,,,,,,,,,,,,,,,,,,,,,,
0490,DISTRICT RESULTS,BUENA VISTA R-31,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0500,DISTRICT RESULTS,SALIDA R-32-J,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0500,HORIZONS EXPLORATORY ACADEMY,SALIDA R-32-J,4085,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,SALIDA HIGH SCHOOL,SALIDA R-32-J,7568,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0510,DISTRICT RESULTS,KIT CARSON RE-1,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,KIT CARSON JUNIOR-SENIOR HIGH SCHOO,KIT CARSON RE-1,4742,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,CHEYENNE WELLS HIGH SCHOOL,CHEYENNE COUNTY RE-5,1612,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0520,DISTRICT RESULTS,CHEYENNE COUNTY RE-5,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0540,CLEAR CREEK HIGH SCHOOL,CLEAR CREEK RE-1,4216,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0540,DISTRICT RESULTS,CLEAR CREEK RE-1,0000,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0550,CENTAURI HIGH SCHOOL,NORTH CONEJOS,1378,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0550,DISTRICT RESULTS,NORTH CONEJOS,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0550,LA JARA SECOND CHANCE SCHOOL,NORTH CONEJOS,4837,,,,,,,,,,,,,,,,,,,,,,,,,,
0560,DISTRICT RESULTS,SANFORD 6-J,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0560,SANFORD JUNIOR/SENIOR HIGH SCHOOL,SANFORD 6-J,7616,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,ANTONITO HIGH SCHOOL,SOUTH CONEJOS RE-10,0252,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,DISTRICT RESULTS,SOUTH CONEJOS RE-10,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0640,CENTENNIAL HIGH SCHOOL,CENTENNIAL R-1,1398,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0640,DISTRICT RESULTS,CENTENNIAL R-1,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0740,DISTRICT RESULTS,SIERRA GRANDE R-30,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0740,SIERRA GRANDE SENIOR HIGH SCHOOL,SIERRA GRANDE R-30,7880,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0770,CROWLEY COUNTY HIGH SCHOOL,CROWLEY COUNTY RE-1J,2058,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0770,DISTRICT RESULTS,CROWLEY COUNTY RE-1J,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0860,CUSTER COUNTY HIGH SCHOOL,CUSTER COUNTY C-1,2092,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0860,DISTRICT RESULTS,CUSTER COUNTY C-1,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,CEDAREDGE HIGH SCHOOL,DELTA COUNTY 50J,1372,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,DELTA COUNTY OPPORTUNITY SCHOOL,DELTA COUNTY 50J,2155,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,DELTA COUNTY VIRTUAL ACADEMY,DELTA COUNTY 50J,2293,,,,,,,,,,,,,,,,,,,,,,,,,,
0870,DELTA HIGH SCHOOL,DELTA COUNTY 50J,2164,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,DELTA VISION SCHOOL,DELTA COUNTY 50J,2166,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,DISTRICT RESULTS,DELTA COUNTY 50J,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,HOTCHKISS HIGH SCHOOL,DELTA COUNTY 50J,4128,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0870,NORTH FORK VISION SCHOOL,DELTA COUNTY 50J,9146,,,,,,,,,,,,,,,,,,,,,,,,,,
0870,PAONIA HIGH SCHOOL,DELTA COUNTY 50J,6708,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0870,SURFACE CREEK VISION SCHOOL,DELTA COUNTY 50J,8419,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,ABRAHAM LINCOLN HIGH SCHOOL,DENVER COUNTY 1,0010,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,ACADEMY OF URBAN LEARNING,DENVER COUNTY 1,0067,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,BRUCE RANDOLPH SCHOOL,DENVER COUNTY 1,6350,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,COLORADO HIGH SCHOOL,DENVER COUNTY 1,1748,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,CONTEMPORARY LEARNING ACADEMY HIGH,DENVER COUNTY 1,5844,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,DENVER CENTER FOR 21ST LEARNING AT,DENVER COUNTY 1,2188,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,DENVER CENTER FOR INTERNATIONAL STU,DENVER COUNTY 1,2183,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,DENVER SCHOOL OF THE ARTS,DENVER COUNTY 1,2184,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0880,DISTRICT RESULTS,DENVER COUNTY 1,0000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,DSST: STAPLETON,DENVER COUNTY 1,2185,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0880,EAST HIGH SCHOOL,DENVER COUNTY 1,2398,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0880,EMILY GRIFFITH TECHNICAL COLLEGE,DENVER COUNTY 1,2726,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,ESCUELA TLATELOLCO SCHOOL,DENVER COUNTY 1,2789,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,FLORENCE CRITTENTON HIGH SCHOOL,DENVER COUNTY 1,3000,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,FRED N THOMAS CAREER EDUCATION CENT,DENVER COUNTY 1,1319,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,GEORGE WASHINGTON HIGH SCHOOL,DENVER COUNTY 1,3378,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,JOHN F KENNEDY HIGH SCHOOL,DENVER COUNTY 1,4444,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,JUSTICE HIGH SCHOOL DENVER,DENVER COUNTY 1,4494,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,KIPP DENVER COLLEGIATE HIGH SCHOOL,DENVER COUNTY 1,4730,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,LIFE SKILLS CENTER OF DENVER,DENVER COUNTY 1,5129,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,MANUAL HIGH SCHOOL,DENVER COUNTY 1,5448,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,MARTIN LUTHER KING JR. EARLY COLLEG,DENVER COUNTY 1,5605,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,MONTBELLO HIGH SCHOOL,DENVER COUNTY 1,5995,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,NORTH HIGH SCHOOL,DENVER COUNTY 1,6314,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,ONLINE HIGH SCHOOL,DENVER COUNTY 1,6509,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0880,PREP ASSESSMENT CENTER,DENVER COUNTY 1,7163,,,,,,,,,,,,,,,,,,,,,,,,,,
0880,RIDGE VIEW ACADEMY CHARTER SCHOOL,DENVER COUNTY 1,0040,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,SOUTH HIGH SCHOOL,DENVER COUNTY 1,8086,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,SOUTHWEST EARLY COLLEGE CHARTER SCH,DENVER COUNTY 1,8132,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,SUMMIT ACADEMY,DENVER COUNTY 1,8145,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,THOMAS JEFFERSON HIGH SCHOOL,DENVER COUNTY 1,8822,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,VENTURE PREP,DENVER COUNTY 1,2755,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,VISTA ACADEMY,DENVER COUNTY 1,8995,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0880,WEST HIGH SCHOOL,DENVER COUNTY 1,9408,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0890,DISTRICT RESULTS,DOLORES COUNTY RE-2J,0000,,,,,,,,,,,,,,,,,,,,,,,,,,
0890,DOVE CREEK HIGH SCHOOL,DOLORES COUNTY RE-2J,2216,,,,,,,,,,,,,,,,,,,,,,,,,,
0900,CASTLE VIEW HIGH SCHOOL,DOUGLAS COUNTY RE-1,1367,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0900,CHAPARRAL HIGH SCHOOL,DOUGLAS COUNTY RE-1,1503,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0900,DANIEL C OAKES HIGH SCHOOLCASTLE ROCK,DOUGLAS COUNTY RE-1,0201,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0900,DISTRICT RESULTS,DOUGLAS COUNTY RE-1,0000,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,DOUGLAS COUNTY HIGH SCHOOL,DOUGLAS COUNTY RE-1,2230,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,EAGLE ACADEMY,DOUGLAS COUNTY RE-1,2338,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0900,EDCSD: COLORADO CYBER SCHOOL,DOUGLAS COUNTY RE-1,5405,,,,,,,,,,,,,,,,,,,,,,,,,,
0900,HIGHLANDS RANCH HIGH SCHOOL,DOUGLAS COUNTY RE-1,3980,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,HOPE ON-LINE,DOUGLAS COUNTY RE-1,3995,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0900,LEGEND HIGH SCHOOL,DOUGLAS COUNTY RE-1,4271,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,MOUNTAIN VISTA HIGH SCHOOL,DOUGLAS COUNTY RE-1,6165,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,PONDEROSA HIGH SCHOOL,DOUGLAS COUNTY RE-1,7118,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,ROCK CANYON HIGH SCHOOL,DOUGLAS COUNTY RE-1,7435,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0900,THUNDERRIDGE HIGH SCHOOL,DOUGLAS COUNTY RE-1,8847,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,
0910,BATTLE MOUNTAIN HIGH SCHOOL,EAGLE COUNTY RE-50J,0604,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0910,DISTRICT RESULTS,EAGLE COUNTY RE-50J,0000,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0910,EAGLE VALLEY HIGH SCHOOL,EAGLE COUNTY RE-50J,2350,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0910,NEW AMERICA CHARTER SCHOOL,EAGLE COUNTY RE-50J,6238,,,,,,,,,,,,,,,,,,,,,,,,,,
0910,RED CANYON HIGH SCHOOL,EAGLE COUNTY RE-50J,0205,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
0910,"VAIL SKI AND SNOWBOARD ACADEMY (USSA),",EAGLE COUNTY RE-50J,9061,,,,,,,,,,,,,,,,,,,,,,,,,,
0910,WORLD ACADEMY,EAGLE COUNTY RE-50J,9701,,,,,,,,,,,,,,,,,,,,,,,,,,
0920,DISTRICT RESULTS,ELIZABETH C1,0000,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,
