Organization Code,School Code,Phone,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,,Developed: 11-5-12
0020,2576,7209725300,CHERRY DRIVE ELEMENTARY SCHOOL,11500 CHERRY DRIVE,THORNTON,CO,80233,,
0020,2578,7209725620,SKYVIEW ELEMENTARY SCHOOL,5021 EAST 123RD AVENUE,THORNTON,CO,80241,,
0020,2580,7209725440,HUNTERS GLEN ELEMENTARY SCHOOL,13222 CORONA STREET,THORNTON,CO,80241,,
0020,2582,7209725600,ROCKY MOUNTAIN ELEMENTARY SCHOOL,3350 WEST 99TH AVENUE,WESTMINSTER,CO,80030,,
0020,2584,7209725580,RIVERDALE ELEMENTARY SCHOOL,10724 ELM DRIVE,THORNTON,CO,80233,,
0020,2918,7209725360,FEDERAL HEIGHTS ELEMENTARY SCHOOL,2500 W 96TH AVENUE,DENVER,CO,80221,,
0020,3439,7202484210,GLOBAL VILLAGE ACADEMY,555 WEST 112TH AVENUE,NORTHGLENN,CO,80234,,
0020,4000,7209725380,HILLCREST ELEMENTARY SCHOOL,10335 CROKE DRIVE,NORTHGLENN,CO,80221,,
0020,4108,7209724400,HORIZON HIGH SCHOOL,5321 EAST 136TH AVENUE,BRIGHTON,CO,80601,,
0020,4172,7209725400,HULSTROM OPTIONS K-8 SCHOOL,11551 WYCO DRIVE,NORTHGLENN,CO,80233,,
0020,4187,7209725000,SILVER HILLS MIDDLE SCHOOL,12400 HURON STREET,NORTHGLENN,CO,80234,,
0020,5043,7209726700,LEGACY HIGH SCHOOL,2701 WEST 136TH STREET,BROOMFIELD,CO,80020,,
0020,5058,7209725460,LEROY DRIVE ELEMENTARY SCHOOL,1451 EAST LEROY DRIVE,NORTHGLENN,CO,80233,,
0020,5418,7209725480,MALLEY DRIVE ELEMENTARY SCHOOL,1300 EAST MALLEY DRIVE,NORTHGLENN,CO,80233,,
0020,5706,7209725500,MC ELWAIN ELEMENTARY SCHOOL,1020 DAWSON DRIVE,THORNTON,CO,80229,,
0020,5814,7209725160,THORNTON MIDDLE SCHOOL,9451 HOFFMAN WAY,THORNTON,CO,80229,,
0020,5816,7209724800,THORNTON HIGH SCHOOL,9351 WASHINGTON STREET,THORNTON,CO,80229,,
0020,6060,7209726300,MOUNTAIN RANGE HIGH SCHOOL,12500 HURON STREET,WESTMINSTER,CO,80234,,
0020,6150,7209725520,MOUNTAIN VIEW ELEMENTARY SCHOOL,12401 PERRY STREET,BROOMFIELD,CO,80020,,
0020,6342,7209725040,SHADOW RIDGE MIDDLE SCHOOL,12551 HOLLY STREET,THORNTON,CO,80602,,
0020,6355,7209725540,NORTH MOR ELEMENTARY SCHOOL,9580 DAMON DRIVE,NORTHGLENN,CO,80221,,
0020,6376,7209725560,NORTH STAR ELEMENTARY SCHOOL,8740 NORTH STAR DRIVE,DENVER,CO,80221,,
0020,6398,7209725080,NORTHGLENN MIDDLE SCHOOL,1123 MURIEL DRIVE,NORTHGLENN,CO,80233,,
0020,6402,7209724600,NORTHGLENN HIGH SCHOOL,601 WEST 100TH PLACE,NORTHGLENN,CO,80221,,
0020,6802,7204206592,PROSPECT RIDGE ACADEMY,550 EAST THORNTON PKWY,THORNTON,CO,80229,,
0020,6830,7209725120,NIVER CREEK MIDDLE SCHOOL,9450 PECOS STREET,DENVER,CO,80221,,
0020,7155,7209728780,PRAIRIE HILLS ELEMENTARY SCHOOL,13801 GARFIELD PLACE,THORNTON,CO,80602,,
0020,7795,7209723941,SILVER CREEK ELEMENTARY,15101 FILLMORE STRE,THORNTON,CO,80602,,
0020,8211,7209723620,THE STUDIO SCHOOL,10604 GRANT DRIVE,NORTHGLENN,CO,80233,,
0020,8225,7209722340,STELLAR ELEMENTARY SCHOOL,3901 EAST 124TH AVENUE,THORNTON,CO,80241,,
0020,8275,7209724000,STEM SCHOOL,11700 IRMA DRIVE,NORTHGLENN,CO,80233,,
0020,8361,7209725420,STUKEY ELEMENTARY SCHOOL,11080 GRANT DRIVE,NORTHGLENN,CO,80233,,
0020,8842,7209725660,THORNTON ELEMENTARY SCHOOL,900 EPPINGER BOULEVARD,THORNTON,CO,80229,,
0020,9431,3034250967,WESTGATE CHARTER,11700 IRMA DRIVE,NORTHGLENN,CO,80233,,
0020,9444,7209725200,WESTLAKE MIDDLE SCHOOL,2800 WEST 135TH AVENUE,BROOMFIELD,CO,80020,,
0020,9494,7209725680,WESTVIEW ELEMENTARY SCHOOL,1300 ROSEANNA DRIVE,NORTHGLENN,CO,80234,,
0020,9682,7209725700,WOODGLEN ELEMENTARY SCHOOL,11717 MADISON STREET,THORNTON,CO,80233,,
0030,0020,3032895881,ADAMS CITY MIDDLE SCHOOL,4451 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,,
0030,0022,3032892983,LESTER R ARNOLD HIGH SCHOOL,6500 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,,
0030,0024,3032893111,ADAMS CITY HIGH SCHOOL,7200 QUEBEC PARKWAY,COMMERCE CITY,CO,80022,,
0030,0124,3038535000,STARS EARLY LEARNING CENTER,5650 BOWEN COURT,COMMERCE CITY,CO,80022,,
0030,0186,3032886865,ALSUP ELEMENTARY SCHOOL,7101 BIRCH STREET,COMMERCE CITY,CO,80022,,
0030,1426,3032870327,CENTRAL ELEMENTARY SCHOOL,6450 HOLLY STREET,COMMERCE CITY,CO,80022,,
0030,2308,3032870189,DUPONT ELEMENTARY SCHOOL,7970 KIMBERLY STREET,COMMERCE CITY,CO,80022,,
0030,4516,3032870261,KEARNEY MIDDLE SCHOOL,6160 KEARNEY STREET,COMMERCE CITY,CO,80022,,
0030,4536,3032886633,KEMP ELEMENTARY SCHOOL,6775 ONEIDA STREET,COMMERCE CITY,CO,80022,,
0030,5880,3032869472,MILDRED L SANVILLE PRESCHOOL,5941 EAST 64TH AVENUE,COMMERCE CITY,CO,80022,,
0030,5982,3032870307,MONACO ELEMENTARY SCHOOL,7631 MONACO BOULEVARD,COMMERCE CITY,CO,80022,,
0030,6534,3038535800,HANSON ELEMENTARY SCHOOL,7133 EAST 73RD AVENUE,COMMERCE CITY,CO,80022,,
0030,7500,3032870163,ROSE HILL ELEMENTARY SCHOOL,6900 EAST 58TH AVENUE,COMMERCE CITY,CO,80022,,
0040,0700,3034680160,BELLE CREEK CHARTER SCHOOL,9290 EAST 107TH AVENUE,HENDERSON,CO,80640,,
0040,1021,3036552850,BRIGHTON HERITAGE ACADEMY,830 BRIDGE STREET,BRIGHTON,CO,80601,,
0040,1022,3036554200,BRIGHTON HIGH SCHOOL,270 SOUTH 8TH AVENUE,BRIGHTON,CO,80601,,
0040,1052,7206853297,BROMLEY EAST CHARTER SCHOOL,356 LONGSPUR DRIVE,BRIGHTON,CO,80601,,
0040,2399,3033454380,EAGLE RIDGE ACADEMY,3551 SOUTHERN STREET,BRIGHTON,CO,80601,,
0040,2945,3036599519,FOUNDATIONS ACADEMY,340 SOUTH 45TH AVENUE,BRIGHTON,CO,80601,,
0040,3900,3036552700,HENDERSON ELEMENTARY SCHOOL,12301 EAST 124TH AVENUE,HENDERSON,CO,80640,,
0040,4950,3032872901,LANDMARK ACADEMY AT REUNION,10566 MEMPHIS STREET,COMMERCE CITY,CO,80022,,
0040,5615,7206857500,MARY E PENNOCK ELEMENTARY SCHOOL,3707 ESTRELLA STREET,BRIGHTON,CO,80601,,
0040,6294,3036552500,NORTH ELEMENTARY SCHOOL,89 NORTH 6TH AVENUE,BRIGHTON,CO,80601,,
0040,6395,3036552550,NORTHEAST ELEMENTARY SCHOOL,1605 LONGSPEAK,BRIGHTON,CO,80601,,
0040,6638,3036554000,OVERLAND TRAIL MIDDLE SCHOOL,455 NORTH 19TH AVENUE,BRIGHTON,CO,80601,,
0040,6702,7206855500,OTHO E STUART MIDDLE SCHOOL,15955 EAST 101ST WAY,COMMERCE CITY,CO,80022,,
0040,7129,3036552900,PRAIRIE VIEW HIGH SCHOOL,12909 E 120TH AVE,HENDERSON,CO,80640,,
0040,7131,7206855400,PRAIRIE VIEW MIDDLE SCHOOL,12915 EAST 120TH AVENUE,HENDERSON,CO,80640,,
0040,7714,7206857550,SECOND CREEK ELEMENTARY SCHOOL,9950 LAREDO DRIVE,COMMERCE CITY,CO,80022,,
0040,7725,7206855490,SD 27J PRESCHOOL AT THE BRIGHTON LRC,1850 EGBERT SUITE G20,BRIGHTON,CO,80601,,
0040,8032,3036552750,JOHN W THIMMIG ELEMENTARY SCHOOL,11453 OSWEGO STREET,HENDERSON,CO,80640,,
0040,8060,3036552600,SOUTH ELEMENTARY SCHOOL,305 SOUTH 5TH AVENUE,BRIGHTON,CO,80601,,
0040,8130,3038662680,SOUTHEAST ELEMENTARY SCHOOL,1595 SOUTHERN STREET,BRIGHTON,CO,80601,,
0040,8820,7206855350,TURNBERRY ELEMENTARY,13069 EAST 106TH PLACE,COMMERCE CITY,CO,80022,,
0040,9230,3036554050,VIKAN MIDDLE SCHOOL,879 JESSUP STREET,BRIGHTON,CO,80601,,
0040,9426,7206855300,WEST RIDGE ELEMENTARY,13102 MONACO STREET,THORNTON,CO,80602,,
0050,0763,3036443234,BENNETT PRESCHOOL,805 WASHINGTON WAY,BENNETT,CO,80102,,
0050,0770,3036443234,BENNETT ELEMENTARY SCHOOL,462 8TH STREET,BENNETT,CO,80102,,
0050,0774,3036443234,BENNETT MIDDLE SCHOOL,455 8TH STREET,BENNETT,CO,80102,,
0050,0775,3036443234,BENNETT HIGH SCHOOL,610 7TH STREET,BENNETT,CO,80102,,
0050,1889,3036445180,CORRIDOR COMMUNITY ACADEMY,420 7TH STREET,BENNETT,CO,80102,,
0060,7133,3036226328,PRAIRIE CREEKS CHARTER SCHOOL,1983 MONROE STREET,STRASBURG,CO,80136,,
0060,8328,3036229211,STRASBURG ELEMENTARY SCHOOL,56729 EAST COLORADO AVENUE,STRASBURG,CO,80136,,
0060,8332,3036229211,HEMPHILL MIDDLE SCHOOL,56729 EAST COLORADO AVENUE,STRASBURG,CO,80136,,
0060,8334,3036229211,STRASBURG HIGH SCHOOL,56729 EAST COLORADO AVENUE,STRASBURG,CO,80136,,
0070,1622,3034281884,CLARA E. METZ ELEMENTARY SCHOOL,2341 SHERRELWOOD DRIVE,DENVER,CO,80221,,
0070,2035,3034281882,CROWN POINTE CHARTER ACADEMY,2900 WEST 86TH AVENUE,WESTMINSTER,CO,80031,,
0070,2876,3034281405,FAIRVIEW ELEMENTARY SCHOOL,7826 FAIRVIEW DRIVE,DENVER,CO,80221,,
0070,3144,3034281330,FRANCIS M. DAY ELEMENTARY SCHOOL,1740 JORDAN DRIVE,DENVER,CO,80221,,
0070,3649,3034281560,GREGORY HILL PRESCHOOL,8030 IRVING STREET,WESTMINSTER,CO,80030,,
0070,3792,3034281721,HARRIS PARK ELEMENTARY SCHOOL,4300 WEST 75TH AVENUE,WESTMINSTER,CO,80030,,
0070,3931,3034282600,HIDDEN LAKE HIGH SCHOOL,7300 LOWELL BOULEVARD,WESTMINSTER,CO,80030,,
0070,4465,3034281121,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,3475 WEST 67TH AVENUE,DENVER,CO,80221,,
0070,5388,3034288583,M. SCOTT CARPENTER MIDDLE SCHOOL,7001 LIPAN STREET,DENVER,CO,80221,,
0070,5834,3034282891,MESA ELEMENTARY SCHOOL,9100 LOWELL BOULEVARD,WESTMINSTER,CO,80030,,
0070,7305,3034289577,IVER C. RANUM MIDDLE SCHOOL,2401 WEST 80TH AVENUE,DENVER,CO,80221,,
0070,7810,3034282161,FLYNN ELEMENTARY SCHOOL,8731 LOWELL BOULEVARD,WESTMINSTER,CO,80030,,
0070,7812,3034289533,SHAW HEIGHTS MIDDLE SCHOOL,8780 CIRCLE DRIVE,WESTMINSTER,CO,80030,,
0070,7860,3034285353,SHERRELWOOD ELEMENTARY SCHOOL,8095 KALAMATH DRIVE,DENVER,CO,80221,,
0070,7952,3034282300,SKYLINE VISTA ELEMENTARY SCHOOL,7395 ZUNI STREET,DENVER,CO,80221,,
0070,8406,3034268907,SUNSET RIDGE ELEMENTARY SCHOOL,9451 HOOKER STREET,WESTMINSTER,CO,80030,,
0070,8798,3034294090,TENNYSON KNOLLS ELEMENTARY SCHOOL,6330 TENNYSON STREET,ARVADA,CO,80003,,
0070,9462,3034282494,WESTMINSTER ELEMENTARY SCHOOL,7482 IRVING STREET,WESTMINSTER,CO,80030,,
0070,9466,3034289541,WESTMINSTER HIGH SCHOOL,4276 WEST 68TH AVENUE,WESTMINSTER,CO,80030,,
0100,0114,7195871650,ORTEGA MIDDLE SCHOOL,401 VICTORIA AVENUE,ALAMOSA,CO,81101,,
0100,0115,7195871600,ALAMOSA ELEMENTARY SCHOOL,1709 WEST 10TH STREET,ALAMOSA,CO,81101,,
0100,0118,7195876000,ALAMOSA HIGH SCHOOL,805 CRAFT DRIVE,ALAMOSA,CO,81101,,
0100,0368,7199372112,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,2431 MAIN STREET,ALAMOSA,CO,81101,,
0110,7626,7193782321,SANGRE DE CRISTO ELEMENTARY SCHOOL,11430 2ND AVENUE,HOOPER,CO,81136,,
0110,7630,7193782321,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,5401 TERRY STREET,MOSCA,CO,81146,,
0120,0206,3039345786,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,2323 WEST BAKER,ENGLEWOOD,CO,80110,,
0120,1514,3037612433,CHARLES HAY WORLD SCHOOL,3195 SOUTH LAFAYETTE STREET,ENGLEWOOD,CO,80113,,
0120,1556,3037612102,CHERRELYN ELEMENTARY SCHOOL,4500 SOUTH LINCOLN STREET,ENGLEWOOD,CO,80113,,
0120,1652,3037817831,CLAYTON ELEMENTARY SCHOOL,4600 SOUTH FOX STREET,ENGLEWOOD,CO,80110,,
0120,2746,3038062266,ENGLEWOOD HIGH SCHOOL,3800 SOUTH LOGAN STREET,ENGLEWOOD,CO,80113,,
0120,2750,3038062266,ENGLEWOOD LEADERSHIP ACADEMY,3800 S. LOGAN,ENGLEWOOD,CO,80113,,
0120,2752,3037817817,ENGLEWOOD MIDDLE SCHOOL,300 WEST CHENANGO,ENGLEWOOD,CO,80110,,
0120,5318,3037817585,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,700 W. MANSFIELD,ENGLEWOOD,CO,80110,,
0120,9620,3037611496,WM E BISHOP ELEMENTARY SCHOOL,3100 SOUTH ELATI STREET,ENGLEWOOD,CO,80110,,
0123,3054,7208336989,SHERIDAN ELEMENTARY,3700 SOUTH KNOX COURT,ENGLEWOOD,CO,80150,,
0123,7837,7208336988,SHERIDAN MIDDLE SCHOOL,4107 SOUTH FEDERAL BOULEVARD,ENGLEWOOD,CO,80150,,
0123,7842,7208336987,SHERIDAN HIGH SCHOOL,3201 WEST OXFORD AVENUE,DENVER,CO,80236,,
0123,7843,7208336991,EARLY CHILDHOOD EDUCATION CENTER,4000 SOUTH LOWELL BOULEVARD,ENGLEWOOD,CO,80150,,
0130,0016,7208868700,FOX HOLLOW ELEMENTARY SCHOOL,6363 SOUTH WACO STREET,AURORA,CO,80116,,
0130,0018,7208862400,LIBERTY MIDDLE SCHOOL,21500 EAST DRY CREEK ROAD,AURORA,CO,80016,,
0130,0141,7208864711,SKY VISTA MIDDLE SCHOOL,4500 S HIMALAYA STREET,AURORA,CO,80015,,
0130,0242,7208863300,ANTELOPE RIDGE ELEMENTARY SCHOOL,5455 SOUTH TEMPE STREET,AURORA,CO,80015,,
0130,0243,7208863900,COYOTE HILLS ELEMENTARY SCHOOL,24605 E DAVIES WAY,AURORA,CO,80016,,
0130,0348,7208862800,ARROWHEAD ELEMENTARY SCHOOL,19100 EAST BATES AVENUE,AURORA,CO,80013,,
0130,0442,7208863700,ASPEN CROSSING ELEMENTARY SCHOOL,4655 S HIMALAYA STREET,CENTENNIAL,CO,80015,,
0130,0714,7205543100,BELLEVIEW ELEMENTARY SCHOOL,4851 SOUTH DAYTON STREET,GREENWOOD VILLAGE,CO,80111,,
0130,1155,7208864000,BUFFALO TRAIL ELEMENTARY SCHOOL,24300 EAST PROGRESS DRIVE,AURORA,CO,80016,,
0130,1273,7208863600,CANYON CREEK ELEMENTARY SCHOOL,6070 SOUTH VERSAILLES PARKWAY,AURORA,CO,80015,,
0130,1510,7207472100,CHALLENGE SCHOOL,9659 EAST MISSISSIPPI AVENUE,DENVER,CO,80231,,
0130,1551,7208861900,CHEROKEE TRAIL HIGH SCHOOL,25901 ARAPAHOE PARKWAY,AURORA,CO,80016,,
0130,1566,7205542700,CAMPUS MIDDLE SCHOOL,4785 SOUTH DAYTON STREET,GREENWOOD VILLAGE,CO,80111,,
0130,1568,7205545100,WEST MIDDLE SCHOOL,5151 SOUTH HOLLY,GREENWOOD VILLAGE,CO,80121,,
0130,1570,7205542000,CHERRY CREEK HIGH SCHOOL,9300 EAST UNION AVENUE,GREENWOOD VILLAGE,CO,80111,,
0130,1571,3037798988,CHERRY CREEK CHARTER ACADEMY,6260 SOUTH DAYTON STREET,GREENWOOD VILLAGE,CO,80111,,
0130,1572,7205543600,HIGH PLAINS ELEMENTARY SCHOOL,6100 SOUTH FULTON STREET,GREENWOOD VILLAGE,CO,80111,,
0130,1574,7207472700,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,2400 EAST QUINCY AVENUE,CHERRY HILLS VILLAGE,CO,80110,,
0130,1614,7208868100,CIMARRON ELEMENTARY SCHOOL,17373 EAST LEHIGH PL,AURORA,CO,80013,,
0130,1916,7205543200,COTTONWOOD CREEK ELEMENTARY SCHOOL,11200 EAST ORCHARD AVENUE,ENGLEWOOD,CO,80111,,
0130,1970,7208863500,CREEKSIDE ELEMENTARY SCHOOL,19993 EAST LONG AVENUE,CENTENNIAL,CO,80016,,
0130,2094,7208863000,DAKOTA VALLEY ELEMENTARY SCHOOL,3950 SOUTH KIRK WAY,AURORA,CO,80013,,
0130,2292,7205543300,DRY CREEK ELEMENTARY SCHOOL,7686 EAST HINSDALE AVENUE,ENGLEWOOD,CO,80112,,
0130,2357,7208861000,EAGLECREST HIGH SCHOOL,5100 SOUTH PICADILLY STREET,CENTENNIAL,CO,80015,,
0130,2428,7207472200,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,11777 EAST WESLEY AVENUE,AURORA,CO,80014,,
0130,2897,7208867600,FALCON CREEK MIDDLE SCHOOL,6100 SOUTH GENOA STREET,AURORA,CO,80016,,
0130,3030,7208864700,FOX RIDGE MIDDLE SCHOOL,26301 EAST ARAPAHOE ROAD,AURORA,CO,80016,,
0130,3589,7208866500,GRANDVIEW HIGH SCHOOL,20500 EAST ARAPAHOE ROAD,AURORA,CO,80016,,
0130,3648,7205543400,GREENWOOD ELEMENTARY SCHOOL,5550 SOUTH HOLLY STREET,GREENWOOD VILLAGE,CO,80111,,
0130,3926,7205543500,HERITAGE ELEMENTARY SCHOOL,6867 EAST HERITAGE PLACE SOUTH,CENTENNIAL,CO,80111,,
0130,3988,7207472300,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,11000 EAST EXPOSITION,AURORA,CO,80012,,
0130,4062,7207472500,HOLLY HILLS ELEMENTARY SCHOOL,6161 EAST CORNELL AVENUE,DENVER,CO,80222,,
0130,4078,7205543700,HOMESTEAD ELEMENTARY SCHOOL,7451 SOUTH HOMESTEAD PARKWAY,CENTENNIAL,CO,80112,,
0130,4100,7208866100,HORIZON MIDDLE SCHOOL,3981 SOUTH RESERVOIR ROAD,AURORA,CO,80013,,
0130,4276,7208868200,INDEPENDENCE ELEMENTARY SCHOOL,4700 SOUTH MEMPHIS STREET,AURORA,CO,80015,,
0130,4280,7208868400,INDIAN RIDGE ELEMENTARY SCHOOL,16501 EAST PROGRESS DRIVE,AURORA,CO,80015,,
0130,4975,7208865000,LAREDO MIDDLE SCHOOL,5000 SOUTH LAREDO STREET,AURORA,CO,80015,,
0130,5744,7208868600,MEADOW POINT ELEMENTARY SCHOOL,17901 EAST GRAND AVENUE,AURORA,CO,80015,,
0130,5934,7208868000,MISSION VIEJO ELEMENTARY SCHOOL,3855 SOUTH ALICIA PARKWAY,AURORA,CO,80013,,
0130,6625,7207473700,OVERLAND HIGH SCHOOL,12400 EAST JEWELL AVENUE,AURORA,CO,80012,,
0130,6820,7208863100,PEAKVIEW ELEMENTARY SCHOOL,19451 EAST PROGRESS CIRCLE,CENTENNIAL,CO,80015,,
0130,6955,7208868800,PINE RIDGE ELEMENTARY SCHOOL,6525 S. WHEATLANDS PARKWAY,AURORA,CO,80016,,
0130,7102,7207472600,POLTON COMMUNITY ELEMENTARY SCHOOL,2985 SOUTH OAKLAND STREET,AURORA,CO,80014,,
0130,7116,7207472800,PONDEROSA ELEMENTARY SCHOOL,1885 SOUTH LIMA STREET,AURORA,CO,80012,,
0130,7158,7207473000,PRAIRIE MIDDLE SCHOOL,12600 EAST JEWELL AVENUE,AURORA,CO,80012,,
0130,7277,7208863800,RED HAWK RIDGE ELEMENTARY SCHOOL,16251 E GEDDES AVENUE,CENTENNIAL,CO,80112,,
0130,7476,7208863400,ROLLING HILLS ELEMENTARY SCHOOL,5756 SOUTH BISCAY CIRCLE,AURORA,CO,80015,,
0130,7559,7208866400,SAGEBRUSH ELEMENTARY SCHOOL,14700 EAST TEMPLE PLACE,AURORA,CO,80015,,
0130,8020,7208865300,SMOKY HILL HIGH SCHOOL,16100 EAST SMOKY HILL ROAD,AURORA,CO,80015,,
0130,8380,7208866400,SUMMIT ELEMENTARY SCHOOL,18201 EAST QUINCY AVE,AURORA,CO,80015,,
0130,8394,7208862900,SUNRISE ELEMENTARY SCHOOL,4050 SOUTH GENOA WAY,AURORA,CO,80013,,
0130,8848,7208861500,THUNDER RIDGE MIDDLE SCHOOL,5250 SOUTH PICADILLY STREET,AURORA,CO,80015,,
0130,8850,7208863200,TIMBERLINE ELEMENTARY SCHOOL,5500 SOUTH KILLARNEY STREET,CENTENNIAL,CO,80015,,
0130,8887,7208868500,TRAILS WEST ELEMENTARY SCHOOL,5400 SOUTH WACO STREET,CENTENNIAL,CO,80015,,
0130,9108,7207472000,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,1433 SOUTH OAKLAND STREET,AURORA,CO,80012,,
0130,9200,7205543800,WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,8195 EAST COSTILLA BOULEVARD,CENTENNIAL,CO,80112,,
0130,9624,7205543900,WILLOW CREEK ELEMENTARY SCHOOL,7855 SOUTH WILLOW WAY,CENTENNIAL,CO,80112,,
0140,0298,3033476000,ARAPAHOE HIGH SCHOOL,2201 EAST DRY CREEK ROAD,CENTENNIAL,CO,80122,,
0140,0752,3033474500,FRANKLIN ELEMENTARY SCHOOL,1603 EAST EUCLID AVE,CENTENNIAL,CO,80121,,
0140,1382,3033474425,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,3306 WEST BERRY AVENUE,LITTLETON,CO,80123,,
0140,2382,3033474450,EAST ELEMENTARY SCHOOL,5933 SOUTH FAIRFIELD STREET,LITTLETON,CO,80120,,
0140,2804,3033477800,EUCLID MIDDLE SCHOOL,777 WEST EUCLID AVENUE,LITTLETON,CO,80120,,
0140,2926,3033474475,FIELD ELEMENTARY SCHOOL,5402 SOUTH SHERMAN WAY,LITTLETON,CO,80121,,
0140,3472,3033477850,GODDARD MIDDLE SCHOOL,3800 WEST BERRY AVENUE,LITTLETON,CO,80123,,
0140,3930,3033477600,HERITAGE HIGH SCHOOL,1401 WEST GEDDES AVENUE,LITTLETON,CO,80120,,
0140,3950,3033474525,HIGHLAND ELEMENTARY SCHOOL,711 EAST EUCLID AVENUE,CENTENNIAL,CO,80121,,
