DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,% FREE AND REDUCED,,,Developed: 11-5-12
0040,BRIGHTON 27J,6294,NORTH ELEMENTARY SCHOOL,80.00%,,,
0040,BRIGHTON 27J,6395,NORTHEAST ELEMENTARY SCHOOL,64.74%,,,
0040,BRIGHTON 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,49.16%,,,
0040,BRIGHTON 27J,6702,OTHO E STUART MIDDLE SCHOOL,36.50%,,,
0040,BRIGHTON 27J,7129,PRAIRIE VIEW HIGH SCHOOL,33.37%,,,
0040,BRIGHTON 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,43.23%,,,
0040,BRIGHTON 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,30.74%,,,
0040,BRIGHTON 27J,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,0.00%,,,
0040,BRIGHTON 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,33.06%,,,
0040,BRIGHTON 27J,8060,SOUTH ELEMENTARY SCHOOL,67.23%,,,
0040,BRIGHTON 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,47.57%,,,
0040,BRIGHTON 27J,8820,TURNBERRY ELEMENTARY,28.29%,,,
0040,BRIGHTON 27J,9230,VIKAN MIDDLE SCHOOL,61.05%,,,
0040,BRIGHTON 27J,9426,WEST RIDGE ELEMENTARY,19.78%,,,
0050,BENNETT 29J,0763,BENNETT PRESCHOOL,0.00%,,,
0050,BENNETT 29J,0770,BENNETT ELEMENTARY SCHOOL,41.22%,,,
0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,34.78%,,,
0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,25.73%,,,
0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,0.93%,,,
0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,12.50%,,,
0060,STRASBURG 31J,8328,STRASBURG ELEMENTARY SCHOOL,31.96%,,,
0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,20.87%,,,
0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,19.69%,,,
0070,WESTMINSTER 50,1622,CLARA E. METZ ELEMENTARY SCHOOL,88.04%,,,
0070,WESTMINSTER 50,2035,CROWN POINTE CHARTER ACADEMY,46.99%,,,
0070,WESTMINSTER 50,2876,FAIRVIEW ELEMENTARY SCHOOL,88.40%,,,
0070,WESTMINSTER 50,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,94.10%,,,
0070,WESTMINSTER 50,3649,GREGORY HILL PRESCHOOL,0.00%,,,
0070,WESTMINSTER 50,3792,HARRIS PARK ELEMENTARY SCHOOL,85.43%,,,
0070,WESTMINSTER 50,3931,HIDDEN LAKE HIGH SCHOOL,73.46%,,,
0070,WESTMINSTER 50,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,87.37%,,,
0070,WESTMINSTER 50,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,91.07%,,,
0070,WESTMINSTER 50,5834,MESA ELEMENTARY SCHOOL,85.57%,,,
0070,WESTMINSTER 50,7305,IVER C. RANUM MIDDLE SCHOOL,88.92%,,,
0070,WESTMINSTER 50,7810,FLYNN ELEMENTARY SCHOOL,74.39%,,,
0070,WESTMINSTER 50,7812,SHAW HEIGHTS MIDDLE SCHOOL,78.76%,,,
0070,WESTMINSTER 50,7860,SHERRELWOOD ELEMENTARY SCHOOL,86.69%,,,
0070,WESTMINSTER 50,7952,SKYLINE VISTA ELEMENTARY SCHOOL,93.24%,,,
0070,WESTMINSTER 50,8406,SUNSET RIDGE ELEMENTARY SCHOOL,83.24%,,,
0070,WESTMINSTER 50,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,84.26%,,,
0070,WESTMINSTER 50,9462,WESTMINSTER ELEMENTARY SCHOOL,88.38%,,,
0070,WESTMINSTER 50,9466,WESTMINSTER HIGH SCHOOL,77.30%,,,
0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,72.29%,,,
0100,ALAMOSA RE-11J,0115,ALAMOSA ELEMENTARY SCHOOL,80.38%,,,
0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,56.84%,,,
0100,ALAMOSA RE-11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,55.07%,,,
0110,SANGRE DE CRISTO RE-22J,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,65.38%,,,
0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,54.89%,,,
0120,ENGLEWOOD 1,0206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,38.81%,,,
0120,ENGLEWOOD 1,1514,CHARLES HAY WORLD SCHOOL,45.79%,,,
0120,ENGLEWOOD 1,1556,CHERRELYN ELEMENTARY SCHOOL,72.97%,,,
0120,ENGLEWOOD 1,1652,CLAYTON ELEMENTARY SCHOOL,71.72%,,,
0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,43.85%,,,
0120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,35.29%,,,
0120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,69.69%,,,
0120,ENGLEWOOD 1,5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,0.00%,,,
0120,ENGLEWOOD 1,9620,WM E BISHOP ELEMENTARY SCHOOL,79.34%,,,
0123,SHERIDAN 2,3054,FORT LOGAN ELEMENTARY SCHOOL,93.20%,,,
0123,SHERIDAN 2,7837,SHERIDAN MIDDLE SCHOOL,88.25%,,,
0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,70.96%,,,
0123,SHERIDAN 2,7843,EARLY CHILDHOOD EDUCATION CENTER,0.00%,,,
0130,CHERRY CREEK 5,0000,NOT IN A SCHOOL,0.00%,,,
0130,CHERRY CREEK 5,0016,FOX HOLLOW ELEMENTARY SCHOOL,10.47%,,,
0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,19.53%,,,
0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,23.10%,,,
0130,CHERRY CREEK 5,0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,14.78%,,,
0130,CHERRY CREEK 5,0243,COYOTE HILLS ELEMENTARY SCHOOL,2.57%,,,
0130,CHERRY CREEK 5,0348,ARROWHEAD ELEMENTARY SCHOOL,33.60%,,,
0130,CHERRY CREEK 5,0442,ASPEN CROSSING ELEMENTARY SCHOOL,13.65%,,,
0130,CHERRY CREEK 5,0714,BELLEVIEW ELEMENTARY SCHOOL,11.70%,,,
0130,CHERRY CREEK 5,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,17.77%,,,
0130,CHERRY CREEK 5,1273,CANYON CREEK ELEMENTARY SCHOOL,19.78%,,,
0130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,3.56%,,,
0130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,15.54%,,,
0130,CHERRY CREEK 5,1566,CAMPUS MIDDLE SCHOOL,12.76%,,,
0130,CHERRY CREEK 5,1568,WEST MIDDLE SCHOOL,14.21%,,,
0130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,8.75%,,,
0130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,0.41%,,,
0130,CHERRY CREEK 5,1572,HIGH PLAINS ELEMENTARY SCHOOL,19.69%,,,
0130,CHERRY CREEK 5,1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,5.70%,,,
0130,CHERRY CREEK 5,1614,CIMARRON ELEMENTARY SCHOOL,52.47%,,,
0130,CHERRY CREEK 5,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,5.16%,,,
0130,CHERRY CREEK 5,1970,CREEKSIDE ELEMENTARY SCHOOL,8.77%,,,
0130,CHERRY CREEK 5,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,18.22%,,,
0130,CHERRY CREEK 5,2292,DRY CREEK ELEMENTARY SCHOOL,13.48%,,,
0130,CHERRY CREEK 5,2357,EAGLECREST HIGH SCHOOL,27.29%,,,
0130,CHERRY CREEK 5,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,68.62%,,,
0130,CHERRY CREEK 5,2897,FALCON CREEK MIDDLE SCHOOL,22.38%,,,
0130,CHERRY CREEK 5,3030,FOX RIDGE MIDDLE SCHOOL,10.39%,,,
0130,CHERRY CREEK 5,3589,GRANDVIEW HIGH SCHOOL,16.90%,,,
0130,CHERRY CREEK 5,3648,GREENWOOD ELEMENTARY SCHOOL,3.56%,,,
0130,CHERRY CREEK 5,3926,HERITAGE ELEMENTARY SCHOOL,9.83%,,,
0130,CHERRY CREEK 5,3988,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,80.13%,,,
0130,CHERRY CREEK 5,4062,HOLLY HILLS ELEMENTARY SCHOOL,78.39%,,,
0130,CHERRY CREEK 5,4078,HOMESTEAD ELEMENTARY SCHOOL,4.66%,,,
0130,CHERRY CREEK 5,4100,HORIZON MIDDLE SCHOOL,45.61%,,,
0130,CHERRY CREEK 5,4276,INDEPENDENCE ELEMENTARY SCHOOL,52.75%,,,
0130,CHERRY CREEK 5,4280,INDIAN RIDGE ELEMENTARY SCHOOL,9.71%,,,
0130,CHERRY CREEK 5,4975,LAREDO MIDDLE SCHOOL,36.48%,,,
0130,CHERRY CREEK 5,5744,MEADOW POINT ELEMENTARY SCHOOL,52.59%,,,
0130,CHERRY CREEK 5,5934,MISSION VIEJO ELEMENTARY SCHOOL,40.42%,,,
0130,CHERRY CREEK 5,6625,OVERLAND HIGH SCHOOL,51.07%,,,
0130,CHERRY CREEK 5,6820,PEAKVIEW ELEMENTARY SCHOOL,20.25%,,,
0130,CHERRY CREEK 5,6955,PINE RIDGE ELEMENTARY SCHOOL,5.98%,,,
0130,CHERRY CREEK 5,7102,POLTON COMMUNITY ELEMENTARY SCHOOL,42.39%,,,
0130,CHERRY CREEK 5,7116,PONDEROSA ELEMENTARY SCHOOL,65.97%,,,
0130,CHERRY CREEK 5,7158,PRAIRIE MIDDLE SCHOOL,70.73%,,,
0130,CHERRY CREEK 5,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,35.72%,,,
0130,CHERRY CREEK 5,7476,ROLLING HILLS ELEMENTARY SCHOOL,6.60%,,,
0130,CHERRY CREEK 5,7559,SAGEBRUSH ELEMENTARY SCHOOL,41.75%,,,
0130,CHERRY CREEK 5,8020,SMOKY HILL HIGH SCHOOL,27.33%,,,
0130,CHERRY CREEK 5,8380,SUMMIT ELEMENTARY SCHOOL,43.36%,,,
0130,CHERRY CREEK 5,8394,SUNRISE ELEMENTARY SCHOOL,44.34%,,,
0130,CHERRY CREEK 5,8848,THUNDER RIDGE MIDDLE SCHOOL,19.37%,,,
0130,CHERRY CREEK 5,8850,TIMBERLINE ELEMENTARY SCHOOL,19.36%,,,
0130,CHERRY CREEK 5,8887,TRAILS WEST ELEMENTARY SCHOOL,25.30%,,,
0130,CHERRY CREEK 5,9108,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,63.09%,,,
0130,CHERRY CREEK 5,9200,WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,15.11%,,,
0130,CHERRY CREEK 5,9624,WILLOW CREEK ELEMENTARY SCHOOL,3.33%,,,
0140,LITTLETON 6,0298,ARAPAHOE HIGH SCHOOL,6.74%,,,
0140,LITTLETON 6,0752,FRANKLIN ELEMENTARY SCHOOL,13.42%,,,
0140,LITTLETON 6,1382,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,45.79%,,,
0140,LITTLETON 6,2382,EAST ELEMENTARY SCHOOL,78.66%,,,
0140,LITTLETON 6,2804,EUCLID MIDDLE SCHOOL,29.14%,,,
0140,LITTLETON 6,2926,FIELD ELEMENTARY SCHOOL,81.61%,,,
0140,LITTLETON 6,3472,GODDARD MIDDLE SCHOOL,40.07%,,,
0140,LITTLETON 6,3930,HERITAGE HIGH SCHOOL,12.83%,,,
0140,LITTLETON 6,3950,HIGHLAND ELEMENTARY SCHOOL,20.65%,,,
0140,LITTLETON 6,4316,NEWTON MIDDLE SCHOOL,16.57%,,,
0140,LITTLETON 6,4447,JOHN WESLEY POWELL MIDDLE SCHOOL,12.79%,,,
0140,LITTLETON 6,5224,LITTLETON HIGH SCHOOL,25.55%,,,
0140,LITTLETON 6,5229,LITTLETON ACADEMY,4.52%,,,
0140,LITTLETON 6,5233,LITTLETON PREP CHARTER SCHOOL,21.55%,,,
0140,LITTLETON 6,5236,LOIS LENSKI ELEMENTARY SCHOOL,6.27%,,,
0140,LITTLETON 6,5572,HOPKINS ELEMENTARY SCHOOL,32.39%,,,
0140,LITTLETON 6,5574,TWAIN ELEMENTARY SCHOOL,17.97%,,,
0140,LITTLETON 6,6292,VILLAGE AT NORTH,0.00%,,,
0140,LITTLETON 6,6814,PEABODY ELEMENTARY SCHOOL,22.90%,,,
0140,LITTLETON 6,7518,RUNYON ELEMENTARY SCHOOL,13.09%,,,
0140,LITTLETON 6,7606,SANDBURG ELEMENTARY SCHOOL,9.22%,,,
0140,LITTLETON 6,8064,MOODY ELEMENTARY SCHOOL,42.28%,,,
0140,LITTLETON 6,9600,WILDER ELEMENTARY SCHOOL,6.25%,,,
0170,DEER TRAIL 26J,2136,DEER TRAIL ELEMENTARY SCHOOL,58.73%,,,
0170,DEER TRAIL 26J,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,39.78%,,,
0180,ADAMS-ARAPAHOE 28J,0000,NOT IN A SCHOOL,0.00%,,,
0180,ADAMS-ARAPAHOE 28J,0213,AXL ACADEMY,59.95%,,,
0180,ADAMS-ARAPAHOE 28J,0214,ALTURA ELEMENTARY SCHOOL,95.24%,,,
0180,ADAMS-ARAPAHOE 28J,0219,APS ONLINE SCHOOL,36.96%,,,
0180,ADAMS-ARAPAHOE 28J,0310,ARKANSAS ELEMENTARY SCHOOL,59.14%,,,
0180,ADAMS-ARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,41.70%,,,
0180,ADAMS-ARAPAHOE 28J,0464,AURORA HILLS MIDDLE SCHOOL,73.95%,,,
0180,ADAMS-ARAPAHOE 28J,0465,AURORA FRONTIER K-8,29.01%,,,
0180,ADAMS-ARAPAHOE 28J,0914,BOSTON K-8 SCHOOL,77.62%,,,
0180,ADAMS-ARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,70.92%,,,
0180,ADAMS-ARAPAHOE 28J,1470,CENTURY ELEMENTARY SCHOOL,72.51%,,,
0180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER K-8,68.86%,,,
0180,ADAMS-ARAPAHOE 28J,1800,COLUMBIA MIDDLE SCHOOL,53.02%,,,
0180,ADAMS-ARAPAHOE 28J,1948,CRAWFORD ELEMENTARY SCHOOL,91.35%,,,
0180,ADAMS-ARAPAHOE 28J,2095,DALTON ELEMENTARY SCHOOL,49.40%,,,
0180,ADAMS-ARAPAHOE 28J,2114,DARTMOUTH ELEMENTARY SCHOOL,56.12%,,,
0180,ADAMS-ARAPAHOE 28J,2384,EAST MIDDLE SCHOOL,81.81%,,,
0180,ADAMS-ARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,94.13%,,,
0180,ADAMS-ARAPAHOE 28J,2951,AURORA PUBLIC SCHOOLS CHILD DEVELOPMENT CENTER,0.00%,,,
0180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,92.83%,,,
0180,ADAMS-ARAPAHOE 28J,2998,FLETCHER PRIMARY SCHOOL,92.84%,,,
0180,ADAMS-ARAPAHOE 28J,3272,FULTON ELEMENTARY SCHOOL,90.11%,,,
0180,ADAMS-ARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,57.36%,,,
0180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,55.79%,,,
0180,ADAMS-ARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,68.74%,,,
0180,ADAMS-ARAPAHOE 28J,4270,IOWA ELEMENTARY SCHOOL,75.16%,,,
0180,ADAMS-ARAPAHOE 28J,4385,JAMAICA CHILD DEVELOPMENT CENTER,0.00%,,,
0180,ADAMS-ARAPAHOE 28J,4426,JEWELL ELEMENTARY SCHOOL,70.66%,,,
0180,ADAMS-ARAPAHOE 28J,4646,KENTON ELEMENTARY SCHOOL,82.78%,,,
0180,ADAMS-ARAPAHOE 28J,4970,LANSING ELEMENTARY SCHOOL,82.02%,,,
0180,ADAMS-ARAPAHOE 28J,4973,LAREDO ELEMENTARY SCHOOL,88.37%,,,
0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,62.52%,,,
0180,ADAMS-ARAPAHOE 28J,5361,LYN KNOLL ELEMENTARY SCHOOL,89.71%,,,
0180,ADAMS-ARAPAHOE 28J,5751,MEADOWOOD CHILD DEVELOPMENT CENTER,0.00%,,,
0180,ADAMS-ARAPAHOE 28J,6068,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,91.59%,,,
0180,ADAMS-ARAPAHOE 28J,6160,MRACHEK MIDDLE SCHOOL,65.12%,,,
0180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,37.94%,,,
0180,ADAMS-ARAPAHOE 28J,6219,NEW AMERICA SCHOOL,63.28%,,,
0180,ADAMS-ARAPAHOE 28J,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY CAMPUS,87.74%,,,
0180,ADAMS-ARAPAHOE 28J,6546,OPTIONS SCHOOL,1.86%,,,
0180,ADAMS-ARAPAHOE 28J,6728,PARIS ELEMENTARY SCHOOL,96.35%,,,
0180,ADAMS-ARAPAHOE 28J,6758,PARK LANE ELEMENTARY SCHOOL,88.36%,,,
