School_Districte,School_Name,PUBLIC_PRIVATE,Schoolnumber,Remediation_at_leastone_pct2010,,"This is 2011 data: created Nov 7, 2012"
WELD COUNTY S/D RE-8,FORT LUPTON HIGH SCHOOL,PUB,3070,67%,,
FORT MORGAN RE-3,FORT MORGAN HIGH SCHOOL,PUB,3078,49%,,
POUDRE R-1,FOSSIL RIDGE HIGH SCHOOL,PUB,3105,18%,,
FOUNTAIN 8,FOUNTAIN-FORT CARSON HIGH SCH,PUB,3110,57%,,
ST VRAIN VALLEY RE 1J,FREDERICK HIGH SCHOOL,PUB,3196,48%,,
ADAMS-ARAPAHOE 28J,GATEWAY HIGH SCHOOL,PUB,3354,61%,,
DENVER COUNTY 1,GEORGE WASHINGTON HIGH SCHOOL,PUB,3378,51%,,
ROARING FORK RE-1,GLENWOOD SPRINGS HIGH SCHOOL,PUB,3468,34%,,
JEFFERSON COUNTY R-1,GOLDEN SENIOR HIGH SCHOOL,PUB,3502,22%,,
MESA COUNTY VALLEY 51,GRAND JUNCTION HIGH SCHOOL,PUB,3570,34%,,
GARFIELD 16,GRAND VALLEY HIGH SCHOOL,PUB,3586,58%,,
CHERRY CREEK 5,GRANDVIEW HIGH SCHOOL,PUB,3589,22%,,
GREELEY 6,GREELEY CENTRAL HIGH SCHOOL,PUB,3610,43%,,
GREELEY 6,GREELEY WEST SR HIGH SCHOOL,PUB,3614,45%,,
JEFFERSON COUNTY R-1,GREEN MOUNTAIN HIGH SCHOOL,PUB,3628,28%,,
GUNNISON WATERSHED RE1J,GUNNISON HIGH SCHOOL,PUB,3694,26%,,
HARRISON 2,HARRISON HIGH SCHOOL,PUB,3806,75%,,
LITTLETON 6,HERITAGE HIGH SCHOOL,PUB,3930,26%,,
AULT-HIGHLAND RE-9,HIGHLAND HIGH SCHOOL,PUB,3962,79%,,
DOUGLAS COUNTY RE 1,HIGHLANDS RANCH HIGH SCHOOL,PUB,3980,24%,,
ADAMS-ARAPAHOE 28J,WILLIAM C HINKLEY HIGH SCHOOL,PUB,4024,61%,,
NORTHGLENN-THORNTON (ADAMS 12 FIVE STAR SCHOOLS),HORIZON HIGH SCHOOL,PUB,4108,38%,,
DELTA COUNTY 50(J),HOTCHKISS HIGH SCHOOL,PUB,4128,35%,,
WESTMINSTER 50,IVER C RANUM HIGH SCHOOL,PUB,4326,48%,,
HARRISON 2,JAMES IRWIN CHARTER HIGH SCH,PUB,4378,7%,,
JEFFERSON COUNTY R-1,JEFFERSON HIGH SCHOOL,PUB,4422,74%,,
DENVER COUNTY 1,JOHN F KENNEDY HIGH SCHOOL,PUB,4444,58%,,
PLATTE VALLEY RE-7,PLATTE VALLEY HIGH SCHOOL,PUB,4670,46%,,
JEFFERSON COUNTY R-1,LAKEWOOD HIGH SCHOOL,PUB,4942,30%,,
LAMAR RE-2,LAMAR HIGH SCHOOL,PUB,4960,46%,,
EAST OTERO R-1,LA JUNTA HIGH SCHOOL,PUB,5015,31%,,
NORTHGLENN-THORNTON (ADAMS 12 FIVE STAR SCHOOLS),LEGACY HIGH SCHOOL,PUB,5043,27%,,
LEWIS-PALMER 38,LEWIS PALMER HIGH SCHOOL,PUB,5100,13%,,
ACADEMY 20,LIBERTY HIGH SCHOOL,PUB,5126,29%,,
LITTLETON 6,LITTLETON HIGH SCHOOL,PUB,5224,34%,,
ST VRAIN VALLEY RE 1J,LONGMONT HIGH SCHOOL,PUB,5282,29%,,
THOMPSON R-2J,LOVELAND HIGH SCHOOL,PUB,5316,22%,,
ST VRAIN VALLEY RE 1J,LYONS MD-SR HIGH SCHOOL,PUB,5368,19%,,
MANITOU SPRINGS 14,MANITOU SPRINGS HIGH SCHOOL,PUB,5468,24%,,
DENVER COUNTY 1,MARTIN L KING JR EARLY COLL HS,PUB,5605,58%,,
NORTHGLENN-THORNTON (ADAMS 12 FIVE STAR SCHOOLS),THORNTON HIGH SCHOOL,PUB,5816,52%,,
WIDEFIELD 3,MESA RIDGE HIGH SCHOOL,PUB,5841,55%,,
EAST GRAND 2,MIDDLE PARK HIGH SCHOOL,PUB,5864,20%,,
COLORADO SPRINGS 11,WILLIAM MITCHELL HIGH SCHOOL,PUB,5948,55%,,
MOFFAT COUNTY RE:NO 1,MOFFAT COUNTY HIGH SCHOOL,PUB,5962,39%,,
DENVER COUNTY 1,MONTBELLO HIGH SCHOOL,PUB,5995,80%,,
BOULDER VALLEY RE 2,MONARCH HIGH SCHOOL,PUB,5999,22%,,
MONTEZUMA-CORTEZ RE-1,MONTEZUMA-CORTEZ HIGH SCHOOL,PUB,6026,59%,,
MONTE VISTA C-8,MONTE VISTA SENIOR HIGH SCHOOL,PUB,6046,46%,,
MONTROSE COUNTY RE-1J,MONTROSE HIGH SCHOOL,PUB,6058,33%,,
NORTHGLENN-THORNTON (ADAMS 12 FIVE STAR SCHOOLS),MOUNTAIN RANGE HIGH SCHOOL,PUB,6060,37%,,
MESA COUNTY VALLEY 51,FRUITA MONUMENT HIGH SCHOOL,PUB,6070,34%,,
THOMPSON R-2J,MOUNTAIN VIEW HIGH SCHOOL,PUB,6163,33%,,
DOUGLAS COUNTY RE 1,MOUNTAIN VISTA HIGH SCHOOL,PUB,6165,15%,,
ST VRAIN VALLEY RE 1J,NIWOT HIGH SCHOOL,PUB,6276,22%,,
DENVER COUNTY 1,NORTH HIGH SCHOOL,PUB,6314,73%,,
GREELEY 6,NORTHRIDGE HIGH SCHOOL,PUB,6364,48%,,
NORTHGLENN-THORNTON (ADAMS 12 FIVE STAR SCHOOLS),NORTHGLENN HIGH SCHOOL,PUB,6402,50%,,
MONTROSE COUNTY RE-1J,OLATHE HIGH SCHOOL,PUB,6494,58%,,
CHERRY CREEK 5,OVERLAND HIGH SCHOOL,PUB,6625,51%,,
ARCHULETA COUNTY 50 JT,PAGOSA SPRINGS HIGH SCHOOL,PUB,6658,52%,,
MESA COUNTY VALLEY 51,PALISADE SENIOR HIGH SCHOOL,PUB,6666,53%,,
COLORADO SPRINGS 11,WILLIAM J PALMER HIGH SCHOOL,PUB,6680,25%,,
DELTA COUNTY 50(J),PAONIA SENIOR HIGH SCHOOL,PUB,6708,21%,,
BOULDER VALLEY RE 2,PEAK TO PEAK CHARTER SCHOOL,PUB,6816,23%,,
ACADEMY 20,PINE CREEK HIGH SCHOOL,PUB,6937,24%,,
PLATTE CANYON 1,PLATTE CANYON HIGH SCHOOL,PUB,7046,22%,,
JEFFERSON COUNTY R-1,POMONA HIGH SCHOOL,PUB,7114,28%,,
DOUGLAS COUNTY RE 1,PONDEROSA HS SPECIAL EDUC,PUB,7118,17%,,
POUDRE R-1,POUDRE HIGH SCHOOL,PUB,7124,19%,,
BRIGHTON 27J,PRAIRIE VIEW HIGH SCHOOL,PUB,7129,48%,,
PUEBLO COUNTY RURAL 70,PUEBLO COUNTY HIGH SCHOOL,PUB,7208,53%,,
PUEBLO COUNTY RURAL 70,PUEBLO WEST HIGH SCHOOL,PUB,7214,32%,,
JEFFERSON COUNTY R-1,RALSTON VALLEY HIGH SCHOOL,PUB,7239,18%,,
ACADEMY 20,RAMPART HIGH SCHOOL,PUB,7240,20%,,
ADAMS-ARAPAHOE 28J,RANGEVIEW HIGH SCHOOL,PUB,7250,52%,,
GARFIELD RE-2,RIFLE HIGH SCHOOL,PUB,7360,47%,,
ROARING FORK RE-1,ROARING FORK HIGH SCHOOL,PUB,7422,58%,,
DOUGLAS COUNTY RE 1,ROCK CANYON HIGH SCHOOL,PUB,7435,16%,,
POUDRE R-1,ROCKY MOUNTAIN HIGH SCHOOL,PUB,7470,25%,,
JOHNSTOWN-MILLIKEN RE-5J,ROOSEVELT HIGH SCHOOL,PUB,7490,31%,,
PUEBLO COUNTY RURAL 70,RYE HIGH SCHOOL,PUB,7534,43%,,
SALIDA R-32,SALIDA HIGH SCHOOL,PUB,7568,30%,,
FALCON 49,SAND CREEK HIGH SCHOOL,PUB,7613,45%,,
ST VRAIN VALLEY RE 1J,SILVER CREEK HIGH SCHOOL,PUB,7789,27%,,
HARRISON 2,SIERRA HIGH SCHOOL,PUB,7882,68%,,
ST VRAIN VALLEY RE 1J,SKYLINE HIGH SCHOOL,PUB,7954,47%,,
CHERRY CREEK 5,SMOKY HILL HIGH SCHOOL,PUB,8020,32%,,
PUEBLO CITY 60,SOUTH HIGH SCHOOL,PUB,8082,35%,,
DENVER COUNTY 1,SOUTH HIGH SCHOOL,PUB,8086,67%,,
JEFFERSON COUNTY R-1,STANDLEY LAKE HIGH SCHOOL,PUB,8209,29%,,
STEAMBOAT SPRINGS RE-2,STEAMBOAT SPRINGS HIGH SCHOOL,PUB,8212,27%,,
VALLEY RE-1,STERLING HIGH SCHOOL,PUB,8260,35%,,
SUMMIT RE-1,SUMMIT COUNTY HIGH SCHOOL,PUB,8378,26%,,
DENVER COUNTY 1,THOMAS JEFFERSON HIGH SCHOOL,PUB,8822,51%,,
THOMPSON R-2J,THOMPSON VALLEY HIGH SCHOOL,PUB,8824,24%,,
DOUGLAS COUNTY RE 1,THUNDERRIDGE HIGH SCHOOL,PUB,8847,23%,,
TRINIDAD 1,TRINIDAD HIGH SCHOOL,PUB,8906,69%,,
WELD COUNTY RE-1,VALLEY HIGH SCHOOL,PUB,9032,56%,,
COLORADO SPRINGS 11,ROY J WASSON HIGH SCHOOL,PUB,9298,56%,,
DENVER COUNTY 1,WEST HIGH SCHOOL,PUB,9408,90%,,
WESTMINSTER 50,WESTMINSTER SR HIGH SCHOOL,PUB,9466,65%,,
JEFFERSON COUNTY R-1,WHEAT RIDGE SR HIGH SCHOOL,PUB,9510,30%,,
WIDEFIELD 3,WIDEFIELD HIGH SCHOOL,PUB,9566,42%,,
WINDSOR RE-4,WINDSOR HIGH SCHOOL,PUB,9672,42%,,
WOODLAND PARK RE-2,WOODLAND PARK HIGH SCHOOL,PUB,9696,34%,,
