Report Card Element,Source File,Variable Characteristics--all are based on final rating (1 or 3 year),Rollover Definition,Link to official definition,Variable location,Variable name,Notes,
College Readiness ACT Reading,CO ACT,,Does the school average ACT reading score predicts a 75% chance  of a student earning a C or above in corresponding college classes,http://www.google.com/url?sa=t&source=web&cd=3&ved=0CDAQFjAC&url=http%3A%2F%2Fwww.act.org%2Fresearch%2Fpolicymakers%2Fhttp://www.act.org/research/policymakers/pdf/ScoreInterpretations.pdf,COACT,read_yn,,
College Readiness ACT Math,CO ACT,,Does the school average ACT math score predicts a 75% chance  of a student earning a C or above in corresponding college classes,http://www.google.com/url?sa=t&source=web&cd=3&ved=0CDAQFjAC&url=http%3A%2F%2Fwww.act.org%2Fresearch%2Fpolicymakers%2Fhttp://www.act.org/research/policymakers/pdf/ScoreInterpretations.pdf,COACT,mat_yn,,
College Readiness ACT Writing/English,CO ACT,,Does the school average ACT writing/English score predicts a 75% chance  of a student earning a C or above in corresponding college classes,http://www.google.com/url?sa=t&source=web&cd=3&ved=0CDAQFjAC&url=http%3A%2F%2Fwww.act.org%2Fresearch%2Fpolicymakers%2Fhttp://www.act.org/research/policymakers/pdf/ScoreInterpretations.pdf,COACT,eng_yn,,
College Readiness ACT Science,CO ACT,,Does the school average ACT science score predicts a 75% chance  of a student earning a C or above in corresponding college classes,http://www.google.com/url?sa=t&source=web&cd=3&ved=0CDAQFjAC&url=http%3A%2F%2Fwww.act.org%2Fresearch%2Fpolicymakers%2Fhttp://www.act.org/research/policymakers/pdf/ScoreInterpretations.pdf,COACT,sci_yn,,
Other Schools (Geographical Proximity),ID by Jesus,,Other schools close to this school,,,,,
,,,,,,,,
,,,,,,,,
Then we are going to add + and minus based on 20% of each grade span. So then we are grading as follows by percentile:,Code in final sheet,,,,,,,
A+ is 98 to 100,13,,,,,,,
A is 92 to 87.99,12,,,,,,,
A-  is 90 to 91.99,11,,,,,,,
B+ is 85 to 89.99,10,,,,,,,
B is 70 to 84.99,9,,,,,,,
B- is 65 to 69.99,8,,,,,,,
C+ is 55 to 64.99,7,,,,,,,
C is 25 to 54.99,6,,,,,,,
C- is 15 to 24.99,5,,,,,,,
D+ is 13 to 14.99,4,,,,,,,
D is 7 to 12.99,3,,,,,,,
D- is 5 to 6.99,2,,,,,,,
F is 5 and below,1,,,,,,,
,,,,,,,,
Code for Yes No,,,,,,,,
Yes,1,,,,,,,
No,0,,,,,,,
Blank,no data available,,,,,,,
,,,,,,,,
Code for arrows,,,,,,,,
1,down,,,,,,,
2,flat,,,,,,,
3,up,,,,,,,
Blank,no data available,,,,,,,
,,,,,,,,
Code for School type,,,,,,,,
E,Elementary  ,,,,,,,
M,Middle school,,,,,,,
H,High Schools,,,,,,,
,,,,,,,,
Code for Mixed Grades,,,,,,,,
EM,Elementary and Middle grades,,,,,,,
MH,Middle and high school grades,,,,,,,
EMH,"Elementary, middle and high school grades",,,,,,,
,,,,,,,,
,,,,,,,,
