District No,2010 School Name,School No,eng_yn,math_yn,read_yn,sci_yn
0480,ARAPAHOE RIDGE HIGH SCHOOL,0125,0,0,0,0
0480,BOULDER HIGH SCHOOL,0924,1,1,1,1
0480,BOULDER PREP CHARTER HIGH SCHOOL,0934,0,0,0,0
0480,BROOMFIELD HIGH SCHOOL,1070,1,0,1,0
0480,CENTAURUS HIGH SCHOOL,1380,1,0,0,0
0480,FAIRVIEW HIGH SCHOOL,2892,1,1,1,1
0480,JUSTICE HIGH CHARTER SCHOOL,4496,0,0,0,0
0480,MONARCH HIGH SCHOOL,5999,1,1,1,0
0480,NEW VISTA HIGH SCHOOL,6195,1,0,0,0
0480,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,6212,1,0,0,0
0480,PEAK TO PEAK CHARTER SCHOOL,6816,1,1,1,1
0490,BUENA VISTA HIGH SCHOOL,1130,1,0,1,0
0490,CHAFFEE COUNTY HIGH SCHOOL,1508,0,0,0,0
0500,SALIDA HIGH SCHOOL,7568,1,0,0,0
0520,CHEYENNE WELLS HIGH SCHOOL,1612,1,0,1,0
0540,CLEAR CREEK HIGH SCHOOL,4216,1,0,0,0
0550,CENTAURI HIGH SCHOOL,1378,1,0,0,0
0560,SANFORD JUNIOR/SENIOR HIGH SCHOOL,7616,1,0,1,0
0580,ANTONITO HIGH SCHOOL,0252,0,0,0,0
0640,CENTENNIAL HIGH SCHOOL,1398,0,0,0,0
0770,CROWLEY COUNTY HIGH SCHOOL,2058,1,0,0,0
0860,CUSTER COUNTY HIGH SCHOOL,2092,1,0,0,0
0870,CEDAREDGE HIGH SCHOOL,1372,1,0,0,0
0870,DELTA COUNTY OPPORTUNITY SCHOOL,2155,0,0,0,0
0870,DELTA HIGH SCHOOL,2164,0,0,0,0
0870,DELTA VISION SCHOOL,2166,1,0,0,0
0870,HOTCHKISS HIGH SCHOOL,4128,1,0,0,0
0870,PAONIA HIGH SCHOOL,6708,1,0,0,0
0870,SURFACE CREEK VISION SCHOOL,8419,1,0,0,0
0880,ABRAHAM LINCOLN HIGH SCHOOL,0010,0,0,0,0
0880,RIDGE VIEW ACADEMY CHARTER SCHOOL,0040,0,0,0,0
0880,ACADEMY OF URBAN LEARNING,0067,0,0,0,0
0880,FRED N THOMAS CAREER EDUCATION CENTER,1319,1,0,0,0
0880,COLORADO HIGH SCHOOL,1748,0,0,0,0
0880,CONNECTIONS ACADEMY,1887,1,0,0,0
0880,DENVER CENTER FOR INTERNATIONAL STUDIES,2183,1,0,0,0
0880,DENVER SCHOOL OF THE ARTS,2184,1,1,0,1
0880,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,2185,1,1,1,0
0880,EAST HIGH SCHOOL,2398,1,0,0,0
0880,EMILY GRIFFITH OPPORTUNITY SCHOOL,2726,0,0,0,0
0880,FLORENCE CRITTENTON HIGH SCHOOL,3000,0,0,0,0
0880,GEORGE WASHINGTON HIGH SCHOOL,3378,1,0,0,0
0880,JOHN F KENNEDY HIGH SCHOOL,4444,0,0,0,0
0880,JUSTICE HIGH SCHOOL DENVER,4494,0,0,0,0
0880,LIFE SKILLS CENTER OF DENVER,5129,0,0,0,0
0880,MANUAL HIGH SCHOOL,5448,0,0,0,0
0880,MARTIN LUTHER KING MIDDLE COLLEGE,5605,0,0,0,0
0880,CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,5844,0,0,0,0
0880,MONTBELLO HIGH SCHOOL,5995,0,0,0,0
0880,NORTH HIGH SCHOOL,6314,0,0,0,0
0880,BRUCE RANDOLPH SCHOOL,6350,0,0,0,0
0880,P.S.1 CHARTER SCHOOL,7199,0,0,0,0
0880,SOUTH HIGH SCHOOL,8086,0,0,0,0
0880,SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,8132,0,0,0,0
0880,THOMAS JEFFERSON HIGH SCHOOL,8822,1,0,0,0
0880,WEST HIGH SCHOOL,9408,0,0,0,0
0890,DOVE CREEK HIGH SCHOOL,2216,0,0,0,0
0900,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,0201,1,0,0,0
0900,CASTLE VIEW HIGH SCHOOL,1367,1,0,1,0
0900,CHAPARRAL HIGH SCHOOL,1503,1,0,1,0
0900,DOUGLAS COUNTY HIGH SCHOOL,2230,1,0,1,0
0900,EAGLE ACADEMY,2338,0,0,0,0
0900,HIGHLANDS RANCH HIGH SCHOOL,3980,1,0,1,0
0900,HOPE ON-LINE,3995,0,0,0,0
0900,MOUNTAIN VISTA HIGH SCHOOL,6165,1,1,1,0
0900,PONDEROSA HIGH SCHOOL,7118,1,0,1,0
0900,ROCK CANYON HIGH SCHOOL,7435,1,1,1,0
0900,THUNDERRIDGE HIGH SCHOOL,8847,1,0,1,0
0910,RED CANYON HIGH SCHOOL,0205,0,0,0,0
0910,BATTLE MOUNTAIN HIGH SCHOOL,0604,0,0,0,0
0910,EAGLE VALLEY HIGH SCHOOL,2350,1,0,0,0
0910,VAIL SKI AND SNOWBOARD ACADEMY (USSA),9061,1,1,1,0
0920,ELIZABETH HIGH SCHOOL,2608,1,0,0,0
0940,SIMLA HIGH SCHOOL,7922,1,0,0,0
0970,CALHAN HIGH SCHOOL,1218,1,0,0,0
0980,HARRISON HIGH SCHOOL,3806,0,0,0,0
0980,JAMES IRWIN CHARTER HIGH SCHOOL,4378,1,1,1,0
0980,NEW HORIZONS DAY SCHOOL,6244,0,0,0,0
0980,SIERRA HIGH SCHOOL,7882,0,0,0,0
0990,MESA RIDGE HIGH SCHOOL,5841,1,0,0,0
0990,DISCOVERY HIGH SCHOOL,9560,0,0,0,0
0990,WIDEFIELD HIGH SCHOOL,9566,1,0,0,0
1000,LORRAINE SECONDARY SCHOOL,0203,0,0,0,0
1000,FOUNTAIN-FORT CARSON HIGH SCHOOL,3110,1,0,0,0
1010,THE BIJOU SCHOOL,0871,0,0,0,0
1010,CIVA CHARTER ACADEMY,1616,0,0,0,0
1010,CORONADO HIGH SCHOOL,1870,1,0,0,0
1010,COMMUNITY PREP CHARTER SCHOOL,1885,0,0,0,0
1010,DOHERTY HIGH SCHOOL,2202,1,0,0,0
1010,NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,2528,0,0,0,0
1010,LIFE SKILLS CENTER OF COLORADO SPRINGS,5146,0,0,0,0
1010,MITCHELL HIGH SCHOOL,5948,0,0,0,0
1010,PALMER HIGH SCHOOL,6680,1,0,1,0
1010,WASSON HIGH SCHOOL,9298,0,0,0,0
1020,CHEYENNE MOUNTAIN HIGH SCHOOL,1590,1,1,1,0
1030,MANITOU SPRINGS HIGH SCHOOL,5468,1,0,0,0
1040,AIR ACADEMY HIGH SCHOOL,0076,1,1,1,0
1040,ASPEN VALLEY HIGH SCHOOL,0209,1,0,0,0
1040,THE CLASSICAL ACADEMY HIGH SCHOOL,1630,1,1,1,1
1040,DISCOVERY CANYON CAMPUS SCHOOL,2195,1,1,0,0
1040,LIBERTY HIGH SCHOOL,5126,1,0,0,0
1040,PINE CREEK HIGH SCHOOL,6937,1,0,0,0
1040,RAMPART HIGH SCHOOL,7240,1,0,1,0
1050,ELLICOTT SENIOR HIGH SCHOOL,2642,0,0,0,0
1060,PEYTON JUNIOR/SENIOR HIGH SCHOOL,6902,1,0,0,0
1080,LEWIS-PALMER HIGH SCHOOL,5100,1,1,1,0
1080,PALMER RIDGE HIGH SCHOOL,6678,1,0,1,0
1110,FALCON HIGH SCHOOL,2908,1,0,0,0
1110,PATRIOT LEARNING CENTER,6810,0,0,0,0
1110,SAND CREEK HIGH SCHOOL,7613,1,0,0,0
1110,VISTA RIDGE HIGH SCHOOL,8791,1,0,0,0
1130,MIAMI-YODER SENIOR HIGH SCHOOL,5854,1,0,0,0
1140,CANON CITY HIGH SCHOOL,1266,1,0,0,0
1140,GARDEN PARK HIGH SCHOOL,3211,0,0,0,0
1150,FLORENCE HIGH SCHOOL,3002,1,0,0,0
1160,COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,3228,0,0,0,0
1180,BASALT HIGH SCHOOL,0570,1,0,0,0
1180,BRIDGES,1006,1,0,0,0
1180,GLENWOOD SPRINGS HIGH SCHOOL,3468,1,0,0,0
1180,ROARING FORK HIGH SCHOOL,7422,1,0,0,0
1195,COAL RIDGE HIGH SCHOOL,0065,1,0,0,0
1195,KAPLAN ACADEMY OF COLORADO,3325,1,0,0,0
1195,RIFLE HIGH SCHOOL,7360,1,0,0,0
1220,GRAND VALLEY HIGH SCHOOL,3586,0,0,0,0
1340,WEST GRAND HIGH SCHOOL,9420,1,0,0,0
1350,MIDDLE PARK HIGH SCHOOL,5864,1,0,1,0
1360,CRESTED BUTTE COMMUNITY SCHOOL,2006,1,0,1,0
1360,GUNNISON HIGH SCHOOL,3694,1,0,0,0
1390,JOHN MALL HIGH SCHOOL,9212,0,0,0,0
1400,LA VETA JUNIOR-SENIOR HIGH SCHOOL,4864,1,0,1,0
1420,MC LAIN HIGH SCHOOL,0033,0,0,0,0
1420,ALAMEDA HIGH SCHOOL,0108,0,0,0,0
1420,ARVADA HIGH SCHOOL,0370,0,0,0,0
1420,ARVADA WEST HIGH SCHOOL,0378,1,0,0,0
1420,BEAR CREEK HIGH SCHOOL,0664,1,0,0,0
1420,BRADY EXPLORATION SCHOOL,0965,0,0,0,0
1420,CHATFIELD HIGH SCHOOL,1522,1,0,1,0
1420,COLUMBINE HIGH SCHOOL,1864,1,0,0,0
1420,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1869,1,1,0,0
1420,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1880,1,0,0,0
1420,CONIFER SENIOR HIGH SCHOOL,1886,1,0,1,0
1420,DAKOTA RIDGE SENIOR HIGH SCHOOL,2093,1,0,1,0
1420,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,2120,1,1,1,1
1420,EVERGREEN HIGH SCHOOL,2836,1,1,1,0
1420,GOLDEN HIGH SCHOOL,3502,1,0,1,0
1420,GREEN MOUNTAIN HIGH SCHOOL,3628,1,0,1,0
1420,JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,4410,1,1,1,0
1420,JEFFERSON HIGH SCHOOL,4422,0,0,0,0
1420,LAKEWOOD HIGH SCHOOL,4942,1,0,1,0
1420,NEW AMERICA SCHOOL,6237,0,0,0,0
1420,JEFFERSON COUNTY OPEN SECONDARY,6541,0,0,0,0
1420,POMONA HIGH SCHOOL,7114,1,0,0,0
1420,RALSTON VALLEY SENIOR HIGH SCHOOL,7239,1,0,1,0
1420,COLLEGIATE ACADEMY OF COLORADO,7701,1,0,0,0
1420,STANDLEY LAKE HIGH SCHOOL,8209,1,0,1,0
1420,WHEAT RIDGE HIGH SCHOOL,9510,1,0,0,0
1480,STRATTON SENIOR HIGH SCHOOL,8354,1,0,1,0
1500,BURLINGTON HIGH SCHOOL,1152,1,0,0,0
1510,LAKE COUNTY HIGH SCHOOL,4904,0,0,0,0
1520,DURANGO HIGH SCHOOL,2318,1,0,0,0
1530,BAYFIELD HIGH SCHOOL,0640,1,0,0,0
1540,IGNACIO HIGH SCHOOL,4258,0,0,0,0
1550,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,0146,1,1,1,1
1550,FORT COLLINS HIGH SCHOOL,3046,1,0,0,0
1550,FOSSIL RIDGE HIGH SCHOOL,3105,1,0,1,0
1550,CENTENNIAL HIGH SCHOOL,3760,1,0,0,0
1550,POLARIS EXPEDITIONARY LEARNING SCHOOL,7104,1,0,0,0
1550,POUDRE HIGH SCHOOL,7124,1,0,0,0
1550,ROCKY MOUNTAIN HIGH SCHOOL,7470,1,0,0,0
1560,BERTHOUD HIGH SCHOOL,0812,1,0,0,0
1560,LOVELAND HIGH SCHOOL,5316,1,0,1,0
1560,MOUNTAIN VIEW HIGH SCHOOL,6163,1,0,0,0
1560,THOMPSON VALLEY HIGH SCHOOL,8824,1,0,0,0
1560,HAROLD FERGUSON HIGH SCHOOL,9260,0,0,0,0
1570,ESTES PARK HIGH SCHOOL,2794,1,0,1,0
1580,TRINIDAD HIGH SCHOOL,8906,0,0,0,0
1590,PRIMERO JUNIOR-SENIOR HIGH SCHOOL,7164,1,0,0,0
1600,HOEHNE HIGH SCHOOL,4048,1,0,0,0
1750,BRANSON SCHOOL ONLINE,0948,1,0,0,0
1790,LIMON JUNIOR-SENIOR HIGH SCHOOL,5136,1,0,0,0
1810,KARVAL ONLINE EDUCATION,4504,1,0,0,0
1828,CALICHE JUNIOR-SENIOR HIGH SCHOOL,1224,1,0,0,0
1828,STERLING HIGH SCHOOL,8260,1,0,0,0
1860,MERINO JUNIOR SENIOR HIGH SCHOOL,5806,1,0,0,0
1990,GRAND MESA HIGH SCHOOL,3582,0,0,0,0
1990,PLATEAU VALLEY HIGH SCHOOL,7032,0,0,0,0
2000,CENTRAL HIGH SCHOOL,1450,1,0,0,0
2000,GRAND JUNCTION HIGH SCHOOL,3570,1,0,0,0
2000,FRUITA MONUMENT HIGH SCHOOL,6070,1,0,0,0
2000,PALISADE HIGH SCHOOL,6666,1,0,0,0
2000,R-5 HIGH SCHOOL,7236,0,0,0,0
2020,MOFFAT COUNTY HIGH SCHOOL,5962,1,0,0,0
2035,MONTEZUMA-CORTEZ HIGH SCHOOL,6026,0,0,0,0
2035,SOUTHWEST OPEN CHARTER SCHOOL,8133,0,0,0,0
2055,DOLORES HIGH SCHOOL,2208,1,0,0,0
2070,MANCOS HIGH SCHOOL,5452,1,0,0,0
2180,MONTROSE HIGH SCHOOL,6058,1,0,0,0
2180,OLATHE HIGH SCHOOL,6494,0,0,0,0
2180,VISTA CHARTER SCHOOL,9149,0,0,0,0
2190,NUCLA JUNIOR/SENIOR HIGH SCHOOL,6436,0,0,0,0
2395,BRUSH HIGH SCHOOL,1096,1,0,0,0
2405,FORT MORGAN HIGH SCHOOL,3078,0,0,0,0
2515,WIGGINS HIGH SCHOOL,9582,1,0,0,0
2520,LA JUNTA HIGH SCHOOL,4844,0,0,0,0
2530,ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,7442,0,0,0,0
2540,FOWLER HIGH SCHOOL,3134,1,0,0,0
2570,SWINK JUNIOR-SENIOR HIGH SCHOOL,8456,1,0,0,0
2580,OURAY SENIOR HIGH SCHOOL,6600,1,0,0,0
2590,RIDGWAY HIGH SCHOOL,7346,1,0,0,0
2600,PLATTE CANYON HIGH SCHOOL,7046,1,0,0,0
2610,SOUTH PARK HIGH SCHOOL,8118,1,0,1,0
2620,HOLYOKE SENIOR HIGH SCHOOL,4080,1,0,0,0
2630,HAXTUN HIGH SCHOOL,3850,1,0,0,0
2640,ASPEN HIGH SCHOOL,0432,1,1,1,0
2660,LAMAR HIGH SCHOOL,4960,0,0,0,0
2670,HOLLY HIGH SCHOOL,4058,1,0,0,0
2690,CENTENNIAL HIGH SCHOOL,1402,1,0,0,0
2690,CENTRAL HIGH SCHOOL,1454,0,0,0,0
2690,DOLORES HUERTA PREPARATORY HIGH SCHOOL,2217,1,0,0,0
2690,EAST HIGH SCHOOL,2394,0,0,0,0
2690,SOUTH HIGH SCHOOL,8082,1,0,0,0
2690,YOUTH & FAMILY ACADEMY CHARTER,9785,0,0,0,0
2700,FUTURES ACADEMY,3279,0,0,0,0
2700,PUEBLO COUNTY HIGH SCHOOL,7208,1,0,0,0
2700,PUEBLO TECHNICAL ACADEMY,7211,1,1,1,0
2700,PUEBLO WEST HIGH SCHOOL,7214,1,0,0,0
2700,RYE HIGH SCHOOL,7534,0,0,0,0
2700,SOUTHERN COLORADO EARLY COLLEGE,7879,0,0,0,0
2710,MEEKER HIGH SCHOOL,5762,1,0,0,0
2720,RANGELY JUNIOR/SENIOR HIGH SCHOOL,7276,0,0,0,0
2730,DEL NORTE HIGH SCHOOL,2150,0,0,0,0
2740,MONTE VISTA SENIOR HIGH SCHOOL,6046,1,0,0,0
2740,MONTE VISTA ON-LINE ACADEMY,6520,0,0,0,0
2750,SARGENT SENIOR HIGH SCHOOL,7664,1,0,0,0
2760,HAYDEN HIGH SCHOOL,3862,1,0,0,0
2770,STEAMBOAT SPRINGS HIGH SCHOOL,8212,1,0,1,0
2780,SOROCO HIGH SCHOOL,8050,1,0,0,0
2810,CENTER HIGH SCHOOL,1420,0,0,0,0
2830,TELLURIDE HIGH SCHOOL,8794,1,1,1,0
2840,NORWOOD HIGH SCHOOL,6422,0,0,0,0
2862,INSIGHT SCHOOL OF COLORADO AT JULESBURG,4369,1,0,0,0
2862,JULESBURG HIGH SCHOOL,4492,1,0,0,0
3000,SUMMIT HIGH SCHOOL,8378,1,0,0,0
3010,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,2024,0,0,0,0
3020,WOODLAND PARK HIGH SCHOOL,9696,1,0,0,0
3030,AKRON HIGH SCHOOL,0090,1,0,1,0
3050,OTIS JUNIOR-SENIOR HIGH SCHOOL,6586,1,0,1,0
3080,VALLEY HIGH SCHOOL,9032,0,0,0,0
3085,EATON HIGH SCHOOL,2456,1,0,0,0
3090,WELD CENTRAL SENIOR HIGH SCHOOL,1446,1,0,0,0
3100,WINDSOR HIGH SCHOOL,9672,1,0,0,0
3110,ROOSEVELT HIGH SCHOOL,7490,1,0,0,0
3120,COLORADO HIGH SCHOOL OF GREELEY,1780,0,0,0,0
3120,FRONTIER CHARTER ACADEMY,1875,1,0,0,0
3120,UNIVERSITY SCHOOLS,2850,1,0,0,0
3120,GREELEY CENTRAL HIGH SCHOOL,3610,0,0,0,0
3120,GREELEY WEST HIGH SCHOOL,3614,1,0,0,0
3120,NORTHRIDGE HIGH SCHOOL,6364,0,0,0,0
3120,TRADEMARK LEARNING CENTER,8890,0,0,0,0
3120,UNION COLONY PREPARATORY SCHOOL,8965,1,1,1,1
3130,PLATTE VALLEY HIGH SCHOOL,4670,1,0,0,0
3140,FORT LUPTON HIGH SCHOOL,3070,0,0,0,0
3145,HIGHLAND HIGH SCHOOL,3962,0,0,0,0
3200,YUMA HIGH SCHOOL,9799,0,0,0,0
3210,WRAY HIGH SCHOOL,9733,1,0,0,0
8001,COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,0656,1,0,0,0
8001,COLORADO SPRINGS EARLY COLLEGES,1795,1,0,0,0
8001,EARLY COLLEGE HIGH SCHOOL AT ARVADA,2837,1,0,0,1
8001,GOAL ACADEMY,3475,0,0,0,0
8001,THE PINNACLE CHARTER SCHOOL HIGH,6914,1,0,0,0
8001,THE VANGUARD SCHOOL (HIGH),9057,1,1,1,1
9030,YAMPAH MOUNTAIN SCHOOL,6134,0,0,0,0
9130,EXPEDITIONARY LEARNING SCHOOL,2840,1,1,0,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
