DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,% FREE AND REDUCED
0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,66.8%
0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,33.6%
0020,ADAMS 12 FIVE STAR SCHOOLS,6830,NIVER CREEK MIDDLE SCHOOL,89.6%
0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,8.4%
0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,6.7%
0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,32.1%
0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,36.9%
0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM SCHOOL,21.4%
0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,76.4%
0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,86.3%
0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,0.9%
0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,28.5%
0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,54.0%
0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,42.3%
0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,90.0%
0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,51.3%
0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,73.7%
0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,87.8%
0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,86.9%
0030,ADAMS COUNTY 14,1882,COMMUNITY LEADERSHIP ACADEMY,87.2%
0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,91.9%
0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,87.7%
0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,90.7%
0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,92.2%
0030,ADAMS COUNTY 14,6534,HANSON PREK-8 SCHOOL,91.9%
0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,90.3%
0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,34.7%
0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,48.3%
0040,BRIGHTON 27J,1022,BRIGHTON HIGH SCHOOL,13.8%
0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,23.6%
0040,BRIGHTON 27J,2399,EAGLE RIDGE ACADEMY,36.4%
0040,BRIGHTON 27J,2945,FOUNDATIONS ACADEMY,10.0%
0040,BRIGHTON 27J,3900,HENDERSON ELEMENTARY SCHOOL,46.4%
0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,9.6%
0040,BRIGHTON 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,38.6%
0040,BRIGHTON 27J,6294,NORTH ELEMENTARY SCHOOL,82.9%
0040,BRIGHTON 27J,6395,NORTHEAST ELEMENTARY SCHOOL,54.8%
0040,BRIGHTON 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,44.3%
0040,BRIGHTON 27J,6702,OTHO E STUART MIDDLE SCHOOL,32.1%
0040,BRIGHTON 27J,7129,PRAIRIE VIEW HIGH SCHOOL,33.3%
0040,BRIGHTON 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,37.5%
0040,BRIGHTON 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,33.5%
0040,BRIGHTON 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,32.8%
0040,BRIGHTON 27J,8060,SOUTH ELEMENTARY SCHOOL,66.1%
0040,BRIGHTON 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,48.2%
0040,BRIGHTON 27J,8820,TURNBERRY ELEMENTARY,24.2%
0040,BRIGHTON 27J,9230,VIKAN MIDDLE SCHOOL,53.2%
0040,BRIGHTON 27J,9426,WEST RIDGE ELEMENTARY,15.6%
0050,BENNETT 29J,0770,BENNETT ELEMENTARY SCHOOL,42.4%
0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,32.0%
0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,25.5%
0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,0.0%
0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,50.0%
0060,STRASBURG 31J,8328,STRASBURG ELEMENTARY SCHOOL,23.7%
0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,18.7%
0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,17.0%
0070,WESTMINSTER 50,1622,CLARA E. METZ ELEMENTARY SCHOOL,83.9%
0070,WESTMINSTER 50,2035,CROWN POINTE CHARTER ACADEMY,44.7%
0070,WESTMINSTER 50,2876,FAIRVIEW ELEMENTARY SCHOOL,85.0%
0070,WESTMINSTER 50,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,87.8%
0070,WESTMINSTER 50,3792,HARRIS PARK ELEMENTARY SCHOOL,85.6%
0070,WESTMINSTER 50,3931,HIDDEN LAKE HIGH SCHOOL,65.5%
0070,WESTMINSTER 50,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,86.0%
0070,WESTMINSTER 50,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,90.7%
0070,WESTMINSTER 50,5834,MESA ELEMENTARY SCHOOL,78.2%
0070,WESTMINSTER 50,7305,IVER C. RANUM MIDDLE SCHOOL,85.6%
0070,WESTMINSTER 50,7810,FLYNN ELEMENTARY SCHOOL,68.4%
0070,WESTMINSTER 50,7812,SHAW HEIGHTS MIDDLE SCHOOL,79.8%
0070,WESTMINSTER 50,7860,SHERRELWOOD ELEMENTARY SCHOOL,82.2%
0070,WESTMINSTER 50,7952,SKYLINE VISTA ELEMENTARY SCHOOL,89.2%
0070,WESTMINSTER 50,8406,SUNSET RIDGE ELEMENTARY SCHOOL,79.3%
0070,WESTMINSTER 50,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,82.4%
0070,WESTMINSTER 50,9462,WESTMINSTER ELEMENTARY SCHOOL,84.7%
0070,WESTMINSTER 50,9466,WESTMINSTER HIGH SCHOOL,73.9%
0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,70.9%
0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,56.8%
0100,ALAMOSA RE-11J,0119,ALAMOSA OPEN SCHOOL,59.1%
0100,ALAMOSA RE-11J,0944,BOYD ELEMENTARY SCHOOL,74.8%
0100,ALAMOSA RE-11J,2402,POLSTON ELEMENTARY SCHOOL,85.5%
0100,ALAMOSA RE-11J,2818,EVANS ELEMENTARY SCHOOL,73.9%
0110,SANGRE DE CRISTO RE-22J,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,65.0%
0110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,54.7%
0120,ENGLEWOOD 1,0206,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,39.0%
0120,ENGLEWOOD 1,1514,CHARLES HAY WORLD SCHOOL,44.9%
0120,ENGLEWOOD 1,1556,CHERRELYN ELEMENTARY SCHOOL,68.2%
0120,ENGLEWOOD 1,1652,CLAYTON ELEMENTARY SCHOOL,69.9%
0120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,42.5%
0120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,26.5%
0120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,63.9%
0120,ENGLEWOOD 1,9620,WM E BISHOP ELEMENTARY SCHOOL,78.3%
0123,SHERIDAN 2,0138,ALICE TERRY ELEMENTARY SCHOOL,88.5%
0123,SHERIDAN 2,3054,FORT LOGAN ELEMENTARY SCHOOL,93.0%
0123,SHERIDAN 2,7837,SHERIDAN MIDDLE SCHOOL,87.6%
0123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,64.2%
0130,CHERRY CREEK 5,0016,FOX HOLLOW ELEMENTARY SCHOOL,11.5%
0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,19.1%
0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,21.4%
0130,CHERRY CREEK 5,0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,16.0%
0130,CHERRY CREEK 5,0243,COYOTE HILLS ELEMENTARY SCHOOL,4.4%
0130,CHERRY CREEK 5,0348,ARROWHEAD ELEMENTARY SCHOOL,33.9%
0130,CHERRY CREEK 5,0442,ASPEN CROSSING ELEMENTARY SCHOOL,14.3%
0130,CHERRY CREEK 5,0714,BELLEVIEW ELEMENTARY SCHOOL,11.2%
0130,CHERRY CREEK 5,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,17.8%
0130,CHERRY CREEK 5,1273,CANYON CREEK ELEMENTARY SCHOOL,19.7%
0130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,4.5%
0130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,15.3%
0130,CHERRY CREEK 5,1566,CAMPUS MIDDLE SCHOOL,10.9%
0130,CHERRY CREEK 5,1568,WEST MIDDLE SCHOOL,11.7%
0130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,8.6%
0130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,0.0%
0130,CHERRY CREEK 5,1572,HIGH PLAINS ELEMENTARY SCHOOL,20.8%
0130,CHERRY CREEK 5,1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,5.4%
0130,CHERRY CREEK 5,1614,CIMARRON ELEMENTARY SCHOOL,51.5%
0130,CHERRY CREEK 5,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,4.3%
0130,CHERRY CREEK 5,1970,CREEKSIDE ELEMENTARY SCHOOL,7.5%
0130,CHERRY CREEK 5,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,18.7%
0130,CHERRY CREEK 5,2292,DRY CREEK ELEMENTARY SCHOOL,17.2%
0130,CHERRY CREEK 5,2357,EAGLECREST HIGH SCHOOL,28.3%
0130,CHERRY CREEK 5,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,67.2%
0130,CHERRY CREEK 5,2897,FALCON CREEK MIDDLE SCHOOL,20.9%
0130,CHERRY CREEK 5,3030,FOX RIDGE MIDDLE SCHOOL,11.6%
0130,CHERRY CREEK 5,3589,GRANDVIEW HIGH SCHOOL,15.3%
0130,CHERRY CREEK 5,3648,GREENWOOD ELEMENTARY SCHOOL,3.3%
0130,CHERRY CREEK 5,3926,HERITAGE ELEMENTARY SCHOOL,11.0%
0130,CHERRY CREEK 5,3988,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,76.1%
0130,CHERRY CREEK 5,4062,HOLLY HILLS ELEMENTARY SCHOOL,76.8%
0130,CHERRY CREEK 5,4078,HOMESTEAD ELEMENTARY SCHOOL,6.0%
0130,CHERRY CREEK 5,4100,HORIZON MIDDLE SCHOOL,44.4%
0130,CHERRY CREEK 5,4276,INDEPENDENCE ELEMENTARY SCHOOL,49.4%
0130,CHERRY CREEK 5,4280,INDIAN RIDGE ELEMENTARY SCHOOL,9.2%
0130,CHERRY CREEK 5,4975,LAREDO MIDDLE SCHOOL,34.9%
0130,CHERRY CREEK 5,5744,MEADOW POINT ELEMENTARY SCHOOL,55.7%
0130,CHERRY CREEK 5,5934,MISSION VIEJO ELEMENTARY SCHOOL,43.1%
0130,CHERRY CREEK 5,6625,OVERLAND HIGH SCHOOL,56.9%
0130,CHERRY CREEK 5,6820,PEAKVIEW ELEMENTARY SCHOOL,20.2%
0130,CHERRY CREEK 5,6955,PINE RIDGE ELEMENTARY SCHOOL,4.8%
0130,CHERRY CREEK 5,7102,POLTON COMMUNITY ELEMENTARY SCHOOL,42.9%
0130,CHERRY CREEK 5,7116,PONDEROSA ELEMENTARY SCHOOL,65.1%
0130,CHERRY CREEK 5,7158,PRAIRIE MIDDLE SCHOOL,68.1%
0130,CHERRY CREEK 5,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,36.4%
0130,CHERRY CREEK 5,7476,ROLLING HILLS ELEMENTARY SCHOOL,7.2%
0130,CHERRY CREEK 5,7559,SAGEBRUSH ELEMENTARY SCHOOL,39.9%
0130,CHERRY CREEK 5,8020,SMOKY HILL HIGH SCHOOL,27.3%
0130,CHERRY CREEK 5,8380,SUMMIT ELEMENTARY SCHOOL,38.6%
0130,CHERRY CREEK 5,8394,SUNRISE ELEMENTARY SCHOOL,39.0%
0130,CHERRY CREEK 5,8848,THUNDER RIDGE MIDDLE SCHOOL,21.2%
0130,CHERRY CREEK 5,8850,TIMBERLINE ELEMENTARY SCHOOL,21.9%
0130,CHERRY CREEK 5,8887,TRAILS WEST ELEMENTARY SCHOOL,23.4%
0130,CHERRY CREEK 5,9108,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,66.5%
0130,CHERRY CREEK 5,9200,WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,16.6%
0130,CHERRY CREEK 5,9624,WILLOW CREEK ELEMENTARY SCHOOL,4.0%
0140,LITTLETON 6,0298,ARAPAHOE HIGH SCHOOL,6.3%
0140,LITTLETON 6,0752,FRANKLIN ELEMENTARY SCHOOL,13.2%
0140,LITTLETON 6,1382,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,53.1%
0140,LITTLETON 6,2382,EAST ELEMENTARY SCHOOL,79.9%
0140,LITTLETON 6,2804,EUCLID MIDDLE SCHOOL,27.7%
0140,LITTLETON 6,2926,FIELD ELEMENTARY SCHOOL,76.2%
0140,LITTLETON 6,3472,GODDARD MIDDLE SCHOOL,38.1%
0140,LITTLETON 6,3930,HERITAGE HIGH SCHOOL,10.7%
0140,LITTLETON 6,3950,HIGHLAND ELEMENTARY SCHOOL,21.7%
0140,LITTLETON 6,4316,NEWTON MIDDLE SCHOOL,13.3%
0140,LITTLETON 6,4447,JOHN WESLEY POWELL MIDDLE SCHOOL,10.7%
0140,LITTLETON 6,5224,LITTLETON HIGH SCHOOL,22.6%
0140,LITTLETON 6,5229,LITTLETON ACADEMY,4.3%
0140,LITTLETON 6,5233,LITTLETON PREP CHARTER SCHOOL,22.9%
0140,LITTLETON 6,5236,LOIS LENSKI ELEMENTARY SCHOOL,6.6%
0140,LITTLETON 6,5572,HOPKINS ELEMENTARY SCHOOL,30.5%
0140,LITTLETON 6,5574,TWAIN ELEMENTARY SCHOOL,15.7%
0140,LITTLETON 6,6814,PEABODY ELEMENTARY SCHOOL,22.1%
0140,LITTLETON 6,7518,RUNYON ELEMENTARY SCHOOL,11.7%
0140,LITTLETON 6,7606,SANDBURG ELEMENTARY SCHOOL,8.0%
0140,LITTLETON 6,8064,MOODY ELEMENTARY SCHOOL,46.0%
0140,LITTLETON 6,9600,WILDER ELEMENTARY SCHOOL,6.4%
0170,DEER TRAIL 26J,2136,DEER TRAIL ELEMENTARY SCHOOL,55.6%
0170,DEER TRAIL 26J,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,34.8%
0180,ADAMS-ARAPAHOE 28J,0213,AXL ACADEMY,51.9%
0180,ADAMS-ARAPAHOE 28J,0214,ALTURA ELEMENTARY SCHOOL,96.5%
0180,ADAMS-ARAPAHOE 28J,0219,APS ONLINE SCHOOL,41.4%
0180,ADAMS-ARAPAHOE 28J,0310,ARKANSAS ELEMENTARY SCHOOL,60.9%
0180,ADAMS-ARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,36.8%
0180,ADAMS-ARAPAHOE 28J,0464,AURORA HILLS MIDDLE SCHOOL,74.4%
0180,ADAMS-ARAPAHOE 28J,0465,AURORA FRONTIER K-8,29.3%
0180,ADAMS-ARAPAHOE 28J,0914,BOSTON K-8 SCHOOL,91.1%
0180,ADAMS-ARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,72.4%
0180,ADAMS-ARAPAHOE 28J,1470,CENTURY ELEMENTARY SCHOOL,68.3%
0180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER K-8,70.4%
0180,ADAMS-ARAPAHOE 28J,1800,COLUMBIA MIDDLE SCHOOL,54.0%
0180,ADAMS-ARAPAHOE 28J,1948,CRAWFORD ELEMENTARY SCHOOL,89.4%
0180,ADAMS-ARAPAHOE 28J,2095,DALTON ELEMENTARY SCHOOL,52.0%
0180,ADAMS-ARAPAHOE 28J,2114,DARTMOUTH ELEMENTARY SCHOOL,57.4%
0180,ADAMS-ARAPAHOE 28J,2384,EAST MIDDLE SCHOOL,87.1%
0180,ADAMS-ARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,94.6%
0180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,89.9%
0180,ADAMS-ARAPAHOE 28J,2998,FLETCHER PRIMARY SCHOOL,92.7%
0180,ADAMS-ARAPAHOE 28J,3272,FULTON ELEMENTARY SCHOOL,91.6%
0180,ADAMS-ARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,56.5%
0180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,48.7%
0180,ADAMS-ARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,67.6%
0180,ADAMS-ARAPAHOE 28J,4270,IOWA ELEMENTARY SCHOOL,73.0%
0180,ADAMS-ARAPAHOE 28J,4426,JEWELL ELEMENTARY SCHOOL,70.1%
0180,ADAMS-ARAPAHOE 28J,4646,KENTON ELEMENTARY SCHOOL,87.9%
0180,ADAMS-ARAPAHOE 28J,4970,LANSING ELEMENTARY SCHOOL,84.7%
0180,ADAMS-ARAPAHOE 28J,4973,LAREDO ELEMENTARY SCHOOL,87.5%
0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,59.8%
0180,ADAMS-ARAPAHOE 28J,5361,LYN KNOLL ELEMENTARY SCHOOL,88.9%
0180,ADAMS-ARAPAHOE 28J,6068,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,92.6%
0180,ADAMS-ARAPAHOE 28J,6160,MRACHEK MIDDLE SCHOOL,62.5%
0180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,36.2%
0180,ADAMS-ARAPAHOE 28J,6219,NEW AMERICA SCHOOL,77.5%
0180,ADAMS-ARAPAHOE 28J,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY CAMPUS,87.3%
0180,ADAMS-ARAPAHOE 28J,6546,OPTIONS SCHOOL,0.2%
0180,ADAMS-ARAPAHOE 28J,6728,PARIS ELEMENTARY SCHOOL,95.0%
0180,ADAMS-ARAPAHOE 28J,6758,PARK LANE ELEMENTARY SCHOOL,89.7%
0180,ADAMS-ARAPAHOE 28J,6869,PEORIA ELEMENTARY SCHOOL,83.8%
0180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST K-8,22.6%
0180,ADAMS-ARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,39.3%
0180,ADAMS-ARAPAHOE 28J,7558,SABLE ELEMENTARY SCHOOL,86.4%
0180,ADAMS-ARAPAHOE 28J,7865,SIDE CREEK ELEMENTARY SCHOOL,44.9%
0180,ADAMS-ARAPAHOE 28J,7932,SIXTH AVENUE ELEMENTARY SCHOOL,89.2%
0180,ADAMS-ARAPAHOE 28J,8078,SOUTH MIDDLE SCHOOL,89.3%
0180,ADAMS-ARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,48.7%
0180,ADAMS-ARAPAHOE 28J,8858,TOLLGATE ELEMENTARY SCHOOL,81.5%
0180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,55.5%
0180,ADAMS-ARAPAHOE 28J,9059,VASSAR ELEMENTARY SCHOOL,59.3%
0180,ADAMS-ARAPAHOE 28J,9060,VAUGHN ELEMENTARY SCHOOL,85.9%
0180,ADAMS-ARAPAHOE 28J,9083,VISTA PEAK P-8 EXPLORATORY,48.8%
0180,ADAMS-ARAPAHOE 28J,9140,VIRGINIA COURT ELEMENTARY SCHOOL,85.0%
0180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,94.7%
0180,ADAMS-ARAPAHOE 28J,9514,WHEELING ELEMENTARY SCHOOL,81.9%
0180,ADAMS-ARAPAHOE 28J,9756,YALE ELEMENTARY SCHOOL,69.9%
0190,BYERS 32J,1168,BYERS ELEMENTARY SCHOOL,43.6%
0190,BYERS 32J,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,34.4%
0220,ARCHULETA COUNTY 50 JT,0064,ARCHULETA COUNTY HIGH SCHOOL,56.5%
0220,ARCHULETA COUNTY 50 JT,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,54.3%
0220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS MIDDLE SCHOOL,54.7%
0220,ARCHULETA COUNTY 50 JT,6658,PAGOSA SPRINGS HIGH SCHOOL,44.1%
0230,WALSH RE-1,9222,WALSH ELEMENTARY SCHOOL,56.3%
0230,WALSH RE-1,9226,WALSH HIGH SCHOOL,34.1%
0240,PRITCHETT RE-3,7174,PRITCHETT ELEMENTARY SCHOOL,64.0%
0240,PRITCHETT RE-3,7176,PRITCHETT MIDDLE SCHOOL,62.5%
0240,PRITCHETT RE-3,7180,PRITCHETT HIGH SCHOOL,63.2%
0250,SPRINGFIELD RE-4,8160,SPRINGFIELD ELEMENTARY SCHOOL,65.8%
0250,SPRINGFIELD RE-4,8164,SPRINGFIELD JUNIOR HIGH SCHOOL,56.4%
0250,SPRINGFIELD RE-4,8168,SPRINGFIELD HIGH SCHOOL,54.5%
0260,VILAS RE-5,9085,V.I.L.A.S. ONLINE SCHOOL,54.0%
0260,VILAS RE-5,9090,VILAS ELEMENTARY SCHOOL,61.5%
