Organization Code,School Code,Phone,School Name,Physical Address,Physical City,Physical State,Physical Zipcode
8001,0653,9707484535,Stone Creek School,0375 Yoder Ave,Avon,CO,81620
8001,0654,3034503985,The Pinnacle Charter School Elementary,1001 W 84th Street,Federal Heights,CO,80206
8001,0655,3032175152,High Point Academy,6192 North Genoa Street,Aurora,CO,80019
8001,0657,9702262800,T.R. Paul Academy Of Arts & Knowledge,4512 Mcmurray,Ft Collins,CO,80525
1420,0660,3039828714,Bear Creek K-8 School,9601 West Dartmouth Place,Lakewood,CO,80227
1420,0664,3039828855,Bear Creek High School,9800 West Dartmouth Place,Lakewood,CO,80227
1550,0678,9704884225,Beattie Elementary School,3000 Meadowlark,Fort Collins,CO,80526
1420,0694,3039824280,Bell Middle School,1001 Ulysses Street,Golden,CO,80401
0040,0700,3034680160,Belle Creek Charter School,9290 East 107th Avenue,Henderson,CO,80640
0130,0714,7205543100,Belleview Elementary School,4851 South Dayton Street,Greenwood Village,CO,80111
1420,0724,3039828220,Belmar Elementary School,885 South Garrison Street,Lakewood,CO,80226
2690,0738,7195497500,Belmont Elementary School,31 Macnaughton Road,Pueblo,CO,81001
0140,0752,3033474500,Franklin Elementary School,1603 East Euclid Ave,Centennial,CO,80121
3085,0754,9704545200,Benjamin Eaton Elementary School,100 South Mountain View Drive,Eaton,CO,80615
2690,0756,7195497540,Benjamin Franklin Elementary School,1315 Horseshoe Drive,Pueblo,CO,81001
0050,0763,3036443234,Bennett Preschool,805 Washington Way,Bennett,CO,80102
1550,0766,9704884750,Bennett Elementary School,1125 Bennett Road,Fort Collins,CO,80521
0050,0770,3036443234,Bennett Elementary School,462 8th Street,Bennett,CO,80102
0050,0774,3036443234,Bennett Middle School,455 8th Street,Bennett,CO,80102
0050,0775,3036443234,Bennett High School,610 7th Street,Bennett,CO,80102
1420,0776,3039824890,Bergen Meadow Primary School,1892 Bergen Parkway,Evergreen,CO,80439
1420,0779,3039824964,Bergen Valley Intermediate School,1422 Sugarbush Drive,Evergreen,CO,80439
0910,0793,9703282960,Berry Creek Middle School,1000 Miller Ranch Road,Edwards,CO,81632
1560,0808,9706137500,Berthoud Elementary School,560 Bunyan Avenue,Berthoud,CO,80513
1560,0812,9706137700,Berthoud High School,850 Spartan Avenue,Berthoud,CO,80513
2690,0822,7195497505,Bessemer Elementary School,1125 E Routt Avenue,Pueblo,CO,81004
1490,0832,7193467513,Bethune Elementary School,145 West 3rd,Bethune,CO,80805
1490,0842,7193467513,Bethune Junior-Senior High School,145 West 3rd,Bethune,CO,80805
2700,0852,7194853127,Beulah Elementary School,8734 Schoolhouse Lane,Beulah,CO,81023
2700,0856,7194853127,Beulah Middle School,8734 Schoolhouse Lane,Beulah,CO,81023
2690,0860,7195497510,Beulah Heights Elementary School,2670 Delphinium Street,Pueblo,CO,81005
1560,0865,9706135500,B F Kitchen Elementary School,915 Deborah Drive,Loveland,CO,80537
1560,0870,9706135600,Big Thompson Elementary School,7702 West Highway 34,Loveland,CO,80538
1010,0871,7193287900,The Bijou School,2904 W Kiowa St,Colorado Springs,CO,80904
0480,0872,7205618800,Birch Elementary School,1035 Birch,Broomfield,CO,80020
0470,0875,7208903995,Black Rock Elementary,2000 Mountain View Blvd,Erie,CO,80516
0470,0878,7206528220,Blue Mountain Elementary,1260 Mountain Drive,Longmont,CO,80503
1560,0890,9706136400,Mary Blair Elementary School,860 East 29 Street,Loveland,CO,80538
1550,0892,9704884000,Blevins Middle School,2101 South Taft Hill Road,Fort Collins,CO,80526
1550,0898,9704723700,Boltz Middle School,720 Boltz Drive,Fort Collins,CO,80525
2000,0900,9702546220,Bookcliff Middle School,2935 Orchard Ave,Grand Junction,CO,81504
0180,0914,3033646878,Boston K-8 School,1365 Jamaica Street,Aurora,CO,80010
0480,0919,7205616500,Boulder Community School/Integrated Studies,3995 East Aurora Avenue,Boulder,CO,80303
0480,0924,7205612200,Boulder High School,1604 Arapahoe Avenue,Boulder,CO,80302
0480,0930,7205616253,Boulder Universal,6500 East Arapahoe Road,Boulder,CO,80303
0480,0934,3035456186,Boulder Prep Charter High School,5075 Chaparral Court #1,Boulder,CO,80301
0100,0944,7195896791,Boyd Elementary School,11th And Hunt Avenues,Alamosa,CO,81101
1750,0948,7199465531,Branson School Online,101 Saddle Rock Drive,Branson,CO,81027
1420,0950,3039823480,Bradford Primary School,1 White Oak Drive,Littleton,CO,80127
1420,0951,3039822770,Blue Heron Elementary School,5987 West Dorado Drive,Littleton,CO,80123
1420,0952,3039824882,Bradford Intermediate School,2 Woodruff,Littleton,CO,80127
2690,0954,7195497515,Bradford Elementary School,107 South La Crosse Avenue,Pueblo,CO,81001
0880,0964,7204249468,Bradley Elementary School,3051 South Elm Street,Denver,CO,80222
1420,0965,3039826722,Brady Exploration School,5220 W. Ohio Avenue,Lakewood,CO,80226
1750,0974,7199465531,Branson Elementary School,101 Saddlerock Drive,Branson,CO,81027
1750,0978,7199465531,Branson Undivided High School,101 Saddlerock Drive,Branson,CO,81027
1750,0979,7199465521,Branson School Online Ged Prep,101 Saddlerock Drive,Branson,CO,81027
3120,0988,9703483000,Brentwood Middle School,2600  24th Avenue Court,Greeley,CO,80634
0980,1000,7195792150,Bricker Elementary School,4880 Dover Place,Colorado Springs,CO,80916
1180,1006,9703845995,Bridges,455 South 3rd Street,Carbondale,CO,81623
3146,1008,9706563417,Briggsdale Elementary School,515 Leslie Street,Briggsdale,CO,80611
3146,1012,9706573417,Briggsdale Undivided High School,515 Leslie Street,Briggsdale,CO,80611
0020,1020,7209724574,Bright Horizons Pre-Kindergarten School,5321 East 136th Avenue,Brighton,CO,80601
0040,1021,3036552850,Brighton Heritage Academy,830 Bridge Street,Brighton,CO,80601
0040,1022,3036554200,Brighton High School,270 South 8th Avenue,Brighton,CO,80601
1010,1032,7193284000,Bristol Elementary School,890 North Walnut Street,Colorado Springs,CO,80905
2000,1046,9702546430,Broadway Elementary School,2248 Broadway,Grand Junction,CO,81503
0040,1052,7206853297,Bromley East Charter School,356 Longspur Drive,Brighton,CO,80601
0880,1056,7204249330,Bromwell Elementary School,2500 East 4th Avenue,Denver,CO,80206
0480,1066,7205618400,Broomfield Heights Middle School,1555 Daphne Street,Broomfield,CO,80020
0480,1070,7205618100,Broomfield High School,1 Eagle Way,Broomfield,CO,80020
0880,1076,7204241611,Brown Elementary School,2550 Lowell Blvd,Denver,CO,80211
2395,1094,9708425035,Brush Middle School,401 Howard,Brush,CO,80723
2395,1096,9708425171,Brush High School,400 West Road,Brush,CO,80723
0880,1106,7204249170,Bryant Webster K-8 School,3635 Quivas St,Denver,CO,80211
1010,1126,7193284100,Buena Vista Elementary School,924 W Pikes Peak Ave,Colorado Springs,CO,80905
0490,1130,7193957100,Buena Vista High School,Railroad & Marquette,Buena Vista,CO,81211
0900,1131,3033875575,Buffalo Ridge Elementary School,7075 North Shoreham Drive,Castle Rock,CO,80108
0490,1132,7193957060,Harry L Mc Ginnis Middle School,South Railroad & Marquette,Buena Vista,CO,81211
0480,1136,7205616300,Manhattan Middle School Of The Arts And Academics,290 Manhattan Drive,Boulder,CO,80303
1500,1144,7193468166,Burlington Elementary School,450 11th Street,Burlington,CO,80807
0470,1148,3037768861,Burlington Elementary School,1051 S. Pratt Parkway,Longmont,CO,80501
1500,1150,7193465440,Burlington Middle School,2600 Rose Avenue,Burlington,CO,80807
1500,1152,7193468455,Burlington High School,380 Mike Lounge Drive,Burlington,CO,80807
0490,1154,7193954064,Buena Vista Online Academy,613 East Main Street,Buena Vista,CO,81211
0130,1155,7208864000,Buffalo Trail Elementary School,24300 East Progress Drive,Aurora,CO,80016
0190,1168,3038225292,Byers Elementary School,444 East Front Street,Byers,CO,80103
0190,1176,3038225292,Byers Junior-Senior High School,444 East Front Street,Byers,CO,80103
1550,1186,9704887600,Cache La Poudre Elementary School,3511 W Cr 54g,La Porte,CO,80535
1550,1190,9704887400,Cache La Poudre Middle School,3515 W Cr 54g,La Porte,CO,80535
0970,1210,7193472766,Calhan Elementary School,800 Bulldog Drive,Calhan,CO,80808
0970,1215,7193472766,Calhan Middle School,800 Bulldog Drive,Calhan,CO,80808
0970,1218,7193472766,Calhan High School,800 Bulldog Drive,Calhan,CO,80808
1828,1220,9705228330,Caliche Elementary School,26308 Cty Rd 65,Iliff,CO,80736
1828,1224,9705228200,Caliche Junior-Senior High School,26308 Buffalo Road,Iliff,CO,80736
1420,1238,3039821440,Campbell Elementary School,6500 Oak Street,Arvada,CO,80004
0470,1245,7206528240,Centennial Elementary,10290 Neighbors Parkway,Firestone,CO,80504
0270,1248,7197872226,Campo Elementary School,480 Maple Street,Campo,CO,81029
0270,1252,7197872226,Campo Undivided High School,480 Maple Street,Campo,CO,81029
1140,1262,7192765740,Canon City Middle School,1215 Main Steeet,Canon City,CO,81212
1140,1266,7192765870,Canon City High School,1313 College,Canon City,CO,81212
0900,1270,7204330025,Early Childhood Center,3950 Trail Boss Lane,Castle Rock,CO,80104
0130,1273,7208863600,Canyon Creek Elementary School,6070 South Versailles Parkway,Aurora,CO,80015
0550,1276,7192744301,Centauri Middle School,17891 Us Hwy 285,La Jara,CO,81140
8001,1279,9702431771,Caprock Academy,640 24 1/2 Road,Grand Junction,CO,81505
0470,1284,3037749555,Carbon Valley Academy,4040 Coriolis Way,Frederick,CO,80530
1180,1296,9703845700,Carbondale Middle School,180 Snowmass Drive,Carbondale,CO,81623
3090,1299,3037329312,Cardinal Community Academy Charter School,3101 Wcr 65,Keenesburg,CO,80643
2690,1304,7195497520,Carlile Elementary School,736 West Evans Avenue,Pueblo,CO,81004
0980,1306,7195793210,Carmel Middle School,1740 Pepperwood Drive,Colorado Springs,CO,80910
1420,1318,3039828930,Carmody Middle School,2050 S Kipling Street,Lakewood,CO,80227
0880,1319,7204236600,Fred N Thomas Career Education Center,2650 Eliot Street,Denver,CO,80211
1828,1321,9705222515,Campbell Elementary School,902 Clark,Sterling,CO,80751
1560,1323,9706135700,Carrie Martin Elementary School,4129 Joni Lane,Loveland,CO,80537
0880,1324,7204249090,Carson Elementary School,5420 East 1st Avenue,Denver,CO,80220
1000,1332,7193821610,Carson Middle School,6200 Prussman Boulevard,Fort Carson,CO,80902
1000,1334,7193821490,Abrams Elementary School,600 Chiles Avenue,Fort Carson,CO,80902
1010,1340,7193287100,Carver Elementary School,4740 Artistic Circle,Colorado Springs,CO,80917
0880,1345,3034550848,Cesar Chavez Academy Denver,3752 Tennyson Street,Denver,CO,80212
0480,1352,7205612700,Casey Middle School,1301 High Street,Boulder,CO,80304
0900,1362,3033875000,Castle Rock Elementary School,1103 Canyon Drive,Castle Rock,CO,80104
0900,1367,3033870100,Castle View High School,5254 North Meadows Dr,Castle Rock,CO,80109
0870,1372,9708566882,Cedaredge High School,575 Se Deer Creek Dr,Cedaredge,CO,81413
0870,1375,9708563118,Cedaredge Middle School,845 Se Deer Creek Drive,Cedaredge,CO,81413
8001,1376,7192277152,Scholars To Leaders Academy,3115 Larkspur,Colorado Springs,CO,80907
2700,1377,7195478268,Cedar Ridge Elementary School,1266 West Oro Grande Drive,Pueblo West,CO,81007
0550,1378,7192745178,Centauri High School,17889 Us Hwy 285,La Jara,CO,81140
0480,1380,7205617500,Centaurus High School,10300 South Boulder Road,Lafayette,CO,80026
0140,1382,3033474425,Centennial Academy Of Fine Arts Education,3306 West Berry Avenue,Littleton,CO,80123
0980,1383,7195792155,Centennial Elementary School,1860 South Chelton Road,Colorado Springs,CO,80910
3120,1384,9703481100,Centennial Elementary School,1400  37th Street,Evans,CO,80620
1560,1385,9706135800,Centennial Elementary School,1555 West 37th Street,Loveland,CO,80538
1580,1386,7198464411,Trinidad Middle School,614 Park Street,Trinidad,CO,81082
0020,1388,7209725280,Centennial Elementary School,13200 Westlake Drive,Broomfield,CO,80020
0480,1390,7205615441,Centennial Middle School,2205 Norwood Avenue,Boulder,CO,80304
2180,1392,9702492576,Centennial Middle School,1100 South 5th Street,Montrose,CO,81401
0640,1396,7196723282,Centennial Junior High School,909 North Main Street,San Luis,CO,81152
0640,1398,7196723282,Centennial High School,909 North Main Street,San Luis,CO,81152
0880,1400,7204248900,Centennial K-8 School,4665 Raleigh Street,Denver,CO,80212
2690,1402,7195497337,Centennial High School,2525 Montview Dirve,Pueblo,CO,81008
2810,1412,7197543982,Haskin Elementary School,550 S. Sylvester Avenue,Center,CO,81125
2810,1416,7197542232,Skoglund Middle School,550 S. Sylvester Avenue,Center,CO,81125
2810,1420,7197542232,Center High School,550 S. Sylvester Avenue,Center,CO,81125
0030,1426,3032870327,Central Elementary School,6450 Holly Street,Commerce City,CO,80022
0470,1434,3037763236,Central Elementary School,1020 4th Avenue,Longmont,CO,80501
2395,1438,9708424794,Beaver Valley Elementary School,420 Glacier Avenue,Brush,CO,80723
3090,1446,3035362100,Weld Central Senior High School,4715 Weld County Road 59,Keenesburg,CO,80643
2000,1450,9702546200,Central High School,3130 E1/2 Road,Grand Junction,CO,81504
2690,1454,7195497300,Central High School,216 East Orman Avenue,Pueblo,CO,81004
0180,1458,3033401600,Aurora Central High School,11700 East 11th Ave,Aurora,CO,80010
0180,1470,3037454424,Century Elementary School,2500 South Granby Way,Aurora,CO,80014
0020,1480,7209725240,Century Middle School,13000 Lafayette Street,Thornton,CO,80241
2690,1488,7192951623,Cesar Chavez Academy,2500 West 18th Street,Pueblo,CO,81003
0980,1490,7195792160,Chamberlin Academy,2400 Slater Ave,Colorado Springs,CO,80906
3120,1500,9703481200,Chappelow K-8 Magnet School,2001  34th Street,Evans,CO,80620
0900,1503,3033873500,Chaparral High School,15655 Brookstone Drive,Parker,CO,80134
2690,1504,7195497545,Goodnight Elementary School,624 Windy Way,Pueblo,CO,81005
0490,1508,7193954064,Chaffee County High School,613 East Main Street,Buena Vista,CO,81211
0130,1510,7207472100,Challenge School,9659 East Mississippi Avenue,Denver,CO,80231
0900,1512,3038419816,Challenge To Excellence Charter School,16995 East Carlson Drive,Parker,CO,80134
0120,1514,3037612433,Charles Hay World School,3195 South Lafayette Street,Englewood,CO,80113
0020,1519,3034503936,Stargate Charter School,3951 Cottonwoodlakes Boulevard,Thornton,CO,80241
2000,1520,9702544930,Chatfield Elementary School,3188 D1/2 Road,Grand Junction,CO,81504
1420,1522,3039823670,Chatfield High School,7227 South Simms Street,Littleton,CO,80127
0880,1528,7204248810,Cheltenham Elementary School,1580 Julian Street,Denver,CO,80204
