SchoolName,DistrictNumber,DistrictName,EMH,EMH_combined,SchoolNumber,AEC_10,CharterorOnline,LowestGrade,HighestGrade,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
CEDAREDGE HIGH SCHOOL,0870,DELTA COUNTY 50(J),H,,1372,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,11,31,9,10,8,8,9,12,12,9,10,94.9
RIDGWAY HIGH SCHOOL,2590,RIDGWAY R-2,H,,7346,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,11,31,10,9,9,9,10,9,9,6,9,96.5
PEETZ JUNIOR-SENIOR HIGH SCHOOL,1870,PLATEAU RE-5,H,,6838,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,11,33,13,13,12,13,8,13,13,6,13,93.6
FAIRVIEW HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,2892,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,11,34,13,12,13,13,12,6,6,8,6,93.7
AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,,0076,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,11,35,12,12,12,12,12,8,7,9,7,93
WEST DENVER PREP: HARVEY PARK CAMPUS,0880,DENVER COUNTY 1,M,,9389,0,Charter,6th Grade,6th Grade,Performance Plan,Performance Plan,,1,0,12,35,,7,9,8,,13,13,13,13,
LITTLETON ACADEMY,0140,LITTLETON 6,E,,5229,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,36,13,13,13,13,13,11,11,10,9,
SOUTH PARK HIGH SCHOOL,2610,PARK COUNTY RE-2,H,,8118,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,36,9,7,9,8,10,12,10,9,12,81.4
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,H,,8456,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,36,10,10,9,11,8,9,5,13,7,100
CROWN POINTE CHARTER ACADEMY,0070,WESTMINSTER 50,M,,2035,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,36,10,11,9,10,9,11,10,9,10,
MOUNTAIN VISTA HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,6165,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,38,12,10,12,11,10,6,6,6,6,95.7
LITTLETON PREP CHARTER SCHOOL,0140,LITTLETON 6,M,,5233,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,38,10,10,7,12,8,10,10,10,9,
WERNER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,9380,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,38,12,12,12,12,10,12,12,11,12,
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,H,,1875,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,10,39,10,12,9,10,9,12,12,10,10,78.6
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,H,,3228,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,40,6,6,6,7,6,10,12,9,9,92.3
PINE GROVE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,6938,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,40,13,13,13,12,12,11,12,9,10,
AMERICAN ACADEMY AT CASTLE PINES CHARTER,0900,DOUGLAS COUNTY RE 1,M,,0215,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,41,12,12,12,13,13,12,9,12,12,
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,H,,2840,0,,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,10,41,7,7,6,6,10,8,3,12,9,96
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,0019,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,42,12,12,12,12,12,9,9,9,8,
PINE CREEK HIGH SCHOOL,1040,ACADEMY 20,H,,6937,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,42,12,12,11,12,12,8,8,6,9,94.1
HIGH PEAKS ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,3940,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,42,13,13,13,12,13,12,12,12,10,
GREEN MOUNTAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,3628,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,42,9,9,9,9,9,9,7,8,9,92.7
BOULDER HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,0924,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,44,10,9,12,10,10,7,5,9,6,92.4
AMERICAN ACADEMY AT CASTLE PINES CHARTER,0900,DOUGLAS COUNTY RE 1,E,,0215,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,44,12,11,10,10,13,9,8,9,9,
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0498,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,44,12,12,12,12,9,10,9,10,9,
LEWIS-PALMER HIGH SCHOOL,1080,LEWIS-PALMER 38,H,,5100,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,45,12,10,12,11,11,6,5,6,6,95
DUNN ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,2298,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,46,10,10,12,9,10,13,13,12,12,
SPRINGFIELD HIGH SCHOOL,0250,SPRINGFIELD RE-4,H,,8168,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,46,9,7,9,9,9,11,9,9,12,94.4
OURAY SENIOR HIGH SCHOOL,2580,OURAY R-1,H,,6600,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,47,9,9,9,9,9,9,9,7,9,95.8
MEAD MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,5730,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,47,10,10,9,11,9,13,13,13,12,
ELDORADO K-8 SCHOOL,0480,BOULDER VALLEY RE 2,E,,2589,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,48,12,12,12,12,13,9,7,10,9,
CHERRY CREEK CHARTER ACADEMY,0130,CHERRY CREEK 5,M,,1571,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,48,12,13,12,13,12,10,10,12,7,
THUNDERRIDGE HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,8847,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,48,11,11,10,12,9,7,7,6,9,92.8
ELK CREEK ELEMENTARY,1195,GARFIELD RE-2,E,,2573,0,,Pre-Kindergarten,4th Grade,Performance Plan,Performance Plan,,1,0,12,48,,6,9,7,,12,11,10,10,
JAMES IRWIN CHARTER ELEMENTARY SCHOOL,0980,HARRISON 2,E,,4380,0,Charter,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,48,12,11,12,13,12,11,12,7,12,
LOIS LENSKI ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,5236,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,48,12,12,12,12,11,11,12,9,9,
NEW EMERSON SCHOOL AT COLUMBUS,2000,MESA COUNTY VALLEY 51,E,,2724,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,48,9,12,9,9,10,9,10,9,9,
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,M,,5120,0,Charter,Kindergarten,9th Grade,Performance Plan,Performance Plan,,1,0,12,48,13,13,13,13,13,12,7,13,13,
IVY STOCKWELL ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,4332,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,48,9,9,9,8,9,12,10,12,12,
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,H,,9608,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,48,9,10,10,10,6,10,6,13,7,89.7
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,H,MH,4694,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,10,50,13,13,12,12,12,6,6,9,5,100
GLENWOOD SPRINGS HIGH SCHOOL,1180,ROARING FORK RE-1,H,,3468,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,51,8,7,9,8,8,12,11,12,10,84.3
CHAPARRAL HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,1503,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,52,9,9,9,9,9,8,7,6,9,92.4
HAXTUN HIGH SCHOOL,2630,HAXTUN RE-2J,H,,3850,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,52,6,9,6,6,6,12,12,10,11,95.2
STRASBURG HIGH SCHOOL,0060,STRASBURG 31J,H,,8334,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,10,52,7,8,6,7,7,9,7,9,9,94.9
NIWOT HIGH SCHOOL,0470,ST VRAIN VALLEY RE 1J,H,,6276,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,55,12,11,12,12,12,7,8,6,7,95.4
SLAVENS K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,7972,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,56,12,11,13,10,10,10,9,12,7,
SLAVENS K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,7972,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,12,56,12,12,11,12,12,12,12,10,12,
LEGEND HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,4271,0,,9th Grade,11th Grade,Performance Plan,Performance Plan,,2,0,9,56,10,10,9,10,10,6,6,5,9,
SARGENT SENIOR HIGH SCHOOL,2750,SARGENT RE-33J,H,,7664,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,57,9,10,9,10,9,8,8,6,10,97.6
THE PINNACLE CHARTER SCHOOL HIGH,8001,CHARTER SCHOOL INSTITUTE,H,,6914,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,58,7,9,6,7,7,12,12,7,10,94.2
SUMMIT VIEW ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,8382,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,12,58,12,11,11,12,9,10,10,9,9,
STARGATE CHARTER SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,1519,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,12,59,13,13,13,13,13,9,9,9,9,
PEAKVIEW ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,6820,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,59,9,9,10,9,11,12,13,9,12,
HOLLY HIGH SCHOOL,2670,HOLLY RE-3,H,,4058,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,59,9,9,8,7,12,9,12,8,7,93.8
CALHAN HIGH SCHOOL,0970,CALHAN RJ-1,H,,1218,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,60,9,9,6,9,9,9,9,5,13,90.7
STEAMBOAT SPRINGS HIGH SCHOOL,2770,STEAMBOAT SPRINGS RE-2,H,,8212,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,60,12,11,12,10,11,6,7,5,6,88.3
GYPSUM CREEK MIDDLE SCHOOL,0910,EAGLE COUNTY RE 50,M,,0039,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,61,8,8,6,9,9,13,12,12,12,
TELLURIDE MIDDLE SCHOOL,2830,TELLURIDE R-1,M,,8790,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,61,10,10,7,10,13,11,10,9,11,
GRANDVIEW HIGH SCHOOL,0130,CHERRY CREEK 5,H,,3589,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,62,10,9,9,10,9,8,7,8,7,91.6
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,H,,1012,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,63,7,6,6,7,12,9,6,10,10,94.9
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,E,,1875,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,1,0,12,63,12,10,12,12,13,11,6,9,13,
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,0510,KIT CARSON R-1,H,,4742,0,,6th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,9,63,9,9,6,10,6,6,6,7,6,96.9
THE VANGUARD SCHOOL (MIDDLE),8001,CHARTER SCHOOL INSTITUTE,M,,9051,0,Charter,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,12,64,13,13,12,13,13,9,12,6,10,
BUFFALO RIDGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1131,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,12,64,11,12,12,11,9,9,12,6,9,
